n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
1,25.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4442.786444497062,1,0.20973510925586408,0.08707577448624831,0.007837891578674316,0.11241512115185077,0.0024063220390906637,58.9
2,50.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4381.330773126932,1,0.02805927166571984,0.0021476103709294246,0.007634465511028583,0.015762980167682353,0.0025142156160794793,58.9
3,75.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4423.371167707656,1,0.026891057307903584,0.001757520895737868,0.007391975476191595,0.015241375336280236,0.002500185599693885,58.9
4,100.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4302.759550932363,1,0.025287829912625827,0.0017482867607703577,0.007661415980412409,0.013535572932316707,0.0023425542391263526,79.9
5,125.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4607.757939757081,1,0.025873706890986517,0.001750964384812575,0.007431342051579403,0.014343059979952298,0.0023483404746422396,79.9
6,150.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4357.094938770701,0.0,0.024721521597642165,0.0017355772165151744,0.007511303975031925,0.013174616373502292,0.0023000240325927734,79.9
7,175.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4381.23731898114,0.0,0.02546857870542086,0.0017392910443819487,0.007008075714111328,0.014252891907325158,0.0024683200396024268,79.9
8,200.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4398.211884199908,0.0,0.023878904489370495,0.00164948976956881,0.0068969543163593,0.012930613297682542,0.0024018471057598405,79.9
9,225.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4312.661219763403,0.0,0.02528721552628737,0.0016308197608360876,0.007099023232093224,0.014299906217134915,0.0022574663162231445,79.9
10,250.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4574.6593085950835,0.0,0.024527788162231445,0.0017159168536846454,0.007376955105708197,0.013034627987788273,0.0024002882150503304,79.9
11,275.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4420.797050017797,0.0,0.025359914853022646,0.0016418695449829102,0.006750281040485088,0.014399024156423716,0.0025687401111309325,79.9
12,300.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4491.84175456119,0.0,0.0233839383492103,0.0017293691635131836,0.006426086792579064,0.012831550378065843,0.0023969320150522087,79.9
13,325.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4382.473247774777,0.0,0.025418969301077038,0.0016137178127582257,0.006654170843271108,0.014821401009192834,0.002329679635854868,79.9
14,350.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4349.433802900037,0.0,0.023497563142042894,0.0017624359864455003,0.006807409800015963,0.012639696781451885,0.002288020574129546,79.9
15,375.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4451.304683648116,0.0,0.02372316213754507,0.0017161827820997972,0.006814039670504057,0.012905597686767578,0.002287341998173641,79.9
16,400.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4440.976346073273,0.0,0.031357609308682956,0.0020911418474637545,0.011500129332909217,0.014971192066486064,0.0027951460618239193,79.9
17,425.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4471.160904125943,0.0,0.02757121966435359,0.0020325092168954704,0.008254931523249699,0.01491873997908372,0.0023650389451247006,79.9
18,450.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4374.577071633589,0.0,0.02399570208329421,0.0015483727821936975,0.007239020787752591,0.012850477145268368,0.0023578313680795524,79.9
19,475.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4314.739036328891,0.0,0.02501195210676927,0.0015970560220571665,0.006552760417644795,0.014439784563504733,0.002422351103562575,79.9
20,500.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4509.5216977869695,0.0,0.024072958872868463,0.0016338825225830078,0.006922565973722018,0.013151177993187537,0.0023653323833759017,79.9
21,525.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4415.333424111396,0.0,0.024720054406386152,0.0016142680094792293,0.006823851512028621,0.013941333844111515,0.0023406010407667887,79.9
22,550.0,7,3,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4399.028000589727,0.0,0.024075205509479232,0.0016222000122070312,0.006797203650841346,0.013324847588172326,0.002330954258258527,79.9
23,575.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4432.991305333363,0.0,0.026082855004530683,0.001738896736731896,0.006977081298828125,0.01510159785930927,0.002265279109661395,79.9
24,600.0,7,3,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4289.283391119447,0.0,0.030345027263347917,0.0016028239176823543,0.007016557913560134,0.018021051700298604,0.003704593731806826,79.9
25,625.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4440.262191992153,0.0,0.02535703549018273,0.0016441253515390249,0.007099500069251427,0.014288673034081092,0.0023247370353111866,79.9
26,650.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4409.815734392265,0.0,0.025340621288006123,0.0016864538192749023,0.006722092628479004,0.014621523710397573,0.0023105511298546436,79.9
27,675.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4447.2158795339055,0.0,0.028564233046311602,0.002414088982802171,0.00888515435732328,0.014744758605957031,0.002520231100229118,80.0
28,700.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4444.11292170211,0.0,0.02535035060002254,0.001777942364032452,0.00723725098830003,0.013934107927175669,0.0024010493205143865,80.0
29,725.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4348.836274666911,0.0,0.023762106895446777,0.001803902479318472,0.00675339882190411,0.012805617772615872,0.0023991878216083236,80.0
30,750.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4446.961010636429,0.0,0.02479129571181077,0.0017322210165170522,0.007067231031564565,0.01372229135953463,0.002269552304194523,80.0
31,775.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4419.414702297588,0.0,0.02807197204002967,0.002225976723891038,0.007747906904954176,0.015528467985299917,0.0025696204258845393,80.0
32,800.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4433.388783529202,0.0,0.024410137763390172,0.0017415927006648136,0.0067371038290170515,0.013509511947631836,0.0024219292860764713,80.0
33,825.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,1,1080p,7.0,4439.888439659628,0.0,0.02429364277766301,0.0017840678875262921,0.007230318509615384,0.013019369198725773,0.0022598871817955616,80.0
