n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
1,25.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,367.5583719669043,1,0.16217791117154634,0.05929971658266508,0.021971904314481296,0.07749659281510574,0.0034096974592942447,46.0
2,50.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,356.535366909566,1,0.011213706089900091,0.0007236645771906926,0.0027548716618464543,0.005240339499253493,0.0024948303516094507,46.0
3,75.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,363.35091703440827,1,0.019916222645686224,0.0006615932171161359,0.007456146753751315,0.007933277350205641,0.0038652053246131315,46.0
4,100.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,355.4243060437272,1,0.016488194465637207,0.0006892497722919171,0.005921657268817608,0.006212546275212214,0.003664741149315468,46.0
5,125.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,378.0067847714568,1,0.01672956576714149,0.0010299774316641001,0.008068378155048078,0.004270049241872935,0.003361160938556377,46.0
6,150.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,360.9762131235496,0.0,0.01763257613548866,0.0006584937755878156,0.0057054666372445915,0.008292537469130296,0.0029760782535259538,46.0
7,175.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,364.02467375390034,0.0,0.0315327185850877,0.0006615932171161359,0.007088688703683706,0.019318819046020508,0.0044636176182673536,46.0
8,200.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,362.7320226295186,0.0,0.018769181691683255,0.0007356772055992713,0.00828243218935453,0.006693876706636869,0.0030571955900925854,61.2
9,225.0,7,7,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,355.43759715331754,0.0,0.012776008019080529,0.0008292289880605844,0.003807563048142653,0.004895467024583083,0.003243748958294209,61.2
10,250.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,360p,7.0,376.2386517070866,0.0,0.018538328317495495,0.0007068010476919321,0.007808547753554124,0.0067950120339026815,0.0032279674823467554,61.2
11,275.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,364.0178059011024,0.0,0.20591874306018537,0.08655427052424504,0.0017370810875525916,0.11525149528796856,0.0023758961604191664,61.2
12,300.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,367.1148629327072,0.0,0.020401496153611403,0.0019222406240609975,0.0014932430707491364,0.014750022154587965,0.002235990304213304,61.2
13,325.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,361.8383562903286,0.0,0.01987590239598201,0.0016673803329467773,0.001511060274564303,0.014379464662992038,0.00231799712547889,61.2
14,350.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,360.268201243756,0.0,0.019246642406170182,0.0017681121826171875,0.0014246243696946362,0.013788140737093411,0.002265765116764948,61.2
15,375.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,368.5520877952305,0.0,0.021387760455791768,0.0016742486220139724,0.0014636149773230918,0.016095399856567383,0.002154496999887321,61.2
16,400.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,368.55729615211436,0.0,0.019236005269564115,0.0019962145731999325,0.0016149099056537333,0.013342875700730544,0.0022820050899799056,61.2
17,425.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,368.3390399195778,0.0,0.02306669491987962,0.0018481749754685622,0.0014257706128633937,0.017185146992023174,0.002607602339524489,61.2
18,450.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,1,360p,7.0,357.0559584401781,0.0,0.01981966312115009,0.00175933654491718,0.0015277587450467625,0.014124833620511569,0.00240773421067458,78.3
