n_loop,frame_id,total,up,d_role,d_ip,a_role,a_ip,encoder,fps,reso,obj_n,obj_size,obj_stable,all_delay,d_proc_delay,d_trans_delay,a_proc_delay,a_trans_delay,edge_mem_ratio
1,5.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1953.2907199006295,1,0.905222217241923,0.3799717426300049,0.020257234573364258,0.4943352937698364,0.010657946268717411,60.9
2,10.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1896.8924250078355,1,0.09526872634887695,0.008260369300842285,0.01894072691599528,0.05804391702016195,0.010023713111877434,60.9
3,15.0,7,3,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1922.852324606618,1,0.09379827976226807,0.00785533587137858,0.016929149627685547,0.05886594454447428,0.010147849718729653,60.9
4,20.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1960.5103526982878,1,0.12048796812693278,0.007538239161173503,0.01642632484436035,0.0826951265335083,0.013828277587890625,78.7
5,25.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1961.7507073950421,1,0.10208984216054282,0.007180372873942058,0.017458200454711914,0.06756631533304851,0.009884953498840332,78.7
6,30.0,7,4,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1950.836631417341,0.0,0.09226826826731363,0.007489681243896484,0.01662607987721761,0.05770925680796305,0.010443250338236489,78.7
7,35.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1931.284383428416,0.0,0.09266571203867593,0.007224599520365397,0.016969124476114907,0.05843925476074219,0.010032733281453446,78.7
8,40.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1979.9999200276964,0.0,0.09508200486501057,0.0078505277633667,0.01743503411610921,0.060245792071024575,0.009550650914510093,78.7
9,45.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1948.988489686212,0.0,0.09496275583902995,0.007069508234659831,0.016092658042907715,0.061971704165140785,0.009828885396321617,78.7
10,50.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,5,720p,7.0,1935.0588475401248,0.0,0.09191350142161052,0.00693658987681071,0.0158084233601888,0.05923227469126383,0.009936213493347175,78.7
11,55.0,7,3,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,1915.035234163582,0.0,0.09184455871582031,0.007727702458699544,0.01685444513956706,0.05739231904347738,0.009870092074076332,78.7
12,56.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,634.8738337402964,0.0,0.26190268993377686,0.0225144624710083,0.025540828704833984,0.18278491497039795,0.03106248378753662,78.7
13,57.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,635.3854504215664,0.0,0.25749754905700684,0.021189332008361816,0.025800585746765137,0.1792914867401123,0.031216144561767578,78.7
14,58.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,634.1141537661149,0.0,0.27571237087249756,0.025630474090576172,0.026158690452575684,0.1920490264892578,0.03187417984008789,78.7
15,59.0,7,7,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,637.8595214427415,0.0,0.2640342712402344,0.0211867094039917,0.02491128444671631,0.18743693828582764,0.03049933910369873,78.7
16,60.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,640.1182635075446,0.0,0.2526155710220337,0.020984411239624023,0.024689912796020508,0.17657864093780518,0.030362606048583984,78.7
17,62.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,644.7621371495936,0.0,0.22319889068603516,0.017888387044270832,0.02589511871337891,0.15689730644226074,0.022518078486124665,78.7
18,63.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,644.708469076739,0.0,0.24911844730377197,0.021412253379821777,0.026236295700073242,0.17236101627349854,0.029108881950378418,78.7
19,64.0,7,6,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,653.1795972340125,0.0,0.2557804584503174,0.02049863338470459,0.025912046432495117,0.17794442176818848,0.0314253568649292,78.7
20,65.0,7,5,host,172.27.133.85,host,172.27.133.85,JEPG,20,480p,7.0,651.6188752207672,0.0,0.28205716609954834,0.020646214485168457,0.025491952896118164,0.2062312364578247,0.02968776226043701,78.7
21,67.0,7,6,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,656.5339058009392,0.0,0.7003191312154134,0.01367036501566569,0.017258087793986,0.6590917905171713,0.010298887888590458,78.7
22,68.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4426.014102783387,0.0,1.0381985902786255,0.7655678987503052,0.16363346576690674,0.07078671455383301,0.038210511207580566,78.7
23,75.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4423.149795405966,0.0,0.06197512149810791,0.0022336840629577637,0.03463748097419739,0.01679903268814087,0.00830492377281189,78.7
24,100.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4302.763400402785,0.0,0.018415937056908242,0.0005917457433847281,0.009731632012587327,0.005284511126004732,0.0028080481749314526,78.9
25,125.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4607.803789814934,0.0,0.01905183608715351,0.000891575446495643,0.010773026026212253,0.004602478100703313,0.0027847565137422998,78.9
26,150.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4357.263327483421,0.0,0.017587515024038464,0.0006493330001831055,0.009769421357374925,0.004584991014920748,0.0025837696515596835,78.9
27,175.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4380.505657678404,0.0,0.01729116073021522,0.0007488727569580078,0.009327393311720628,0.004578113555908203,0.0026367811056283805,78.9
28,200.0,7,5,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4398.046919768343,0.0,0.017265173105093148,0.0007354021072387695,0.00874176392188439,0.00500785387479342,0.00278015320117657,78.9
29,225.0,7,4,cloud,114.212.81.11,cloud,114.212.81.11,JEPG,1,1080p,7.0,4311.839521149373,0.0,0.018505334854125977,0.0016275552602914663,0.009599639819218563,0.004770737427931566,0.0025074023466843823,78.9
