n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay
1,5.0,0.9692402680714924,73.0,360p,5,JPEG,host,172.27.151.145,0.39263463020324707,172.27.151.145,0.028675476710001646,host,172.27.151.145,0.5307944218317667,172.27.151.145,0.01713573932647705
2,10.0,0.10641972223917642,73.0,360p,5,JPEG,host,172.27.151.145,0.008417963981628418,172.27.151.145,0.026690522829691567,host,172.27.151.145,0.05855214595794678,172.27.151.145,0.012759089469909668
3,15.0,0.10891501108805338,73.0,360p,5,JPEG,host,172.27.151.145,0.008522431055704752,172.27.151.145,0.018186251322428383,host,172.27.151.145,0.06595190366109212,172.27.151.145,0.016254425048828125
4,20.0,0.1309751272201538,73.0,360p,5,JPEG,host,172.27.151.145,0.00687861442565918,172.27.151.145,0.02391064167022705,host,172.27.151.145,0.08426149686177571,172.27.151.145,0.015924374262491867
5,25.0,0.10760072867075601,73.0,360p,5,JPEG,host,172.27.151.145,0.007030963897705078,172.27.151.145,0.0244671901067098,host,172.27.151.145,0.061757445335388184,172.27.151.145,0.014345129330952958
6,30.0,0.10284880797068277,73.0,360p,5,JPEG,host,172.27.151.145,0.006844520568847656,172.27.151.145,0.02214821179707845,host,172.27.151.145,0.05962697664896647,172.27.151.145,0.0142290989557902
7,35.0,0.09672518571217854,73.6,360p,5,JPEG,host,172.27.151.145,0.006694197654724121,172.27.151.145,0.02016635735829671,host,172.27.151.145,0.057547410329182945,172.27.151.145,0.01231722036997477
8,40.0,0.11804544925689697,73.6,360p,5,JPEG,host,172.27.151.145,0.008631269137064615,172.27.151.145,0.020165284474690758,host,172.27.151.145,0.0739126205444336,172.27.151.145,0.015336275100708008
9,45.0,0.10593763987223308,73.6,360p,5,JPEG,host,172.27.151.145,0.0075757503509521484,172.27.151.145,0.02851736545562744,host,172.27.151.145,0.055796146392822266,172.27.151.145,0.014048377672831222
10,50.0,0.10689731438954672,73.6,360p,5,JPEG,host,172.27.151.145,0.006677945454915364,172.27.151.145,0.023534377415974937,host,172.27.151.145,0.06164860725402832,172.27.151.145,0.015036384264628097
11,55.0,0.108695387840271,73.6,720p,1,JPEG,host,172.27.151.145,0.006646315256754558,172.27.151.145,0.026240984598795574,host,172.27.151.145,0.0613255500793457,172.27.151.145,0.014482537905375167
12,56.0,0.378454327583313,73.6,720p,1,JPEG,host,172.27.151.145,0.026209712028503418,172.27.151.145,0.13094794750213623,host,172.27.151.145,0.1741870641708374,172.27.151.145,0.04710960388183594
13,75.0,0.04047495126724243,73.6,720p,1,JPEG,host,172.27.151.145,0.002378535270690918,172.27.151.145,0.01691497564315796,host,172.27.151.145,0.016702866554260253,172.27.151.145,0.004478573799133301
14,100.0,0.03007795260502742,73.6,720p,1,JPEG,host,172.27.151.145,0.002004522543687087,172.27.151.145,0.010902679883516751,host,172.27.151.145,0.013243308434119591,172.27.151.145,0.003927441743703989
15,125.0,0.03388760640070988,73.6,720p,1,JPEG,host,172.27.151.145,0.0016712225400484526,172.27.151.145,0.014214103038494403,host,172.27.151.145,0.014541369218092699,172.27.151.145,0.0034609116040743328
16,150.0,0.03356960186591515,73.6,720p,1,JPEG,host,172.27.151.145,0.0016133876947256236,172.27.151.145,0.013926194264338566,host,172.27.151.145,0.014725373341487004,172.27.151.145,0.0033046465653639567
17,175.0,0.03356654827411358,73.6,720p,1,JPEG,host,172.27.151.145,0.00166626159961407,172.27.151.145,0.014094939598670373,host,172.27.151.145,0.013742346030015212,172.27.151.145,0.004063001045813929
18,200.0,0.031444815488962025,73.6,720p,1,JPEG,host,172.27.151.145,0.0015508303275475134,172.27.151.145,0.012784554408146786,host,172.27.151.145,0.013226013917189378,172.27.151.145,0.0038834168360783496
19,225.0,0.03275176194997934,73.7,720p,1,JPEG,host,172.27.151.145,0.0016417778455294096,172.27.151.145,0.01413433368389423,host,172.27.151.145,0.01285247619335468,172.27.151.145,0.004123174227201024
