n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay
1,1.0,1.9548828601837158,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.7520753145217896,114.212.81.11,0.1635812520980835,cloud,114.212.81.11,0.9927337169647217,114.212.81.11,0.046492576599121094
2,2.0,0.2746635675430298,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.011322021484375,114.212.81.11,0.16166448593139648,cloud,114.212.81.11,0.05986464023590088,114.212.81.11,0.04181241989135742
3,3.0,0.25856661796569824,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.009169340133666992,114.212.81.11,0.1412445306777954,cloud,114.212.81.11,0.06917178630828857,114.212.81.11,0.038980960845947266
4,4.0,0.26104307174682617,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.008164167404174805,114.212.81.11,0.1573011875152588,cloud,114.212.81.11,0.05727970600128174,114.212.81.11,0.03829801082611084
5,5.0,0.241815447807312,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.01239621639251709,114.212.81.11,0.1288212537765503,cloud,114.212.81.11,0.060415029525756836,114.212.81.11,0.04018294811248779
6,6.0,0.24255752563476562,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.010033130645751953,114.212.81.11,0.12836003303527832,cloud,114.212.81.11,0.06194186210632324,114.212.81.11,0.04222249984741211
7,7.0,0.23694932460784912,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.009749531745910645,114.212.81.11,0.12748312950134277,cloud,114.212.81.11,0.059617042541503906,114.212.81.11,0.0400996208190918
8,8.0,0.23746347427368164,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.00949406623840332,114.212.81.11,0.1229015588760376,cloud,114.212.81.11,0.06482541561126709,114.212.81.11,0.04024243354797363
9,9.0,0.24493134021759033,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.010939836502075195,114.212.81.11,0.13787758350372314,cloud,114.212.81.11,0.05760955810546875,114.212.81.11,0.03850436210632324
10,10.0,0.26086461544036865,71.8,1080p,30,JPEG,cloud,114.212.81.11,0.008305907249450684,114.212.81.11,0.15152859687805176,cloud,114.212.81.11,0.06155705451965332,114.212.81.11,0.03947305679321289
11,11.0,3.6007914543151855,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.011460661888122559,114.212.81.11,0.14070701599121094,host,172.27.143.164,3.436651349067688,172.27.143.164,0.011972427368164062
12,12.0,0.3904845714569092,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.008062362670898438,114.212.81.11,0.15985631942749023,host,172.27.143.164,0.21289730072021484,172.27.143.164,0.009668588638305664
13,13.0,0.3729785680770874,81.8,1080p,30,JPEG,cloud,114.212.81.11,0.010456323623657227,114.212.81.11,0.14291930198669434,host,172.27.143.164,0.20927834510803223,172.27.143.164,0.010324597358703613
