n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay
1,25.0,0.20725014576545128,77.0,360p,1,JEPG,host,172.27.151.145,0.11913020794208233,172.27.151.145,0.0044823701565082225,cloud,114.212.81.11,0.08010581823495719,114.212.81.11,0.0035317494319035414
2,50.0,0.01455227228311392,77.0,360p,1,JEPG,host,172.27.151.145,0.00195920467376709,172.27.151.145,0.0039700636496910685,cloud,114.212.81.11,0.005448295519902156,114.212.81.11,0.003174708439753606
3,75.0,0.013375098888690654,77.0,360p,1,JEPG,host,172.27.151.145,0.0018652860934917743,172.27.151.145,0.003948193330031175,cloud,114.212.81.11,0.0044070023756760815,114.212.81.11,0.0031546170894916244
4,100.0,0.01347814156458928,77.0,360p,1,JEPG,host,172.27.151.145,0.0019011864295372595,172.27.151.145,0.003926983246436486,cloud,114.212.81.11,0.0045457894985492416,114.212.81.11,0.003104182390066293
5,125.0,0.01734773012307974,77.0,360p,1,JEPG,host,172.27.151.145,0.0018674318607036884,172.27.151.145,0.0040776729583740234,cloud,114.212.81.11,0.006921117122356708,114.212.81.11,0.00448150818164532
6,150.0,0.014122403584993802,77.0,360p,1,JEPG,host,172.27.151.145,0.0015646035854633038,172.27.151.145,0.003941334210909329,cloud,114.212.81.11,0.005475878715515137,114.212.81.11,0.003140587073106032
7,175.0,0.014997674868657038,77.0,360p,1,JEPG,host,172.27.151.145,0.0017778781744150014,172.27.151.145,0.004331863843477689,cloud,114.212.81.11,0.005615986310518705,114.212.81.11,0.003271946540245642
8,200.0,0.01654686377598689,77.0,360p,1,JEPG,host,172.27.151.145,0.0019121811940119816,172.27.151.145,0.004077691298264723,cloud,114.212.81.11,0.007197077457721417,114.212.81.11,0.0033599138259887687
9,225.0,0.013899858181293193,77.0,360p,1,JEPG,host,172.27.151.145,0.0015140038270216722,172.27.151.145,0.003938592397249661,cloud,114.212.81.11,0.004649134782644419,114.212.81.11,0.0037981271743774414
10,250.0,0.014364361763000488,77.0,360p,1,JEPG,host,172.27.151.145,0.0017744119350726788,172.27.151.145,0.003972200246957632,cloud,114.212.81.11,0.00465087707226093,114.212.81.11,0.003966872508709247
11,275.0,0.015281392977787899,77.0,360p,1,JEPG,host,172.27.151.145,0.0014909047346848708,172.27.151.145,0.004000443678635818,cloud,114.212.81.11,0.004555344581604004,114.212.81.11,0.005234699982863206
12,300.0,0.016028706844036397,77.0,360p,1,JEPG,host,172.27.151.145,0.0016420162641085112,172.27.151.145,0.003983048292306753,cloud,114.212.81.11,0.0052768542216374325,114.212.81.11,0.005126788065983699
13,325.0,0.0159153388096736,79.3,360p,1,JEPG,host,172.27.151.145,0.0016315625264094425,172.27.151.145,0.004006807620708759,cloud,114.212.81.11,0.00539102004124568,114.212.81.11,0.00488594862130972
14,350.0,0.0151597811625554,79.3,360p,1,JEPG,host,172.27.151.145,0.0016820705853975737,172.27.151.145,0.003979536203237681,cloud,114.212.81.11,0.00475925665635329,114.212.81.11,0.004738917717566856
15,375.0,0.01611014512869028,79.3,360p,1,JEPG,host,172.27.151.145,0.0018128248361440806,172.27.151.145,0.0043694514494675854,cloud,114.212.81.11,0.004908213248619666,114.212.81.11,0.005019655594458947
16,400.0,0.015309801468482384,79.3,360p,1,JEPG,host,172.27.151.145,0.0015670061111450195,172.27.151.145,0.004115581512451172,cloud,114.212.81.11,0.004542690057020921,114.212.81.11,0.005084523787865272
17,425.0,0.01830942814166729,79.3,360p,1,JEPG,host,172.27.151.145,0.0015561213860144983,172.27.151.145,0.0039500273191011865,cloud,114.212.81.11,0.00669245536510761,114.212.81.11,0.006110824071443998
18,450.0,0.015568769895113431,79.3,360p,1,JEPG,host,172.27.151.145,0.0016139470613919771,172.27.151.145,0.003963186190678524,cloud,114.212.81.11,0.006012815695542555,114.212.81.11,0.003978820947500376
19,475.0,0.01572913389939528,79.3,360p,1,JEPG,host,172.27.151.145,0.0015200743308434119,172.27.151.145,0.003967147607069749,cloud,114.212.81.11,0.005106925964355469,114.212.81.11,0.005134985997126652
20,500.0,0.022662621278029222,79.3,360p,1,JEPG,host,172.27.151.145,0.0015509770466731144,172.27.151.145,0.003984313744765062,cloud,114.212.81.11,0.012242408899160532,114.212.81.11,0.004884921587430513
21,525.0,0.018997531670790452,79.3,360p,1,JEPG,host,172.27.151.145,0.0015499316729032076,172.27.151.145,0.004008476550762471,cloud,114.212.81.11,0.009152109806354228,114.212.81.11,0.004287013640770547
22,550.0,0.0145872006049523,79.3,360p,1,JEPG,host,172.27.151.145,0.001791229614844689,172.27.151.145,0.004102807778578538,cloud,114.212.81.11,0.004666190880995531,114.212.81.11,0.004026972330533542
23,575.0,0.015696250475369967,79.3,360p,1,JEPG,host,172.27.151.145,0.0015645118860098033,172.27.151.145,0.004066604834336501,cloud,114.212.81.11,0.005761467493497408,114.212.81.11,0.004303666261526254
24,600.0,0.015065963451678935,79.3,360p,1,JEPG,host,172.27.151.145,0.001567547137920673,172.27.151.145,0.004796734222998986,cloud,114.212.81.11,0.004903133098895733,114.212.81.11,0.003798548991863544
25,625.0,0.01573654321523813,79.3,360p,1,JEPG,host,172.27.151.145,0.0015603120510394757,172.27.151.145,0.004069209098815918,cloud,114.212.81.11,0.00507967288677509,114.212.81.11,0.005027349178607647
26,650.0,0.016511990473820612,79.3,360p,1,JEPG,host,172.27.151.145,0.001752165647653433,172.27.151.145,0.003968101281386156,cloud,114.212.81.11,0.005646127920884352,114.212.81.11,0.005145595623896673
27,675.0,0.014750783260052022,79.3,360p,1,JEPG,host,172.27.151.145,0.0016453174444345327,172.27.151.145,0.003963470458984375,cloud,114.212.81.11,0.004544863334068885,114.212.81.11,0.0045971320225642286
28,700.0,0.014462452668410081,79.3,360p,1,JEPG,host,172.27.151.145,0.001600494751563439,172.27.151.145,0.003982149637662447,cloud,114.212.81.11,0.004649804188654973,114.212.81.11,0.004230004090529221
29,725.0,0.01510331263908973,79.3,360p,1,JEPG,host,172.27.151.145,0.0015605779794546275,172.27.151.145,0.0040114476130558895,cloud,114.212.81.11,0.0046050823651827295,114.212.81.11,0.004926204681396484
30,750.0,0.016110502756558932,79.3,360p,1,JEPG,host,172.27.151.145,0.0018493395585280198,172.27.151.145,0.0043982083980853735,cloud,114.212.81.11,0.004833744122431829,114.212.81.11,0.0050292106775137084
31,775.0,0.014017114272484414,79.3,360p,1,JEPG,host,172.27.151.145,0.0016111960777869592,172.27.151.145,0.004013373301579403,cloud,114.212.81.11,0.004254689583411584,114.212.81.11,0.004137855309706468
32,800.0,0.01592559997852032,79.3,360p,1,JEPG,host,172.27.151.145,0.00214691345508282,172.27.151.145,0.004144677749046912,cloud,114.212.81.11,0.004581075448256273,114.212.81.11,0.005052933326134315
33,825.0,0.015331561748798076,79.3,360p,1,JEPG,host,172.27.151.145,0.0016974485837496244,172.27.151.145,0.003953731977022611,cloud,114.212.81.11,0.004830663020794208,114.212.81.11,0.004849718167231633
34,850.0,0.01689725655775804,79.3,360p,1,JEPG,host,172.27.151.145,0.0019120619847224308,172.27.151.145,0.004202888562129094,cloud,114.212.81.11,0.00614168093754695,114.212.81.11,0.004640625073359564
35,875.0,0.01567659928248479,79.3,360p,1,JEPG,host,172.27.151.145,0.001921406159034142,172.27.151.145,0.004067521828871507,cloud,114.212.81.11,0.005367013124319224,114.212.81.11,0.004320658170259915
36,900.0,0.014619075334989108,79.3,360p,1,JEPG,host,172.27.151.145,0.0016470872438870943,172.27.151.145,0.004045220521780161,cloud,114.212.81.11,0.00485221239236685,114.212.81.11,0.004074555176955002
37,925.0,0.01586176798893855,79.3,360p,1,JEPG,host,172.27.151.145,0.0017582086416391225,172.27.151.145,0.004085705830500676,cloud,114.212.81.11,0.004755386939415565,114.212.81.11,0.0052624665773831885
38,950.0,0.019974726897019606,79.3,360p,1,JEPG,host,172.27.151.145,0.0021371016135582556,172.27.151.145,0.005610429323636569,cloud,114.212.81.11,0.007154079583974985,114.212.81.11,0.0050731163758497965
39,975.0,0.015130153069129359,79.3,360p,1,JEPG,host,172.27.151.145,0.0018829015585092397,172.27.151.145,0.004290149762080266,cloud,114.212.81.11,0.00467223387498122,114.212.81.11,0.004284867873558632
40,1000.0,0.014842666112459622,79.3,360p,1,JEPG,host,172.27.151.145,0.0017072054056020884,172.27.151.145,0.004162843410785382,cloud,114.212.81.11,0.00469058293562669,114.212.81.11,0.004282034360445463
41,1025.0,0.014958684261028584,79.3,360p,1,JEPG,host,172.27.151.145,0.0017212445919330304,172.27.151.145,0.0040069543398343595,cloud,114.212.81.11,0.004526706842275767,114.212.81.11,0.004703778486985426
