n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,25.0,0.28367185592651367,86.6,360p,1,JPEG,host,172.27.151.145,0.19302848669198844,172.27.151.145,0.005642267373891979,0,1.0,0.159,0,1.0,0.159,0,1.0,0.27837634877270445,0,1.0,0.27837634877270445,cloud,114.212.81.11,0.07830314452831562,114.212.81.11,0.00669795733231765,0,1.0,0.033979166666666664,0,1.0,0.033979166666666664,0,1.0,0.012009178136215649,0,1.0,0.012009178136215649
2,50.0,0.020352657024676986,86.6,360p,1,JPEG,host,172.27.151.145,0.002881802045381986,172.27.151.145,0.006732867314265326,0,1.0,0.133,0,1.0,0.133,0,1.0,0.2773883297458833,0,1.0,0.2773883297458833,cloud,114.212.81.11,0.004524946212768555,114.212.81.11,0.006213041452261118,0,1.0,0.22645833333333332,0,1.0,0.22645833333333332,0,1.0,0.012010694551893027,0,1.0,0.012010694551893027
3,75.0,0.021518936524024375,86.6,360p,1,JPEG,host,172.27.151.145,0.002127839968754695,172.27.151.145,0.006760789797856257,0,1.0,0.133,0,1.0,0.133,0,1.0,0.2773883297458833,0,1.0,0.2773883297458833,cloud,114.212.81.11,0.006645046747647799,114.212.81.11,0.005985260009765626,0,1.0,0.22645833333333332,0,1.0,0.22645833333333332,0,1.0,0.012010694551893027,0,1.0,0.012010694551893027
4,100.0,0.020201958142794095,91.5,360p,1,JPEG,host,172.27.151.145,0.0021349558463463415,172.27.151.145,0.006988901358384352,0,1.0,0.18,0,1.0,0.18,0,1.0,0.27723078345237107,0,1.0,0.27723078345237107,cloud,114.212.81.11,0.0045067805510300854,114.212.81.11,0.006571320387033316,0,1.0,0.2193541666666667,0,1.0,0.2193541666666667,0,1.0,0.012010740044363345,0,1.0,0.012010740044363345
5,125.0,0.0195770630469689,91.5,360p,1,JPEG,host,172.27.151.145,0.001942286124596229,172.27.151.145,0.006878339327298678,0,1.0,0.1795,0,1.0,0.1795,0,1.0,0.27712194232215287,0,1.0,0.27712194232215287,cloud,114.212.81.11,0.0046016436356764575,114.212.81.11,0.006154793959397537,0,1.0,0.22195833333333337,0,1.0,0.22195833333333337,0,1.0,0.012010770372676895,0,1.0,0.012010770372676895
6,150.0,0.019642719855675332,91.5,360p,1,JPEG,host,172.27.151.145,0.00174714968754695,172.27.151.145,0.006725925665635329,0,1.0,0.21899999999999997,0,1.0,0.21899999999999997,0,1.0,0.277122439313615,0,1.0,0.277122439313615,cloud,114.212.81.11,0.0050490360993605396,114.212.81.11,0.006120608403132512,0,1.0,0.23787499999999998,0,1.0,0.23787499999999998,0,1.0,0.012010770372676895,0,1.0,0.012010770372676895
7,175.0,0.01949790807870718,91.5,360p,1,JPEG,host,172.27.151.145,0.0019056980426494891,172.27.151.145,0.007005737378047064,0,1.0,0.20074999999999998,0,1.0,0.20074999999999998,0,1.0,0.2771234332965394,0,1.0,0.2771234332965394,cloud,114.212.81.11,0.004576490475581243,114.212.81.11,0.006009982182429387,0,1.0,0.2238125,0,1.0,0.2238125,0,1.0,0.012010770372676895,0,1.0,0.012010770372676895
8,200.0,0.019271181179926947,91.5,360p,1,JPEG,host,172.27.151.145,0.001606455216040978,172.27.151.145,0.007141480079064002,0,1.0,0.23850000000000002,0,1.0,0.23850000000000002,0,1.0,0.27703596279919507,0,1.0,0.27703596279919507,cloud,114.212.81.11,0.00466304558974046,114.212.81.11,0.005860200295081505,0,1.0,0.22143750000000004,0,1.0,0.22143750000000004,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
9,225.0,0.01943232462956355,91.5,360p,1,JPEG,host,172.27.151.145,0.0015732416739830603,172.27.151.145,0.006724825272193322,0,1.0,0.304,0,1.0,0.304,0,1.0,0.27698179072981705,0,1.0,0.27698179072981705,cloud,114.212.81.11,0.004730793145986704,114.212.81.11,0.0064034645374004655,0,1.0,0.22337500000000002,0,1.0,0.22337500000000002,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
10,250.0,0.01830589771270752,91.5,360p,1,JPEG,host,172.27.151.145,0.0015505368892963116,172.27.151.145,0.00670623779296875,0,1.0,0.247,0,1.0,0.247,0,1.0,0.27698179072981705,0,1.0,0.27698179072981705,cloud,114.212.81.11,0.0046144632192758415,114.212.81.11,0.005434659811166616,0,1.0,0.2237916666666667,0,1.0,0.2237916666666667,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
11,275.0,0.01950669288635254,91.5,360p,1,JPEG,host,172.27.151.145,0.001584190588731032,172.27.151.145,0.006629540370060848,0,1.0,0.247,0,1.0,0.247,0,1.0,0.27698179072981705,0,1.0,0.27698179072981705,cloud,114.212.81.11,0.004622707000145545,114.212.81.11,0.006670254927415114,0,1.0,0.2237916666666667,0,1.0,0.2237916666666667,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
12,300.0,0.019726854104262132,91.5,360p,1,JPEG,host,172.27.151.145,0.0018623883907611554,172.27.151.145,0.007031449904808631,0,1.0,0.20575,0,1.0,0.20575,0,1.0,0.27693805548114486,0,1.0,0.27693805548114486,cloud,114.212.81.11,0.004568851911104643,114.212.81.11,0.006264163897587703,0,1.0,0.21027083333333332,0,1.0,0.21027083333333332,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
13,325.0,0.02248483437758226,91.4,360p,1,JPEG,host,172.27.151.145,0.001808322392977201,172.27.151.145,0.006840880100543683,0,1.0,0.2645,0,1.0,0.2645,0,1.0,0.27658966446615413,0,1.0,0.27658966446615413,cloud,114.212.81.11,0.00741733954502986,114.212.81.11,0.006418292339031514,0,1.0,0.3076875,0,1.0,0.3076875,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
14,350.0,0.019344678291907676,91.4,360p,1,JPEG,host,172.27.151.145,0.0017998218536376953,172.27.151.145,0.007300156813401442,0,1.0,0.266,0,1.0,0.266,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.004377200053288386,114.212.81.11,0.005867499571580154,0,1.0,0.2305208333333333,0,1.0,0.2305208333333333,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
15,375.0,0.0194170016508836,91.4,360p,1,JPEG,host,172.27.151.145,0.0016856743739201473,172.27.151.145,0.007025085962735689,0,1.0,0.22725,0,1.0,0.22725,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.004616948274465708,114.212.81.11,0.006089293039762056,0,1.0,0.2306041666666667,0,1.0,0.2306041666666667,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
16,400.0,0.020687442559462327,91.4,360p,1,JPEG,host,172.27.151.145,0.001636798565204327,172.27.151.145,0.006801458505483774,0,1.0,0.23399999999999999,0,1.0,0.23399999999999999,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.005671776258028471,114.212.81.11,0.006577409230745756,0,1.0,0.196125,0,1.0,0.196125,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
17,425.0,0.020264579699589655,91.4,360p,1,JPEG,host,172.27.151.145,0.0018512285672701322,172.27.151.145,0.0066881821705744825,0,1.0,0.23399999999999999,0,1.0,0.23399999999999999,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.004787610127375676,114.212.81.11,0.006937558834369366,0,1.0,0.196125,0,1.0,0.196125,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
18,450.0,0.02023460314824031,91.4,360p,1,JPEG,host,172.27.151.145,0.001655706992516151,172.27.151.145,0.007107762190011831,0,1.0,0.23125,0,1.0,0.23125,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.004764813643235426,114.212.81.11,0.006706320322476901,0,1.0,0.21666666666666667,0,1.0,0.21666666666666667,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
19,475.0,0.020548572907081016,91.4,360p,1,JPEG,host,172.27.151.145,0.001968246239882249,172.27.151.145,0.00666359754709097,0,1.0,0.24325,0,1.0,0.24325,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.004839805456308218,114.212.81.11,0.00707692366379958,0,1.0,0.22333333333333336,0,1.0,0.22333333333333336,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
20,500.0,0.020321204112126276,91.4,360p,1,JPEG,host,172.27.151.145,0.001728947346027081,172.27.151.145,0.006831636795630821,0,1.0,0.24325,0,1.0,0.24325,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.0049334305983323315,114.212.81.11,0.0068271893721360425,0,1.0,0.22333333333333336,0,1.0,0.22333333333333336,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
21,525.0,0.019964786676260143,91.4,360p,1,JPEG,host,172.27.151.145,0.0017499373509333683,172.27.151.145,0.006781422174893892,0,1.0,0.21875,0,1.0,0.21875,0,1.0,0.2754530449921401,0,1.0,0.2754530449921401,cloud,114.212.81.11,0.004515877136817345,114.212.81.11,0.0069175500136155355,0,1.0,0.22683333333333333,0,1.0,0.22683333333333333,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
22,550.0,0.019933507992671087,91.4,360p,1,JPEG,host,172.27.151.145,0.0016720478351299579,172.27.151.145,0.0067290892967811,0,1.0,0.22899999999999998,0,1.0,0.22899999999999998,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.004512970264141376,114.212.81.11,0.007019400596618653,0,1.0,0.22,0,1.0,0.22,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
23,575.0,0.02068804777585543,91.5,360p,1,JPEG,host,172.27.151.145,0.0017002179072453426,172.27.151.145,0.007157930961022011,0,1.0,0.22524999999999998,0,1.0,0.22524999999999998,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.004891313039339506,114.212.81.11,0.006938585868248572,0,1.0,0.2209375,0,1.0,0.2209375,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
24,600.0,0.0269775574023907,91.5,360p,1,JPEG,host,172.27.151.145,0.0018833967355581431,172.27.151.145,0.0067409001863919776,0,1.0,0.1525,0,1.0,0.1525,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.00811466803917518,114.212.81.11,0.010238592441265399,0,1.0,0.15783333333333335,0,1.0,0.15783333333333335,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
25,625.0,0.020700656450711764,91.5,360p,1,JPEG,host,172.27.151.145,0.0019296957896305965,172.27.151.145,0.007295425121600811,0,1.0,0.19725,0,1.0,0.19725,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.00467529663672814,114.212.81.11,0.006800238902752217,0,1.0,0.21402083333333333,0,1.0,0.21402083333333333,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
26,650.0,0.020075385387127217,91.5,360p,1,JPEG,host,172.27.151.145,0.001847092921917255,172.27.151.145,0.0070164387042705835,0,1.0,0.2075,0,1.0,0.2075,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.00452125989473783,114.212.81.11,0.006690593866201548,0,1.0,0.22135416666666666,0,1.0,0.22135416666666666,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
27,675.0,0.020445796159597546,91.5,360p,1,JPEG,host,172.27.151.145,0.0021848403490506685,172.27.151.145,0.006659003404470591,0,1.0,0.2075,0,1.0,0.2075,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.004653242918161245,114.212.81.11,0.006948709487915039,0,1.0,0.22135416666666666,0,1.0,0.22135416666666666,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
28,700.0,0.0201339629980234,91.5,360p,1,JPEG,host,172.27.151.145,0.0016885995864868164,172.27.151.145,0.006613694704495944,0,1.0,0.17550000000000002,0,1.0,0.17550000000000002,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.004462251296410194,114.212.81.11,0.007369417410630446,0,1.0,0.225375,0,1.0,0.225375,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
29,725.0,0.024569355524503268,91.5,360p,1,JPEG,host,172.27.151.145,0.0017127899023202749,172.27.151.145,0.0066760503328763526,0,1.0,0.22375,0,1.0,0.22375,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.00819242917574369,114.212.81.11,0.00798808611356295,0,1.0,0.16608333333333333,0,1.0,0.16608333333333333,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
30,750.0,0.02320389564220722,91.4,360p,1,JPEG,host,172.27.151.145,0.0018393351481511043,172.27.151.145,0.007196371371929462,0,1.0,0.20825,0,1.0,0.20825,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.0069015209491436295,114.212.81.11,0.0072666681729830224,0,1.0,0.18216666666666667,0,1.0,0.18216666666666667,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
31,775.0,0.023246710117046647,91.4,360p,1,JPEG,host,172.27.151.145,0.0015250169313870943,172.27.151.145,0.006751262224637544,0,1.0,0.251,0,1.0,0.251,0,1.0,0.27545403897506443,0,1.0,0.27545403897506443,cloud,114.212.81.11,0.007417623813335712,114.212.81.11,0.007552807147686298,0,1.0,0.15225,0,1.0,0.15225,0,1.0,0.012010785536833667,0,1.0,0.012010785536833667
