n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,5.404173493385315,85.1,1080p,30,JPEG,host,172.27.151.145,1.9870522022247314,172.27.151.145,0.14915895462036133,0,1.0,0.161,0,1.0,0.161,0,1.0,0.27194527925204776,0,1.0,0.27194527925204776,host,172.27.151.145,3.1839945316314697,172.27.151.145,0.08396780490875244,0,1.0,0.18375,0,1.0,0.18375,0,1.0,0.26316890702134627,0,1.0,0.26316890702134627
2,2.0,0.6341733932495117,97.9,1080p,30,JPEG,host,172.27.151.145,0.11520183086395264,172.27.151.145,0.1691596508026123,0,1.0,0.07575,0,1.0,0.07575,0,1.0,0.2124981424944101,0,1.0,0.2124981424944101,host,172.27.151.145,0.26922404766082764,172.27.151.145,0.08058786392211914,0,1.0,0.26,0,1.0,0.26,0,1.0,0.256243827987279,0,1.0,0.256243827987279
3,3.0,0.43154752254486084,97.9,1080p,30,JPEG,host,172.27.151.145,0.0257565975189209,172.27.151.145,0.15401923656463623,0,1.0,0.07575,0,1.0,0.07575,0,1.0,0.2124981424944101,0,1.0,0.2124981424944101,host,172.27.151.145,0.17511677742004395,172.27.151.145,0.07665491104125977,0,1.0,0.26,0,1.0,0.26,0,1.0,0.256243827987279,0,1.0,0.256243827987279
4,4.0,0.42038989067077637,97.9,1080p,30,JPEG,host,172.27.151.145,0.02111351490020752,172.27.151.145,0.14950454235076904,0,1.0,0.29425,0,1.0,0.29425,0,1.0,0.2132704672266435,0,1.0,0.2132704672266435,host,172.27.151.145,0.17379522323608398,172.27.151.145,0.07597661018371582,0,1.0,0.27325,0,1.0,0.27325,0,1.0,0.2508146932543846,0,1.0,0.2508146932543846
5,5.0,0.42715513706207275,97.9,1080p,30,JPEG,host,172.27.151.145,0.025229811668395996,172.27.151.145,0.15033161640167236,0,1.0,0.247,0,1.0,0.247,0,1.0,0.2132704672266435,0,1.0,0.2132704672266435,host,172.27.151.145,0.17250466346740723,172.27.151.145,0.07908904552459717,0,1.0,0.2825,0,1.0,0.2825,0,1.0,0.2508146932543846,0,1.0,0.2508146932543846
6,6.0,0.42305850982666016,97.9,1080p,30,JPEG,host,172.27.151.145,0.02325296401977539,172.27.151.145,0.15381133556365967,0,1.0,0.26775,0,1.0,0.26775,0,1.0,0.2132709642181057,0,1.0,0.2132709642181057,host,172.27.151.145,0.16876554489135742,172.27.151.145,0.07722866535186768,0,1.0,0.27399999999999997,0,1.0,0.27399999999999997,0,1.0,0.25081519024584675,0,1.0,0.25081519024584675
7,7.0,0.4279305934906006,97.9,1080p,30,JPEG,host,172.27.151.145,0.021724224090576172,172.27.151.145,0.15285241603851318,0,1.0,0.22925,0,1.0,0.22925,0,1.0,0.2132709642181057,0,1.0,0.2132709642181057,host,172.27.151.145,0.1765296459197998,172.27.151.145,0.07682430744171143,0,1.0,0.28300000000000003,0,1.0,0.28300000000000003,0,1.0,0.2508161842287711,0,1.0,0.2508161842287711
8,8.0,0.42149126529693604,97.9,1080p,30,JPEG,host,172.27.151.145,0.0207211971282959,172.27.151.145,0.1495828628540039,0,1.0,0.30024999999999996,0,1.0,0.30024999999999996,0,1.0,0.2132709642181057,0,1.0,0.2132709642181057,host,172.27.151.145,0.17464804649353027,172.27.151.145,0.07653915882110596,0,1.0,0.27875,0,1.0,0.27875,0,1.0,0.2508161842287711,0,1.0,0.2508161842287711
9,9.0,0.4215468168258667,97.9,1080p,30,JPEG,host,172.27.151.145,0.020737051963806152,172.27.151.145,0.15008759498596191,0,1.0,0.30024999999999996,0,1.0,0.30024999999999996,0,1.0,0.2132709642181057,0,1.0,0.2132709642181057,host,172.27.151.145,0.1724010705947876,172.27.151.145,0.07832109928131104,0,1.0,0.27875,0,1.0,0.27875,0,1.0,0.2508161842287711,0,1.0,0.2508161842287711
10,10.0,0.470636248588562,97.9,1080p,30,JPEG,host,172.27.151.145,0.02181708812713623,172.27.151.145,0.15043926239013672,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,1.0,0.21327245519249224,0,1.0,0.21327245519249224,host,172.27.151.145,0.2194204330444336,172.27.151.145,0.07895946502685547,0,1.0,0.273,0,1.0,0.273,0,1.0,0.2508161842287711,0,1.0,0.2508161842287711
11,11.0,0.4397701025009155,97.9,1080p,30,JPEG,host,172.27.151.145,0.02153778076171875,172.27.151.145,0.15436136722564697,0,1.0,0.289,0,1.0,0.289,0,1.0,0.21318945761830757,0,1.0,0.21318945761830757,host,172.27.151.145,0.18875527381896973,172.27.151.145,0.07511568069458008,0,1.0,0.27775,0,1.0,0.27775,0,1.0,0.2503191927665875,0,1.0,0.2503191927665875
12,12.0,0.42944931983947754,97.9,1080p,30,JPEG,host,172.27.151.145,0.019881367683410645,172.27.151.145,0.14986932277679443,0,1.0,0.25025,0,1.0,0.25025,0,1.0,0.21318945761830757,0,1.0,0.21318945761830757,host,172.27.151.145,0.18313324451446533,172.27.151.145,0.07656538486480713,0,1.0,0.273,0,1.0,0.273,0,1.0,0.2503191927665875,0,1.0,0.2503191927665875
13,13.0,0.44508087635040283,97.9,1080p,30,JPEG,host,172.27.151.145,0.021548748016357422,172.27.151.145,0.15100812911987305,0,1.0,0.28875,0,1.0,0.28875,0,1.0,0.21318995460976975,0,1.0,0.21318995460976975,host,172.27.151.145,0.1973179578781128,172.27.151.145,0.07520604133605957,0,1.0,0.27225,0,1.0,0.27225,0,1.0,0.2502630327313607,0,1.0,0.2502630327313607
14,14.0,0.42237114906311035,97.9,1080p,30,JPEG,host,172.27.151.145,0.021175742149353027,172.27.151.145,0.15159368515014648,0,1.0,0.294,0,1.0,0.294,0,1.0,0.21318995460976975,0,1.0,0.21318995460976975,host,172.27.151.145,0.17324435710906982,172.27.151.145,0.07635736465454102,0,1.0,0.27399999999999997,0,1.0,0.27399999999999997,0,1.0,0.2502361951924028,0,1.0,0.2502361951924028
15,15.0,0.4243277311325073,97.9,1080p,30,JPEG,host,172.27.151.145,0.02604222297668457,172.27.151.145,0.15078461170196533,0,1.0,0.287,0,1.0,0.287,0,1.0,0.21318995460976975,0,1.0,0.21318995460976975,host,172.27.151.145,0.17168593406677246,172.27.151.145,0.07581496238708496,0,1.0,0.27649999999999997,0,1.0,0.27649999999999997,0,1.0,0.250066224112336,0,1.0,0.250066224112336
