n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,25.0,0.14263032949887788,47.7,360p,1,JPEG,cloud,114.212.81.11,0.055469430409944974,114.212.81.11,0.0043871677838839,0,1.0,0.020791666666666667,0,1.0,0.020791666666666667,0,1.0,0.009374875985630384,0,1.0,0.009374875985630384,cloud,114.212.81.11,0.07878757440126859,114.212.81.11,0.00398615690378043,0,1.0,0.03314583333333333,0,1.0,0.03314583333333333,0,1.0,0.010849514411097166,0,1.0,0.010849514411097166
2,50.0,0.01390391129713792,47.7,360p,1,JPEG,cloud,114.212.81.11,0.0007370160176203801,114.212.81.11,0.004540883577786959,0,1.0,0.021625000000000002,0,1.0,0.021625000000000002,0,1.0,0.008227207108519968,0,1.0,0.008227207108519968,cloud,114.212.81.11,0.004551117236797626,114.212.81.11,0.004074894464932955,0,1.0,0.2215625,0,1.0,0.2215625,0,1.0,0.010849666052664903,0,1.0,0.010849666052664903
3,75.0,0.014675048681405876,47.7,360p,1,JPEG,cloud,114.212.81.11,0.0008342816279484675,114.212.81.11,0.0044073875133807845,0,1.0,0.019125,0,1.0,0.019125,0,1.0,0.008227282929303836,0,1.0,0.008227282929303836,cloud,114.212.81.11,0.004659111683185284,114.212.81.11,0.004774267856891339,0,1.0,0.21477083333333336,0,1.0,0.21477083333333336,0,1.0,0.010849711545135225,0,1.0,0.010849711545135225
4,100.0,0.014951164905841533,47.7,360p,1,JPEG,cloud,114.212.81.11,0.000683747805081881,114.212.81.11,0.005372129953824557,0,1.0,0.011645833333333333,0,1.0,0.011645833333333333,0,1.0,0.008227313257617384,0,1.0,0.008227313257617384,cloud,114.212.81.11,0.004578544543339656,114.212.81.11,0.00431674260359544,0,1.0,0.2185625,0,1.0,0.2185625,0,1.0,0.010849741873448773,0,1.0,0.010849741873448773
5,125.0,0.01529989792750432,47.7,360p,1,JPEG,cloud,114.212.81.11,0.000675201416015625,114.212.81.11,0.004542992665217473,0,1.0,0.011791666666666667,0,1.0,0.011791666666666667,0,1.0,0.008227328421774158,0,1.0,0.008227328421774158,cloud,114.212.81.11,0.005946003473722017,114.212.81.11,0.004135700372549203,0,1.0,0.19799999999999998,0,1.0,0.19799999999999998,0,1.0,0.010849741873448773,0,1.0,0.010849741873448773
6,150.0,0.01386260986328125,47.7,360p,1,JPEG,cloud,114.212.81.11,0.0005568632712730995,114.212.81.11,0.004171316440288837,0,1.0,0.014333333333333332,0,1.0,0.014333333333333332,0,1.0,0.008227328421774158,0,1.0,0.008227328421774158,cloud,114.212.81.11,0.004971531721261831,114.212.81.11,0.004162898430457482,0,1.0,0.23675000000000002,0,1.0,0.23675000000000002,0,1.0,0.010849741873448773,0,1.0,0.010849741873448773
7,175.0,0.013104466291574331,84.6,360p,1,JPEG,cloud,114.212.81.11,0.0007276168236365685,114.212.81.11,0.00385289925795335,0,1.0,0.0219375,0,1.0,0.0219375,0,1.0,0.008227328421774158,0,1.0,0.008227328421774158,cloud,114.212.81.11,0.004568714361924391,114.212.81.11,0.003955235848060021,0,1.0,0.22420833333333334,0,1.0,0.22420833333333334,0,1.0,0.010851015662617772,0,1.0,0.010851015662617772
8,200.0,0.014363967455350436,84.6,360p,1,JPEG,cloud,114.212.81.11,0.0007779506536630484,114.212.81.11,0.004224832241351788,0,1.0,0.0205,0,1.0,0.0205,0,1.0,0.008227328421774158,0,1.0,0.008227328421774158,cloud,114.212.81.11,0.004935347116910494,114.212.81.11,0.004425837443425105,0,1.0,0.21897916666666664,0,1.0,0.21897916666666664,0,1.0,0.010851030826774544,0,1.0,0.010851030826774544
9,225.0,0.014015692930955153,84.6,360p,1,JPEG,cloud,114.212.81.11,0.0007158151039710412,114.212.81.11,0.0036754883252657377,0,1.0,0.022270833333333333,0,1.0,0.022270833333333333,0,1.0,0.008227328421774158,0,1.0,0.008227328421774158,cloud,114.212.81.11,0.005468496909508338,114.212.81.11,0.004155892592210036,0,1.0,0.26491666666666663,0,1.0,0.26491666666666663,0,1.0,0.010851030826774544,0,1.0,0.010851030826774544
10,250.0,0.015164769612825833,84.6,360p,1,JPEG,cloud,114.212.81.11,0.0007792894656841571,114.212.81.11,0.0043333402046790495,0,1.0,0.020458333333333332,0,1.0,0.020458333333333332,0,1.0,0.008227328421774158,0,1.0,0.008227328421774158,cloud,114.212.81.11,0.0056618360372690055,114.212.81.11,0.004390303905193621,0,1.0,0.26445833333333335,0,1.0,0.26445833333333335,0,1.0,0.010851030826774544,0,1.0,0.010851030826774544
