n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,6.089440941810608,84.1,1080p,30,JPEG,host,172.27.151.145,2.510699152946472,172.27.151.145,0.1476215124130249,2,0.2,0.15475,2,0.2,0.15475,0,1,0.2796257853086342,0,1,0.2796257853086342,host,172.27.151.145,3.3393646478652954,172.27.151.145,0.09175562858581543,2,0.2,0.18,2,0.2,0.18,0,1,0.24885853485922965,0,1,0.24885853485922965
2,2.0,0.6992121934890747,97.9,1080p,30,JPEG,host,172.27.151.145,0.13009607791900635,172.27.151.145,0.22737336158752441,0,0.2,0.07675,0,0.2,0.07675,0,1,0.2338980978645768,0,1,0.2338980978645768,host,172.27.151.145,0.26598238945007324,172.27.151.145,0.0757603645324707,2,0.2,0.263,2,0.2,0.263,0,1,0.23681295279028405,0,1,0.23681295279028405
3,3.0,0.4365590810775757,97.9,1080p,30,JPEG,host,172.27.151.145,0.02604818344116211,172.27.151.145,0.1529552936553955,2,0.2,0.239,2,0.2,0.239,0,1,0.23366799081758574,0,1,0.23366799081758574,host,172.27.151.145,0.18194162845611572,172.27.151.145,0.07561397552490234,2,0.2,0.2675,2,0.2,0.2675,0,1,0.23687259176574604,0,1,0.23687259176574604
4,4.0,0.41536664962768555,97.9,1080p,30,JPEG,host,172.27.151.145,0.020988941192626953,172.27.151.145,0.14869976043701172,2,0.2,0.23725000000000002,2,0.2,0.23725000000000002,0,1,0.2336689848005101,0,1,0.2336689848005101,host,172.27.151.145,0.171683669090271,172.27.151.145,0.07399427890777588,2,0.2,0.27625,2,0.2,0.27625,0,1,0.23688104062060314,0,1,0.23688104062060314
5,5.0,0.42200446128845215,97.9,1080p,30,JPEG,host,172.27.151.145,0.022081732749938965,172.27.151.145,0.1461491584777832,2,0.2,0.28175,2,0.2,0.28175,0,1,0.2336689848005101,0,1,0.2336689848005101,host,172.27.151.145,0.1747196912765503,172.27.151.145,0.07905387878417969,2,0.2,0.27875,2,0.2,0.27875,0,1,0.2368800466376788,0,1,0.2368800466376788
6,6.0,0.4238119125366211,97.9,1080p,30,JPEG,host,172.27.151.145,0.024738192558288574,172.27.151.145,0.15086472034454346,2,0.2,0.2515,2,0.2,0.2515,0,1,0.2336620269200395,0,1,0.2336620269200395,host,172.27.151.145,0.17429304122924805,172.27.151.145,0.07391595840454102,2,0.2,0.2725,2,0.2,0.2725,0,1,0.236856191047494,0,1,0.236856191047494
7,7.0,0.41467487812042236,97.9,1080p,30,JPEG,host,172.27.151.145,0.021083831787109375,172.27.151.145,0.14923322200775146,2,0.2,0.29525,2,0.2,0.29525,0,1,0.23366152992857736,0,1,0.23366152992857736,host,172.27.151.145,0.1686931848526001,172.27.151.145,0.07566463947296143,2,0.2,0.2815,2,0.2,0.2815,0,1,0.23680003101226724,0,1,0.23680003101226724
8,8.0,0.42064011096954346,97.9,1080p,30,JPEG,host,172.27.151.145,0.021149754524230957,172.27.151.145,0.1515352725982666,2,0.2,0.29425,2,0.2,0.29425,0,1,0.23366103293711518,0,1,0.23366103293711518,host,172.27.151.145,0.17251157760620117,172.27.151.145,0.07544350624084473,2,0.2,0.28975,2,0.2,0.28975,0,1,0.2366827410271919,0,1,0.2366827410271919
9,9.0,0.41701972484588623,97.9,1080p,30,JPEG,host,172.27.151.145,0.022206664085388184,172.27.151.145,0.150071382522583,2,0.2,0.22425,2,0.2,0.22425,0,1,0.233660535945653,0,1,0.233660535945653,host,172.27.151.145,0.17011606693267822,172.27.151.145,0.07462561130523682,2,0.2,0.28625,2,0.2,0.28625,0,1,0.2365729059140493,0,1,0.2365729059140493
10,10.0,0.4459496736526489,97.9,1080p,30,JPEG,host,172.27.151.145,0.021072745323181152,172.27.151.145,0.1500319242477417,2,0.2,0.29525,2,0.2,0.29525,0,1,0.2336600389541908,0,1,0.2336600389541908,host,172.27.151.145,0.19844436645507812,172.27.151.145,0.07640063762664795,2,0.2,0.28325,2,0.2,0.28325,0,1,0.23652121880198218,0,1,0.23652121880198218
11,11.0,0.5094081163406372,97.9,1080p,30,JPEG,host,172.27.151.145,0.021018266677856445,172.27.151.145,0.16080999374389648,2,0.2,0.23600000000000002,2,0.2,0.23600000000000002,0,1,0.23365904497126644,0,1,0.23365904497126644,host,172.27.151.145,0.2238302230834961,172.27.151.145,0.10374963283538818,2,0.2,0.27325,2,0.2,0.27325,0,1,0.23532446336104393,0,1,0.23532446336104393
12,12.0,0.4216080904006958,97.9,1080p,30,JPEG,host,172.27.151.145,0.02400529384613037,172.27.151.145,0.1541905403137207,2,0.2,0.25925,2,0.2,0.25925,0,1,0.23258007650686569,0,1,0.23258007650686569,host,172.27.151.145,0.16946077346801758,172.27.151.145,0.07395148277282715,2,0.2,0.27275,2,0.2,0.27275,0,1,0.2353249603525061,0,1,0.2353249603525061
13,13.0,0.4246925115585327,97.9,1080p,30,JPEG,host,172.27.151.145,0.02406919002532959,172.27.151.145,0.15198850631713867,2,0.2,0.25875,2,0.2,0.25875,0,1,0.23258057349832786,0,1,0.23258057349832786,host,172.27.151.145,0.17047107219696045,172.27.151.145,0.078163743019104,2,0.2,0.2785,2,0.2,0.2785,0,1,0.2353249603525061,0,1,0.2353249603525061
14,14.0,0.419142484664917,97.9,1080p,30,JPEG,host,172.27.151.145,0.020983219146728516,172.27.151.145,0.14972853660583496,2,0.2,0.2955,2,0.2,0.2955,0,1,0.23258007650686569,0,1,0.23258007650686569,host,172.27.151.145,0.1725233793258667,172.27.151.145,0.07590734958648682,2,0.2,0.28225,2,0.2,0.28225,0,1,0.23533191823297667,0,1,0.23533191823297667
15,15.0,0.42776787281036377,97.9,1080p,30,JPEG,host,172.27.151.145,0.021525025367736816,172.27.151.145,0.15347576141357422,2,0.2,0.23125,2,0.2,0.23125,0,1,0.2325790825239413,0,1,0.2325790825239413,host,172.27.151.145,0.17236828804016113,172.27.151.145,0.0803987979888916,2,0.2,0.2755,2,0.2,0.2755,0,1,0.23532446336104393,0,1,0.23532446336104393
16,16.0,0.4637836217880249,98.2,1080p,30,JPEG,host,172.27.151.145,0.023470520973205566,172.27.151.145,0.1511629819869995,2,0.2,0.265,2,0.2,0.265,0,1,0.2325790825239413,0,1,0.2325790825239413,host,172.27.151.145,0.20687735080718994,172.27.151.145,0.08227276802062988,2,0.2,0.25975000000000004,2,0.2,0.25975000000000004,0,1,0.2353160145061868,0,1,0.2353160145061868
17,17.0,0.4420579671859741,98.2,1080p,30,JPEG,host,172.27.151.145,0.021375417709350586,172.27.151.145,0.15868258476257324,2,0.2,0.233,2,0.2,0.233,0,1,0.232204847952917,0,1,0.232204847952917,host,172.27.151.145,0.1881011724472046,172.27.151.145,0.0738987922668457,2,0.2,0.28550000000000003,2,0.2,0.28550000000000003,0,1,0.23516741405899388,0,1,0.23516741405899388
18,18.0,0.4324432611465454,98.2,1080p,30,JPEG,host,172.27.151.145,0.021155714988708496,172.27.151.145,0.14955544471740723,2,0.2,0.23525,2,0.2,0.23525,0,1,0.232204847952917,0,1,0.232204847952917,host,172.27.151.145,0.1857084035873413,172.27.151.145,0.07602369785308838,2,0.2,0.28225,2,0.2,0.28225,0,1,0.23516741405899388,0,1,0.23516741405899388
19,19.0,0.4213341474533081,98.2,1080p,30,JPEG,host,172.27.151.145,0.025676965713500977,172.27.151.145,0.14847350120544434,2,0.2,0.29100000000000004,2,0.2,0.29100000000000004,0,1,0.232204847952917,0,1,0.232204847952917,host,172.27.151.145,0.17225968837738037,172.27.151.145,0.07492399215698242,2,0.2,0.28275,2,0.2,0.28275,0,1,0.23516791105045606,0,1,0.23516791105045606
20,20.0,0.41565775871276855,98.2,1080p,30,JPEG,host,172.27.151.145,0.021449685096740723,172.27.151.145,0.14883708953857422,2,0.2,0.29025,2,0.2,0.29025,0,1,0.232204847952917,0,1,0.232204847952917,host,172.27.151.145,0.17082726955413818,172.27.151.145,0.07454371452331543,2,0.2,0.278,2,0.2,0.278,0,1,0.23516791105045606,0,1,0.23516791105045606
21,21.0,0.46841418743133545,98.2,1080p,30,JPEG,host,172.27.151.145,0.029896140098571777,172.27.151.145,0.17713844776153564,2,0.2,0.25025,2,0.2,0.25025,0,1,0.23220385396999266,0,1,0.23220385396999266,host,172.27.151.145,0.17560851573944092,172.27.151.145,0.08577108383178711,2,0.2,0.27025,2,0.2,0.27025,0,1,0.23510827207499405,0,1,0.23510827207499405
22,22.0,0.4350236654281616,98.2,1080p,30,JPEG,host,172.27.151.145,0.021224498748779297,172.27.151.145,0.1585831642150879,2,0.2,0.293,2,0.2,0.293,0,1,0.23220385396999266,0,1,0.23220385396999266,host,172.27.151.145,0.18100929260253906,172.27.151.145,0.07420670986175537,2,0.2,0.28300000000000003,2,0.2,0.28300000000000003,0,1,0.2351087690664562,0,1,0.2351087690664562
23,23.0,0.4561488628387451,98.2,1080p,30,JPEG,host,172.27.151.145,0.026329398155212402,172.27.151.145,0.15601634979248047,2,0.2,0.28350000000000003,2,0.2,0.28350000000000003,0,1,0.23216807058471542,0,1,0.23216807058471542,host,172.27.151.145,0.20117974281311035,172.27.151.145,0.0726233720779419,2,0.2,0.27325,2,0.2,0.27325,0,1,0.231566213924011,0,1,0.231566213924011
24,24.0,0.4292951822280884,98.2,1080p,30,JPEG,host,172.27.151.145,0.02127552032470703,172.27.151.145,0.15008020401000977,2,0.2,0.23399999999999999,2,0.2,0.23399999999999999,0,1,0.23216807058471542,0,1,0.23216807058471542,host,172.27.151.145,0.18366467952728271,172.27.151.145,0.07427477836608887,2,0.2,0.27899999999999997,2,0.2,0.27899999999999997,0,1,0.231566213924011,0,1,0.231566213924011
25,25.0,0.44155633449554443,98.2,1080p,30,JPEG,host,172.27.151.145,0.020542502403259277,172.27.151.145,0.1518162488937378,2,0.2,0.303,2,0.2,0.303,0,1,0.23216657961032885,0,1,0.23216657961032885,host,172.27.151.145,0.19368040561676025,172.27.151.145,0.07551717758178711,2,0.2,0.2775,2,0.2,0.2775,0,1,0.2314538938535575,0,1,0.2314538938535575
