n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,2.0591527223587036,75.5,480p,30,JPEG,cloud,114.212.81.11,0.7596635818481445,114.212.81.11,0.06215333938598633,0,1.0,0.022354166666666665,0,1.0,0.022354166666666665,0,1.0,0.009422916034289738,0,1.0,0.009422916034289738,cloud,114.212.81.11,1.1804252862930298,114.212.81.11,0.05691051483154297,2,0.05,0.030875,2,0.05,0.030875,2,0.05,0.010847679548127537,2,0.05,0.010847679548127537
2,2.0,0.4888421297073364,75.5,480p,30,JPEG,cloud,114.212.81.11,0.012572765350341797,114.212.81.11,0.06183052062988281,0,1.0,0.07420833333333333,0,1.0,0.07420833333333333,0,1.0,0.00822929976215475,0,1.0,0.00822929976215475,cloud,114.212.81.11,0.34888386726379395,114.212.81.11,0.06555497646331787,2,0.05,0.0534375,2,0.05,0.0534375,2,0.05,0.01084780086138173,2,0.05,0.01084780086138173
3,3.0,0.5101909637451172,75.5,480p,30,JPEG,cloud,114.212.81.11,0.010897397994995117,114.212.81.11,0.06362295150756836,0,1.0,0.07420833333333333,0,1.0,0.07420833333333333,0,1.0,0.00822929976215475,0,1.0,0.00822929976215475,cloud,114.212.81.11,0.3423668146133423,114.212.81.11,0.09330379962921143,2,0.05,0.0534375,2,0.05,0.0534375,2,0.05,0.01084780086138173,2,0.05,0.01084780086138173
4,4.0,0.4579949378967285,75.5,480p,30,JPEG,cloud,114.212.81.11,0.013761639595031738,114.212.81.11,0.06477832794189453,0,1.0,0.06785416666666666,0,1.0,0.06785416666666666,0,1.0,0.008229345254625072,0,1.0,0.008229345254625072,cloud,114.212.81.11,0.3213268518447876,114.212.81.11,0.05812811851501465,2,0.05,0.05670833333333333,2,0.05,0.05670833333333333,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
5,5.0,0.4357646703720093,75.5,480p,30,JPEG,cloud,114.212.81.11,0.009647965431213379,114.212.81.11,0.05496656894683838,0,1.0,0.11804166666666667,0,1.0,0.11804166666666667,0,1.0,0.008229527224506357,0,1.0,0.008229527224506357,cloud,114.212.81.11,0.3164764642715454,114.212.81.11,0.05467367172241211,2,0.05,0.05856250000000001,2,0.05,0.05856250000000001,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
6,6.0,0.4769703149795532,75.5,480p,30,JPEG,cloud,114.212.81.11,0.009208083152770996,114.212.81.11,0.06529450416564941,0,1.0,0.11243750000000001,0,1.0,0.11243750000000001,0,1.0,0.00823293915978046,0,1.0,0.00823293915978046,cloud,114.212.81.11,0.3506319522857666,114.212.81.11,0.05183577537536621,2,0.05,0.05227083333333333,2,0.05,0.05227083333333333,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
7,7.0,0.456565260887146,75.5,480p,30,JPEG,cloud,114.212.81.11,0.009508371353149414,114.212.81.11,0.059766173362731934,0,1.0,0.09799999999999999,0,1.0,0.09799999999999999,0,1.0,0.00823293915978046,0,1.0,0.00823293915978046,cloud,114.212.81.11,0.32996928691864014,114.212.81.11,0.05732142925262451,2,0.05,0.05616666666666667,2,0.05,0.05616666666666667,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
8,8.0,0.5148622989654541,75.5,480p,30,JPEG,cloud,114.212.81.11,0.009815216064453125,114.212.81.11,0.058441877365112305,0,1.0,0.08433333333333333,0,1.0,0.08433333333333333,0,1.0,0.008232999816407554,0,1.0,0.008232999816407554,cloud,114.212.81.11,0.35074400901794434,114.212.81.11,0.09586119651794434,2,0.05,0.056125,2,0.05,0.056125,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
9,9.0,0.4505305290222168,75.5,480p,30,JPEG,cloud,114.212.81.11,0.009408235549926758,114.212.81.11,0.058271050453186035,0,1.0,0.09920833333333333,0,1.0,0.09920833333333333,0,1.0,0.008232999816407554,0,1.0,0.008232999816407554,cloud,114.212.81.11,0.32748639583587646,114.212.81.11,0.05536484718322754,2,0.05,0.057875,2,0.05,0.057875,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
10,10.0,0.44312751293182373,75.5,480p,30,JPEG,cloud,114.212.81.11,0.009219050407409668,114.212.81.11,0.06133091449737549,0,1.0,0.07860416666666667,0,1.0,0.07860416666666667,0,1.0,0.008232999816407554,0,1.0,0.008232999816407554,cloud,114.212.81.11,0.3168818950653076,114.212.81.11,0.05569565296173096,2,0.05,0.0561875,2,0.05,0.0561875,2,0.05,0.010847816025538502,2,0.05,0.010847816025538502
11,11.0,0.45673489570617676,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009175539016723633,114.212.81.11,0.06158304214477539,0,1.0,0.09029166666666666,0,1.0,0.09029166666666666,0,1.0,0.008233045308877876,0,1.0,0.008233045308877876,cloud,114.212.81.11,0.3303476572036743,114.212.81.11,0.05562865734100342,2,0.05,0.056125,2,0.05,0.056125,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
12,12.0,0.44406580924987793,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009057402610778809,114.212.81.11,0.05774486064910889,0,1.0,0.09133333333333332,0,1.0,0.09133333333333332,0,1.0,0.008233045308877876,0,1.0,0.008233045308877876,cloud,114.212.81.11,0.3229895830154419,114.212.81.11,0.05427396297454834,2,0.05,0.0586875,2,0.05,0.0586875,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
13,13.0,0.4780704975128174,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009349822998046875,114.212.81.11,0.06013190746307373,0,1.0,0.09972916666666666,0,1.0,0.09972916666666666,0,1.0,0.008233136293818518,0,1.0,0.008233136293818518,cloud,114.212.81.11,0.3568456172943115,114.212.81.11,0.051743149757385254,2,0.05,0.05222916666666666,2,0.05,0.05222916666666666,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
14,14.0,0.4828845262527466,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009395003318786621,114.212.81.11,0.06388676166534424,0,1.0,0.08814583333333333,0,1.0,0.08814583333333333,0,1.0,0.008233196950445613,0,1.0,0.008233196950445613,cloud,114.212.81.11,0.3277425765991211,114.212.81.11,0.08186018466949463,2,0.05,0.059729166666666667,2,0.05,0.059729166666666667,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
15,15.0,0.451246976852417,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010287761688232422,114.212.81.11,0.06013822555541992,0,1.0,0.090625,0,1.0,0.090625,0,1.0,0.00823330309954303,0,1.0,0.00823330309954303,cloud,114.212.81.11,0.3258554935455322,114.212.81.11,0.05496549606323242,2,0.05,0.0588125,2,0.05,0.0588125,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
16,16.0,0.4461888074874878,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010221600532531738,114.212.81.11,0.06441915035247803,0,1.0,0.1115,0,1.0,0.1115,0,1.0,0.00823330309954303,0,1.0,0.00823330309954303,cloud,114.212.81.11,0.31620872020721436,114.212.81.11,0.05533933639526367,2,0.05,0.05862499999999999,2,0.05,0.05862499999999999,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
17,17.0,0.4891655445098877,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010301470756530762,114.212.81.11,0.05975604057312012,0,1.0,0.09052083333333333,0,1.0,0.09052083333333333,0,1.0,0.008233363756170125,0,1.0,0.008233363756170125,cloud,114.212.81.11,0.3549712896347046,114.212.81.11,0.06413674354553223,2,0.05,0.05310416666666667,2,0.05,0.05310416666666667,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
18,18.0,0.4351431131362915,75.8,480p,30,JPEG,cloud,114.212.81.11,0.008981466293334961,114.212.81.11,0.05445265769958496,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.00823342441279722,0,1.0,0.00823342441279722,cloud,114.212.81.11,0.31604933738708496,114.212.81.11,0.05565965175628662,2,0.05,0.06029166666666666,2,0.05,0.06029166666666666,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
19,19.0,0.4366917610168457,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010174393653869629,114.212.81.11,0.05351364612579346,0,1.0,0.09168749999999999,0,1.0,0.09168749999999999,0,1.0,0.008233469905267542,0,1.0,0.008233469905267542,cloud,114.212.81.11,0.3188481330871582,114.212.81.11,0.054155588150024414,2,0.05,0.05585416666666667,2,0.05,0.05585416666666667,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
20,20.0,0.44735682010650635,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009820222854614258,114.212.81.11,0.056110382080078125,0,1.0,0.09495833333333333,0,1.0,0.09495833333333333,0,1.0,0.008233469905267542,0,1.0,0.008233469905267542,cloud,114.212.81.11,0.32517385482788086,114.212.81.11,0.056252360343933105,2,0.05,0.0566875,2,0.05,0.0566875,2,0.1,0.010847816025538502,2,0.1,0.010847816025538502
21,21.0,0.4946781396865845,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010883092880249023,114.212.81.11,0.05895340442657471,0,1.0,0.08564583333333335,0,1.0,0.08564583333333335,0,1.0,0.008233530561894636,0,1.0,0.008233530561894636,cloud,114.212.81.11,0.3741554021835327,114.212.81.11,0.05068624019622803,2,0.05,0.05456249999999999,2,0.05,0.05456249999999999,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
22,22.0,0.44718682765960693,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010692477226257324,114.212.81.11,0.0541917085647583,0,1.0,0.08564583333333335,0,1.0,0.08564583333333335,0,1.0,0.008233530561894636,0,1.0,0.008233530561894636,cloud,114.212.81.11,0.32681798934936523,114.212.81.11,0.055484652519226074,2,0.05,0.05456249999999999,2,0.05,0.05456249999999999,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
23,23.0,0.44324052333831787,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010557055473327637,114.212.81.11,0.05892288684844971,0,1.0,0.08833333333333333,0,1.0,0.08833333333333333,0,1.0,0.008233742860089469,0,1.0,0.008233742860089469,cloud,114.212.81.11,0.3181494474411011,114.212.81.11,0.05561113357543945,2,0.05,0.05958333333333333,2,0.05,0.05958333333333333,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
24,24.0,0.4883553981781006,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009481668472290039,114.212.81.11,0.056366801261901855,0,1.0,0.09829166666666667,0,1.0,0.09829166666666667,0,1.0,0.008233742860089469,0,1.0,0.008233742860089469,cloud,114.212.81.11,0.36009418964385986,114.212.81.11,0.06241273880004883,2,0.05,0.055249999999999994,2,0.05,0.055249999999999994,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
25,25.0,0.5295521020889282,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009227991104125977,114.212.81.11,0.0690993070602417,0,1.0,0.08933333333333333,0,1.0,0.08933333333333333,0,1.0,0.008233742860089469,0,1.0,0.008233742860089469,cloud,114.212.81.11,0.3998039960861206,114.212.81.11,0.05142080783843994,2,0.05,0.051312500000000004,2,0.05,0.051312500000000004,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
26,26.0,0.4607125520706177,75.8,480p,30,JPEG,cloud,114.212.81.11,0.009693503379821777,114.212.81.11,0.050392985343933105,0,1.0,0.106875,0,1.0,0.106875,0,1.0,0.008233803516716565,0,1.0,0.008233803516716565,cloud,114.212.81.11,0.3469768762588501,114.212.81.11,0.053649187088012695,2,0.05,0.05402083333333333,2,0.05,0.05402083333333333,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
27,27.0,0.44986188411712646,75.8,480p,30,JPEG,cloud,114.212.81.11,0.010192155838012695,114.212.81.11,0.05730485916137695,0,1.0,0.10162500000000001,0,1.0,0.10162500000000001,0,1.0,0.008233879337500433,0,1.0,0.008233879337500433,cloud,114.212.81.11,0.32362067699432373,114.212.81.11,0.058744192123413086,2,0.05,0.05760416666666667,2,0.05,0.05760416666666667,0,0.15,0.010847816025538502,0,0.15,0.010847816025538502
