n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,3.0711348056793213,81.5,1080p,30,JPEG,host,172.27.151.145,1.7938178777694702,172.27.151.145,0.14459967613220215,0,1.0,0.17775,0,1.0,0.17775,0,1.0,0.28019334955844793,0,1.0,0.28019334955844793,cloud,114.212.81.11,1.037393569946289,114.212.81.11,0.09532368183135986,0,1.0,0.03525,0,1.0,0.03525,0,1.0,0.01204916601762812,0,1.0,0.01204916601762812
2,2.0,0.3440004587173462,81.5,1080p,30,JPEG,host,172.27.151.145,0.024701833724975586,172.27.151.145,0.16129982471466064,0,1.0,0.252,0,1.0,0.252,0,1.0,0.28175042380946935,0,1.0,0.28175042380946935,cloud,114.212.81.11,0.06513607501983643,114.212.81.11,0.09286272525787354,0,1.0,0.24431250000000002,0,1.0,0.24431250000000002,0,1.0,0.012051607446868699,0,1.0,0.012051607446868699
3,3.0,0.3623746633529663,81.5,1080p,30,JPEG,host,172.27.151.145,0.02276444435119629,172.27.151.145,0.19336044788360596,0,1.0,0.21875,0,1.0,0.21875,0,1.0,0.2825053538405264,0,1.0,0.2825053538405264,cloud,114.212.81.11,0.058768391609191895,114.212.81.11,0.08748137950897217,0,1.0,0.25675000000000003,0,1.0,0.25675000000000003,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
4,4.0,0.31197619438171387,81.5,1080p,30,JPEG,host,172.27.151.145,0.022707462310791016,172.27.151.145,0.1535578966140747,0,1.0,0.27425,0,1.0,0.27425,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.059186577796936035,114.212.81.11,0.07652425765991211,0,1.0,0.25327083333333333,0,1.0,0.25327083333333333,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
5,5.0,0.3472776412963867,81.5,1080p,30,JPEG,host,172.27.151.145,0.02351522445678711,172.27.151.145,0.17143034934997559,0,1.0,0.2115,0,1.0,0.2115,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.06945514678955078,114.212.81.11,0.08287692070007324,0,1.0,0.24579166666666666,0,1.0,0.24579166666666666,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
6,6.0,0.3536638021469116,81.5,1080p,30,JPEG,host,172.27.151.145,0.02513909339904785,172.27.151.145,0.17361795902252197,0,1.0,0.24725000000000003,0,1.0,0.24725000000000003,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.0692833662033081,114.212.81.11,0.08562338352203369,0,1.0,0.231375,0,1.0,0.231375,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
7,7.0,0.33887267112731934,81.5,1080p,30,JPEG,host,172.27.151.145,0.023131728172302246,172.27.151.145,0.1651005744934082,0,1.0,0.21525,0,1.0,0.21525,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.06931662559509277,114.212.81.11,0.08132374286651611,0,1.0,0.23275,0,1.0,0.23275,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
8,8.0,0.35096871852874756,81.5,1080p,30,JPEG,host,172.27.151.145,0.029706716537475586,172.27.151.145,0.174690842628479,0,1.0,0.2515,0,1.0,0.2515,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.07031464576721191,114.212.81.11,0.07625651359558105,0,1.0,0.22947916666666668,0,1.0,0.22947916666666668,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
9,9.0,0.3754462003707886,81.5,1080p,30,JPEG,host,172.27.151.145,0.021665334701538086,172.27.151.145,0.18349874019622803,0,1.0,0.22949999999999998,0,1.0,0.22949999999999998,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.07511937618255615,114.212.81.11,0.09516274929046631,0,1.0,0.2147083333333333,0,1.0,0.2147083333333333,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
10,10.0,0.3270052671432495,81.5,1080p,30,JPEG,host,172.27.151.145,0.02345430850982666,172.27.151.145,0.14765918254852295,0,1.0,0.2655,0,1.0,0.2655,0,1.0,0.28250585083198854,0,1.0,0.28250585083198854,cloud,114.212.81.11,0.06839847564697266,114.212.81.11,0.08749330043792725,0,1.0,0.24354166666666666,0,1.0,0.24354166666666666,0,1.0,0.012051622611025471,0,1.0,0.012051622611025471
