n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,1.9488332271575928,74.3,360p,30,JPEG,cloud,114.212.81.11,0.7611922025680542,114.212.81.11,0.06788456439971924,0,1.0,0.020666666666666667,0,1.0,0.020666666666666667,0,1.0,0.00940894984590108,0,1.0,0.00940894984590108,cloud,114.212.81.11,1.0562455654144287,114.212.81.11,0.06351089477539062,2,0.1,0.034999999999999996,2,0.1,0.034999999999999996,0,1.0,0.010846026655039196,0,1.0,0.010846026655039196
2,2.0,0.3065221309661865,74.3,360p,30,JPEG,cloud,114.212.81.11,0.013459205627441406,114.212.81.11,0.07638490200042725,0,1.0,0.023145833333333334,0,1.0,0.023145833333333334,0,1.0,0.008225068962414863,0,1.0,0.008225068962414863,cloud,114.212.81.11,0.15500378608703613,114.212.81.11,0.06167423725128174,2,0.1,0.11887500000000001,2,0.1,0.11887500000000001,0,1.0,0.010846193460763707,0,1.0,0.010846193460763707
3,3.0,0.29918909072875977,74.3,360p,30,JPEG,cloud,114.212.81.11,0.010055065155029297,114.212.81.11,0.06787407398223877,0,1.0,0.020625,0,1.0,0.020625,0,1.0,0.008225099290728411,0,1.0,0.008225099290728411,cloud,114.212.81.11,0.1552678346633911,114.212.81.11,0.06599211692810059,2,0.1,0.11133333333333333,2,0.1,0.11133333333333333,0,1.0,0.010846223789077257,0,1.0,0.010846223789077257
4,4.0,0.2853856086730957,74.3,360p,30,JPEG,cloud,114.212.81.11,0.010962486267089844,114.212.81.11,0.06789684295654297,0,1.0,0.020625,0,1.0,0.020625,0,1.0,0.008225099290728411,0,1.0,0.008225099290728411,cloud,114.212.81.11,0.14030957221984863,114.212.81.11,0.06621670722961426,2,0.1,0.11133333333333333,2,0.1,0.11133333333333333,0,1.0,0.010846223789077257,0,1.0,0.010846223789077257
5,5.0,0.3061407804489136,74.3,360p,30,JPEG,cloud,114.212.81.11,0.010710716247558594,114.212.81.11,0.07200229167938232,0,1.0,0.01933333333333333,0,1.0,0.01933333333333333,0,1.0,0.008225099290728411,0,1.0,0.008225099290728411,cloud,114.212.81.11,0.15263259410858154,114.212.81.11,0.07079517841339111,2,0.1,0.11252083333333333,2,0.1,0.11252083333333333,0,1.0,0.01084623895323403,0,1.0,0.01084623895323403
6,6.0,0.2886018753051758,74.3,360p,30,JPEG,cloud,114.212.81.11,0.01110851764678955,114.212.81.11,0.0699225664138794,0,1.0,0.028,0,1.0,0.028,0,1.0,0.008225099290728411,0,1.0,0.008225099290728411,cloud,114.212.81.11,0.13240230083465576,114.212.81.11,0.07516849040985107,2,0.1,0.12264583333333334,2,0.1,0.12264583333333334,0,1.0,0.01084623895323403,0,1.0,0.01084623895323403
7,7.0,0.3065221309661865,74.3,360p,30,JPEG,cloud,114.212.81.11,0.011775732040405273,114.212.81.11,0.07415938377380371,0,1.0,0.017604166666666667,0,1.0,0.017604166666666667,0,1.0,0.008225099290728411,0,1.0,0.008225099290728411,cloud,114.212.81.11,0.15013360977172852,114.212.81.11,0.07045340538024902,2,0.1,0.12204166666666666,2,0.1,0.12204166666666666,0,1.0,0.010846254117390802,0,1.0,0.010846254117390802
8,8.0,0.28642141819000244,74.3,360p,30,JPEG,cloud,114.212.81.11,0.010947585105895996,114.212.81.11,0.06723487377166748,0,1.0,0.0189375,0,1.0,0.0189375,0,1.0,0.008225114454885185,0,1.0,0.008225114454885185,cloud,114.212.81.11,0.13644468784332275,114.212.81.11,0.07179427146911621,2,0.1,0.12589583333333332,2,0.1,0.12589583333333332,0,1.0,0.010846269281547576,0,1.0,0.010846269281547576
9,9.0,0.2892017364501953,74.3,360p,30,JPEG,cloud,114.212.81.11,0.009328961372375488,114.212.81.11,0.06739342212677002,0,1.0,0.02220833333333333,0,1.0,0.02220833333333333,0,1.0,0.00822512961904196,0,1.0,0.00822512961904196,cloud,114.212.81.11,0.1414051055908203,114.212.81.11,0.07107424736022949,2,0.1,0.13033333333333333,2,0.1,0.13033333333333333,0,1.0,0.010846269281547576,0,1.0,0.010846269281547576
10,10.0,0.28585004806518555,74.3,360p,30,JPEG,cloud,114.212.81.11,0.011280298233032227,114.212.81.11,0.07172489166259766,0,1.0,0.018354166666666664,0,1.0,0.018354166666666664,0,1.0,0.00822512961904196,0,1.0,0.00822512961904196,cloud,114.212.81.11,0.1345217227935791,114.212.81.11,0.06832313537597656,2,0.1,0.1261875,2,0.1,0.1261875,0,1.0,0.010846269281547576,0,1.0,0.010846269281547576
