n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
190,1433.0,0.1817467212677002,92.5,360p,10,JPEG,host,172.27.151.145,0.013477981090545654,172.27.151.145,0.04364657402038574,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,host,172.27.151.145,0.08745378255844116,172.27.151.145,0.03716838359832764,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
191,1435.0,0.15666047732035318,92.5,1080p,1,JPEG,cloud,114.212.81.11,0.017934878667195637,114.212.81.11,0.05137205123901367,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.0431670347849528,114.212.81.11,0.04418651262919108,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
192,1436.0,0.2971073389053345,92.5,1080p,1,JPEG,cloud,114.212.81.11,0.010595321655273438,114.212.81.11,0.1372969150543213,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.06654560565948486,114.212.81.11,0.08266949653625488,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
193,1450.0,0.040769402186075845,92.5,1080p,1,JPEG,cloud,114.212.81.11,0.0010833104451497396,114.212.81.11,0.019852479298909504,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.008471918106079102,114.212.81.11,0.011361694335937499,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
194,1475.0,0.022834456883943997,92.5,1080p,1,JPEG,cloud,114.212.81.11,0.0006289390417245718,114.212.81.11,0.010976653832655687,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.004758981557992788,114.212.81.11,0.006469882451570952,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
195,1500.0,0.02515679139357347,92.5,1080p,1,JPEG,cloud,114.212.81.11,0.0006754306646493765,114.212.81.11,0.01141822338104248,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.0058420071235069865,114.212.81.11,0.007221130224374625,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
196,1525.0,0.035349176480219915,92.5,720p,20,JPEG,host,172.27.151.145,0.0028562178978553186,172.27.151.145,0.011991739273071289,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,host,172.27.151.145,0.014485643460200382,172.27.151.145,0.006015575849092925,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
197,1526.0,0.4193681478500366,92.5,720p,20,JPEG,host,172.27.151.145,0.04432356357574463,172.27.151.145,0.11248660087585449,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,host,172.27.151.145,0.18908047676086426,172.27.151.145,0.07347750663757324,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
198,1527.0,0.39100027084350586,92.5,720p,20,JPEG,host,172.27.151.145,0.022885680198669434,172.27.151.145,0.10602402687072754,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,host,172.27.151.145,0.18554794788360596,172.27.151.145,0.07654261589050293,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
199,1528.0,0.39073503017425537,92.5,720p,20,JPEG,host,172.27.151.145,0.020805001258850098,172.27.151.145,0.1090848445892334,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,host,172.27.151.145,0.18624520301818848,172.27.151.145,0.0745999813079834,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
200,1529.0,0.39713335037231445,92.5,720p,20,JPEG,host,172.27.151.145,0.02179419994354248,172.27.151.145,0.10902774333953857,0,1.0,0.22824999999999998,0,1.0,0.22824999999999998,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,host,172.27.151.145,0.18762552738189697,172.27.151.145,0.07868587970733643,0,1.0,0.26625,0,1.0,0.26625,0,0.4,0.2758814516325424,0,0.4,0.2758814516325424
201,1530.0,0.2693268060684204,92.5,480p,20,JPEG,cloud,114.212.81.11,0.02195918560028076,114.212.81.11,0.10651588439941406,0,1.0,0.22675,0,1.0,0.22675,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.06207442283630371,114.212.81.11,0.07877731323242188,0,1.0,0.24477083333333335,0,1.0,0.24477083333333335,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
202,1532.0,0.1457248528798421,92.5,480p,20,JPEG,cloud,114.212.81.11,0.006063302357991536,114.212.81.11,0.04069987932840983,0,1.0,0.10270833333333333,0,1.0,0.10270833333333333,0,0.35,0.008308426332200363,0,0.35,0.008308426332200363,cloud,114.212.81.11,0.0437621275583903,114.212.81.11,0.05519954363505045,0,1.0,0.24414583333333337,0,1.0,0.24414583333333337,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
203,1533.0,0.1958177089691162,92.5,480p,20,JPEG,cloud,114.212.81.11,0.0085601806640625,114.212.81.11,0.05291318893432617,0,1.0,0.09700000000000002,0,1.0,0.09700000000000002,0,0.35,0.008308426332200363,0,0.35,0.008308426332200363,cloud,114.212.81.11,0.05771172046661377,114.212.81.11,0.07663261890411377,0,1.0,0.2578958333333334,0,1.0,0.2578958333333334,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
204,1534.0,0.1930551528930664,92.5,480p,20,JPEG,cloud,114.212.81.11,0.008874893188476562,114.212.81.11,0.05228161811828613,0,1.0,0.0935625,0,1.0,0.0935625,0,0.35,0.008308426332200363,0,0.35,0.008308426332200363,cloud,114.212.81.11,0.05993962287902832,114.212.81.11,0.07195901870727539,0,1.0,0.2621666666666667,0,1.0,0.2621666666666667,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
205,1535.0,0.19745910167694092,92.5,480p,20,JPEG,cloud,114.212.81.11,0.007885456085205078,114.212.81.11,0.0518113374710083,0,1.0,0.09214583333333333,0,1.0,0.09214583333333333,0,0.35,0.008308426332200363,0,0.35,0.008308426332200363,cloud,114.212.81.11,0.06107461452484131,114.212.81.11,0.07668769359588623,0,1.0,0.25904166666666667,0,1.0,0.25904166666666667,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
206,1537.0,0.13390930493672687,92.5,360p,20,JPEG,host,172.27.151.145,0.006103038787841797,172.27.151.145,0.03705024719238281,0,1.0,0.1020625,0,1.0,0.1020625,0,0.35,0.008308426332200363,0,0.35,0.008308426332200363,cloud,114.212.81.11,0.041065057118733726,114.212.81.11,0.04969096183776855,0,1.0,0.24672916666666667,0,1.0,0.24672916666666667,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
207,1538.0,0.23645687103271484,92.5,360p,20,JPEG,host,172.27.151.145,0.02178788185119629,172.27.151.145,0.07680141925811768,0,1.0,0.2285,0,1.0,0.2285,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.06151473522186279,114.212.81.11,0.07635283470153809,0,1.0,0.25202083333333336,0,1.0,0.25202083333333336,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
208,1539.0,0.2543659210205078,92.5,360p,20,JPEG,host,172.27.151.145,0.027190804481506348,172.27.151.145,0.07521653175354004,0,1.0,0.2285,0,1.0,0.2285,0,0.35,0.2456917052621953,0,0.35,0.2456917052621953,cloud,114.212.81.11,0.06767261028289795,114.212.81.11,0.08428597450256348,0,1.0,0.25202083333333336,0,1.0,0.25202083333333336,0,0.35,0.010848650054161059,0,0.35,0.010848650054161059
