n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
1,1.0,4.963146805763245,83.8,480p,30,JPEG,host,172.27.151.145,2.2948012351989746,172.27.151.145,0.06283020973205566,0,1.0,0.145,0,1.0,0.145,0,1.0,0.27955467863052436,0,1.0,0.27955467863052436,host,172.27.151.145,2.535273551940918,172.27.151.145,0.07024180889129639,0,1.0,0.19675,0,1.0,0.19675,0,1.0,0.2556841756490124,0,1.0,0.2556841756490124
2,2.0,0.39103639125823975,83.8,480p,30,JPEG,host,172.27.151.145,0.046944618225097656,172.27.151.145,0.08089566230773926,0,1.0,0.1595,0,1.0,0.1595,0,1.0,0.23452753010615635,0,1.0,0.23452753010615635,host,172.27.151.145,0.19395852088928223,172.27.151.145,0.0692375898361206,0,1.0,0.28350000000000003,0,1.0,0.28350000000000003,0,1.0,0.2536693044067473,0,1.0,0.2536693044067473
3,3.0,0.34351086616516113,83.8,480p,30,JPEG,host,172.27.151.145,0.02393496036529541,172.27.151.145,0.07512867450714111,0,1.0,0.20800000000000002,0,1.0,0.20800000000000002,0,1.0,0.23452902260337286,0,1.0,0.23452902260337286,host,172.27.151.145,0.1773895025253296,172.27.151.145,0.06705772876739502,0,1.0,0.28175,0,1.0,0.28175,0,1.0,0.25367228940118025,0,1.0,0.25367228940118025
4,4.0,0.41408979892730713,83.8,480p,30,JPEG,host,172.27.151.145,0.02503228187561035,172.27.151.145,0.08335375785827637,0,1.0,0.24875,0,1.0,0.24875,0,1.0,0.23452902260337286,0,1.0,0.23452902260337286,host,172.27.151.145,0.2385197877883911,172.27.151.145,0.0671839714050293,0,1.0,0.26725,0,1.0,0.26725,0,1.0,0.2526787837540683,0,1.0,0.2526787837540683
5,5.0,0.3298156261444092,97.0,480p,30,JPEG,host,172.27.151.145,0.022385716438293457,172.27.151.145,0.07963693141937256,0,1.0,0.278,0,1.0,0.278,0,1.0,0.23452902260337286,0,1.0,0.23452902260337286,host,172.27.151.145,0.16307032108306885,172.27.151.145,0.06472265720367432,0,1.0,0.27575,0,1.0,0.27575,0,1.0,0.25267977875221265,0,1.0,0.25267977875221265
6,6.0,0.33775365352630615,97.0,480p,30,JPEG,host,172.27.151.145,0.02144169807434082,172.27.151.145,0.07563722133636475,0,1.0,0.23225,0,1.0,0.23225,0,1.0,0.23454046508203263,0,1.0,0.23454046508203263,host,172.27.151.145,0.17347896099090576,172.27.151.145,0.06719577312469482,0,1.0,0.27375,0,1.0,0.27375,0,1.0,0.2526802762512848,0,1.0,0.2526802762512848
7,7.0,0.3338601589202881,97.0,480p,30,JPEG,host,172.27.151.145,0.02130138874053955,172.27.151.145,0.0774151086807251,0,1.0,0.29225,0,1.0,0.29225,0,1.0,0.23454046508203263,0,1.0,0.23454046508203263,host,172.27.151.145,0.16886568069458008,172.27.151.145,0.06627798080444336,0,1.0,0.27375,0,1.0,0.27375,0,1.0,0.2526802762512848,0,1.0,0.2526802762512848
8,8.0,0.33855485916137695,97.0,480p,30,JPEG,host,172.27.151.145,0.023441791534423828,172.27.151.145,0.07599925994873047,0,1.0,0.2655,0,1.0,0.2655,0,1.0,0.23454046508203263,0,1.0,0.23454046508203263,host,172.27.151.145,0.17198622226715088,172.27.151.145,0.06712758541107178,0,1.0,0.276,0,1.0,0.276,0,1.0,0.25269868371695486,0,1.0,0.25269868371695486
9,9.0,0.35085785388946533,97.0,480p,30,JPEG,host,172.27.151.145,0.02218329906463623,172.27.151.145,0.07363879680633545,0,1.0,0.2245,0,1.0,0.2245,0,1.0,0.23454394757553776,0,1.0,0.23454394757553776,host,172.27.151.145,0.18951070308685303,172.27.151.145,0.06552505493164062,0,1.0,0.27699999999999997,0,1.0,0.27699999999999997,0,1.0,0.25269868371695486,0,1.0,0.25269868371695486
10,10.0,0.34858524799346924,97.0,480p,30,JPEG,host,172.27.151.145,0.02393519878387451,172.27.151.145,0.07507181167602539,0,1.0,0.20800000000000002,0,1.0,0.20800000000000002,0,1.0,0.23454444507460995,0,1.0,0.23454444507460995,host,172.27.151.145,0.18409252166748047,172.27.151.145,0.06548571586608887,0,1.0,0.278,0,1.0,0.278,0,1.0,0.2524633666558212,0,1.0,0.2524633666558212
