n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,face_alignment_role,face_alignment_ip,face_alignment_proc_delay,face_alignment_trans_ip,face_alignment_trans_delay,face_alignment_cpu_portrait,face_alignment_cpu_util_limit,face_alignment_cpu_util_use,face_alignment_trans_cpu_portrait,face_alignment_trans_cpu_util_limit,face_alignment_trans_cpu_util_use,face_alignment_mem_portrait,face_alignment_mem_util_limit,face_alignment_mem_util_use,face_alignment_trans_mem_portrait,face_alignment_trans_mem_util_limit,face_alignment_trans_mem_util_use
690,3550.0,0.050998495175288275,94.5,1080p,1,JPEG,cloud,114.212.81.11,0.0007023444542518029,114.212.81.11,0.02703286134279691,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,host,172.27.151.145,0.0155180234175462,172.27.151.145,0.007745265960693358,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
691,3575.0,0.04019637291248028,94.5,360p,30,JPEG,cloud,114.212.81.11,0.000682674921475924,114.212.81.11,0.027056208023658164,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,cloud,114.212.81.11,0.007311014028695913,114.212.81.11,0.005146475938650278,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
692,3576.0,0.22116434574127197,94.5,360p,30,JPEG,cloud,114.212.81.11,0.0102003812789917,114.212.81.11,0.06453442573547363,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,cloud,114.212.81.11,0.08206427097320557,114.212.81.11,0.06436526775360107,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
693,3577.0,0.1905808448791504,94.5,360p,30,JPEG,cloud,114.212.81.11,0.00932455062866211,114.212.81.11,0.056313157081604004,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,cloud,114.212.81.11,0.058458805084228516,114.212.81.11,0.06648433208465576,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
694,3578.0,0.19330883026123047,94.5,360p,30,JPEG,cloud,114.212.81.11,0.010534286499023438,114.212.81.11,0.06076836585998535,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,cloud,114.212.81.11,0.0615384578704834,114.212.81.11,0.06046772003173828,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
695,3579.0,0.20405542850494385,94.5,360p,30,JPEG,cloud,114.212.81.11,0.008576035499572754,114.212.81.11,0.06067788600921631,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,cloud,114.212.81.11,0.06987333297729492,114.212.81.11,0.06492817401885986,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
696,3580.0,0.4111907482147217,94.5,720p,1,JPEG,cloud,114.212.81.11,0.0072280168533325195,114.212.81.11,0.06793856620788574,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,host,172.27.151.145,0.23896586894989014,172.27.151.145,0.09705829620361328,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
697,3581.0,0.5205751657485962,94.5,720p,1,JPEG,cloud,114.212.81.11,0.009842872619628906,114.212.81.11,0.1471003293991089,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,host,172.27.151.145,0.2807316780090332,172.27.151.145,0.0829002857208252,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
698,3600.0,0.0665578842163086,94.5,720p,1,JPEG,cloud,114.212.81.11,0.0010025978088378906,114.212.81.11,0.02673017978668213,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,host,172.27.151.145,0.030169522762298583,172.27.151.145,0.008655583858489989,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
699,3625.0,0.054501084180978626,94.5,720p,1,JPEG,cloud,114.212.81.11,0.0008373443896953876,114.212.81.11,0.026546670840336725,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,host,172.27.151.145,0.020771329219524678,172.27.151.145,0.006345739731421836,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
700,3650.0,0.047757818148686335,94.5,720p,1,JPEG,cloud,114.212.81.11,0.0006061242176936223,114.212.81.11,0.019492837098928597,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,host,172.27.151.145,0.02100954605982854,172.27.151.145,0.006649310772235576,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
701,3675.0,0.0549389307315533,94.5,480p,20,JPEG,host,172.27.151.145,0.011429905891418457,172.27.151.145,0.033713276569659896,0,1.0,0.09218749999999999,0,1.0,0.09218749999999999,0,1.0,0.008327790960400488,0,1.0,0.008327790960400488,cloud,114.212.81.11,0.004621093089763935,114.212.81.11,0.005174655180711013,2,0.2,0.20575,2,0.2,0.20575,2,0.35,0.2745304355007378,2,0.35,0.2745304355007378
702,3676.0,0.4702296257019043,94.5,480p,20,JPEG,host,172.27.151.145,0.0895686149597168,172.27.151.145,0.24969244003295898,2,0.05,0.06974999999999999,2,0.05,0.06974999999999999,2,0.3,0.24506754544902773,2,0.3,0.24506754544902773,cloud,114.212.81.11,0.06085836887359619,114.212.81.11,0.07011020183563232,0,1.0,0.22395833333333334,0,1.0,0.22395833333333334,0,1.0,0.010856626400624072,0,1.0,0.010856626400624072
703,3677.0,0.4572288990020752,94.5,480p,20,JPEG,host,172.27.151.145,0.06788325309753418,172.27.151.145,0.25335776805877686,2,0.05,0.11025,2,0.05,0.11025,2,0.3,0.24506754544902773,2,0.3,0.24506754544902773,cloud,114.212.81.11,0.07045626640319824,114.212.81.11,0.06553161144256592,0,1.0,0.25404166666666667,0,1.0,0.25404166666666667,0,1.0,0.010856626400624072,0,1.0,0.010856626400624072
