n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
1,1.0,0.20335900783538818,69.4,360p,30,JPEG,host,172.27.143.164,0.14040052890777588,172.27.143.164,0.047504305839538574,0,0.25,0.24875,0,0.25,0.24875,0,0.004,0.0026659110849308666,0,0.004,0.0026659110849308666,host,172.27.143.164,0.0629584789276123,172.27.143.164,0.04213452339172363,0,0.75,0.61425,0,0.75,0.61425,2,0.008,0.007142732869545334,2,0.008,0.007142732869545334
2,2.0,0.1744323968887329,69.7,360p,30,JPEG,host,172.27.143.164,0.13457965850830078,172.27.143.164,0.038169026374816895,0,0.25,0.24125,0,0.25,0.24125,0,0.004,0.0029134635220547846,0,0.004,0.0029134635220547846,host,172.27.143.164,0.03985273838043213,172.27.143.164,0.031042933464050293,0,0.75,0.9065000000000001,0,0.75,0.9065000000000001,2,0.008,0.0072530875704319,2,0.008,0.0072530875704319
3,3.0,0.18098819255828857,69.7,360p,30,JPEG,host,172.27.143.164,0.13444793224334717,172.27.143.164,0.038666605949401855,0,0.25,0.24125,0,0.25,0.24125,0,0.004,0.0029134635220547846,0,0.004,0.0029134635220547846,host,172.27.143.164,0.046540260314941406,172.27.143.164,0.03255283832550049,0,0.75,0.9065000000000001,0,0.75,0.9065000000000001,2,0.008,0.0072530875704319,2,0.008,0.0072530875704319
4,4.0,0.18889069557189941,69.7,360p,30,JPEG,host,172.27.143.164,0.13672518730163574,172.27.143.164,0.04031181335449219,0,0.25,0.2415,0,0.25,0.2415,0,0.004,0.0029134635220547846,0,0.004,0.0029134635220547846,host,172.27.143.164,0.05216550827026367,172.27.143.164,0.03037428855895996,0,0.75,0.8027500000000001,0,0.75,0.8027500000000001,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
5,5.0,0.199074387550354,69.7,360p,30,JPEG,host,172.27.143.164,0.13268029689788818,172.27.143.164,0.04956364631652832,0,0.25,0.2465,0,0.25,0.2465,0,0.004,0.0029134635220547846,0,0.004,0.0029134635220547846,host,172.27.143.164,0.06639409065246582,172.27.143.164,0.03319656848907471,0,0.75,0.74175,0,0.75,0.74175,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
6,6.0,0.17656397819519043,69.9,360p,30,JPEG,host,172.27.143.164,0.13583338260650635,172.27.143.164,0.03745114803314209,0,0.25,0.25425000000000003,0,0.25,0.25425000000000003,0,0.004,0.002914954801796495,0,0.004,0.002914954801796495,host,172.27.143.164,0.04073059558868408,172.27.143.164,0.03243696689605713,0,0.75,0.5635,0,0.75,0.5635,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
7,7.0,0.18990063667297363,69.9,360p,30,JPEG,host,172.27.143.164,0.13526785373687744,172.27.143.164,0.03814518451690674,0,0.25,0.24925,0,0.25,0.24925,0,0.004,0.002918434454527152,0,0.004,0.002918434454527152,host,172.27.143.164,0.05463278293609619,172.27.143.164,0.03036665916442871,0,0.75,0.68525,0,0.75,0.68525,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
8,8.0,0.18891501426696777,69.9,360p,30,JPEG,host,172.27.143.164,0.1340031623840332,172.27.143.164,0.03750407695770264,0,0.25,0.2515,0,0.25,0.2515,0,0.004,0.0029189315477743893,0,0.004,0.0029189315477743893,host,172.27.143.164,0.05491185188293457,172.27.143.164,0.03693675994873047,0,0.75,0.68175,0,0.75,0.68175,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
9,9.0,0.17462670803070068,70.0,360p,30,JPEG,host,172.27.143.164,0.13477575778961182,172.27.143.164,0.0374608039855957,0,0.25,0.2515,0,0.25,0.2515,0,0.004,0.0029189315477743893,0,0.004,0.0029189315477743893,host,172.27.143.164,0.03985095024108887,172.27.143.164,0.030713796615600586,0,0.75,0.68175,0,0.75,0.68175,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
10,10.0,0.17927348613739014,70.0,360p,30,JPEG,host,172.27.143.164,0.1380770206451416,172.27.143.164,0.037171363830566406,0,0.25,0.24075,0,0.25,0.24075,0,0.004,0.0029189315477743893,0,0.004,0.0029189315477743893,host,172.27.143.164,0.041196465492248535,172.27.143.164,0.03497946262359619,0,0.75,0.9075,0,0.75,0.9075,2,0.008,0.007253584663679136,2,0.008,0.007253584663679136
