n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,5,0.16127495,1,113860.64,1080p,5,JPEG,cloud,114.212.81.11,0.157782594,114.212.81.11,0.027794679,1,0.023541667,1,0.000309955,cloud,114.212.81.11,0.003492355,114.212.81.11,0.012530208,1,0.622125,1,0.000243415
2,10,0.154085954,1,113860.64,1080p,5,JPEG,cloud,114.212.81.11,0.152569373,114.212.81.11,0.026727955,1,0.02275,1,0.000425264,cloud,114.212.81.11,0.001516581,114.212.81.11,0.013202627,1,0.7230625,1,0.000247236
3,15,0.165860971,1,108288.8321,1080p,5,JPEG,cloud,114.212.81.11,0.164212465,114.212.81.11,0.027483861,1,0.022416667,1,0.000308894,cloud,114.212.81.11,0.001648506,114.212.81.11,0.011653066,1,0.749020833,1,0.00024572
4,20,0.153771202,1,108288.8321,1080p,5,JPEG,cloud,114.212.81.11,0.152311563,114.212.81.11,0.026795506,1,0.022333333,1,0.000424536,cloud,114.212.81.11,0.001459638,114.212.81.11,0.012429237,1,0.774541667,1,0.00024572
5,25,0.142727653,1,108288.8321,1080p,5,JPEG,cloud,114.212.81.11,0.141429345,114.212.81.11,0.02714324,1,0.022333333,1,0.000308894,cloud,114.212.81.11,0.001298308,114.212.81.11,0.013026794,1,0.7925,1,0.000245735
6,30,0.147052685,1,113187.4292,1080p,5,JPEG,cloud,114.212.81.11,0.145650546,114.212.81.11,0.026746074,1,0.022645833,1,0.000424536,cloud,114.212.81.11,0.00140214,114.212.81.11,0.011870662,1,0.757041667,1,0.000245735
7,35,0.150321921,1,113187.4292,1080p,5,JPEG,cloud,114.212.81.11,0.148934325,114.212.81.11,0.026780248,1,0.022604167,1,0.000308894,cloud,114.212.81.11,0.001387596,114.212.81.11,0.015857538,1,0.764208333,1,0.000245735
8,40,0.137644847,1,110357.5987,1080p,5,JPEG,cloud,114.212.81.11,0.136173328,114.212.81.11,0.028191328,1,0.0226875,1,0.000424536,cloud,114.212.81.11,0.001471519,114.212.81.11,0.011777083,1,0.769395833,1,0.000245735
9,45,0.142047524,1,110357.5987,1080p,5,JPEG,cloud,114.212.81.11,0.140563448,114.212.81.11,0.025028547,1,0.022229167,1,0.000308894,cloud,114.212.81.11,0.001484076,114.212.81.11,0.013806542,1,0.78425,1,0.000245735
10,50,0.13778766,1,110357.5987,1080p,5,JPEG,cloud,114.212.81.11,0.136363506,114.212.81.11,0.029367646,1,0.022666667,1,0.00042402,cloud,114.212.81.11,0.001424154,114.212.81.11,0.012655059,1,0.745166667,1,0.000245735
11,55,0.142296553,1,104906.5747,1080p,5,JPEG,cloud,114.212.81.11,0.140894492,114.212.81.11,0.024702907,1,0.022666667,1,0.000308894,cloud,114.212.81.11,0.00140206,114.212.81.11,0.011187673,1,0.706395833,1,0.000245735
12,60,0.145272811,1,104906.5747,1080p,5,JPEG,cloud,114.212.81.11,0.143935045,114.212.81.11,0.028858701,1,0.022666667,1,0.000424536,cloud,114.212.81.11,0.001337767,114.212.81.11,0.013304869,1,0.7654375,1,0.000245735
13,65,0.141967138,1,107516.1419,1080p,5,JPEG,cloud,114.212.81.11,0.140596072,114.212.81.11,0.029201468,1,0.022708333,1,0.000308894,cloud,114.212.81.11,0.001371066,114.212.81.11,0.01283292,1,0.773291667,1,0.000245735
14,70,0.138946891,1,107516.1419,1080p,5,JPEG,cloud,114.212.81.11,0.137560248,114.212.81.11,0.026052912,1,0.022708333,1,0.000424536,cloud,114.212.81.11,0.001386642,114.212.81.11,0.013035337,1,0.71925,1,0.000245735
15,75,0.142613729,1,107516.1419,1080p,5,JPEG,cloud,114.212.81.11,0.141157269,114.212.81.11,0.026629567,1,0.022375,1,0.000308894,cloud,114.212.81.11,0.001456459,114.212.81.11,0.012513439,1,0.726104167,1,0.000245735
16,80,0.142206828,1,112777.4766,1080p,5,JPEG,cloud,114.212.81.11,0.14094305,114.212.81.11,0.025582512,1,0.022666667,1,0.000424536,cloud,114.212.81.11,0.001263777,114.212.81.11,0.011991938,1,0.814729167,1,0.000245735
17,85,0.142005761,1,112777.4766,1080p,5,JPEG,cloud,114.212.81.11,0.140336156,114.212.81.11,0.025325298,1,0.022520833,1,0.000308894,cloud,114.212.81.11,0.001669606,114.212.81.11,0.016305129,1,0.6981875,1,0.000245735
18,90,0.144659201,1,106470.2903,1080p,5,JPEG,cloud,114.212.81.11,0.143058379,114.212.81.11,0.027914127,1,0.0225625,1,0.000424536,cloud,114.212.81.11,0.001600822,114.212.81.11,0.01169606,1,0.750166667,1,0.000245735
19,95,0.156381766,1,106470.2903,1080p,5,JPEG,cloud,114.212.81.11,0.154960195,114.212.81.11,0.027705272,1,0.022625,1,0.000308894,cloud,114.212.81.11,0.001421571,114.212.81.11,0.01378564,1,0.791729167,1,0.000245735
20,100,0.146246036,1,106470.2903,1080p,5,JPEG,cloud,114.212.81.11,0.145003955,114.212.81.11,0.026923418,1,0.022270833,1,0.000424536,cloud,114.212.81.11,0.001242081,114.212.81.11,0.011354168,1,0.804125,1,0.000245735
21,105,0.149978042,1,108863.2761,1080p,5,JPEG,cloud,114.212.81.11,0.148754517,114.212.81.11,0.022908449,1,0.022395833,1,0.000308894,cloud,114.212.81.11,0.001223524,114.212.81.11,0.011421283,1,0.8165,1,0.000245735
22,110,0.145892819,1,108863.2761,1080p,5,JPEG,cloud,114.212.81.11,0.144388556,114.212.81.11,0.032640179,1,0.022604167,1,0.000424536,cloud,114.212.81.11,0.001504262,114.212.81.11,0.013102174,1,0.751958333,1,0.000245735
23,115,0.146507422,1,109599.5572,1080p,5,JPEG,cloud,114.212.81.11,0.1451207,114.212.81.11,0.023727496,1,0.02225,1,0.000308894,cloud,114.212.81.11,0.001386722,114.212.81.11,0.012710889,1,0.7909375,1,0.000245735
24,120,0.145690838,1,109599.5572,1080p,5,JPEG,cloud,114.212.81.11,0.144188682,114.212.81.11,0.02692612,1,0.022625,1,0.000424536,cloud,114.212.81.11,0.001502156,114.212.81.11,0.013177554,1,0.752,1,0.000245735
25,125,0.141309619,1,109934.3137,1080p,5,JPEG,cloud,114.212.81.11,0.139925996,114.212.81.11,0.026473522,1,0.022583333,1,0.000308909,cloud,114.212.81.11,0.001383622,114.212.81.11,0.011871854,1,0.767333333,1,0.000245735
26,130,0.145245393,1,109934.3137,1080p,5,JPEG,cloud,114.212.81.11,0.143917282,114.212.81.11,0.0263623,1,0.0224375,1,0.000424551,cloud,114.212.81.11,0.001328111,114.212.81.11,0.012608528,1,0.800395833,1,0.000245735
27,135,0.150807579,1,109934.3137,1080p,5,JPEG,cloud,114.212.81.11,0.149229368,114.212.81.11,0.027481794,1,0.022333333,1,0.000308909,cloud,114.212.81.11,0.001578212,114.212.81.11,0.012395501,1,0.738541667,1,0.000245735
28,140,0.141531428,1,108936.7662,1080p,5,JPEG,cloud,114.212.81.11,0.1401033,114.212.81.11,0.02736493,1,0.022541667,1,0.000424551,cloud,114.212.81.11,0.001428127,114.212.81.11,0.012364308,1,0.743041667,1,0.000245765
29,145,0.143754284,1,108936.7662,1080p,5,JPEG,cloud,114.212.81.11,0.14237078,114.212.81.11,0.027447979,1,0.0226875,1,0.000308909,cloud,114.212.81.11,0.001383503,114.212.81.11,0.011937181,1,0.791666667,1,0.000245765
30,150,0.142880281,1,107060.2682,1080p,5,JPEG,cloud,114.212.81.11,0.141384959,114.212.81.11,0.027769208,1,0.022354167,1,0.000424551,cloud,114.212.81.11,0.001495322,114.212.81.11,0.012400866,1,0.801104167,1,0.000245765
31,155,0.141423941,1,107060.2682,1080p,5,JPEG,cloud,114.212.81.11,0.140086611,114.212.81.11,0.02510802,1,0.0225625,1,0.000308909,cloud,114.212.81.11,0.00133733,114.212.81.11,0.012035171,1,0.7168125,1,0.000245765
32,160,0.142110427,1,107060.2682,1080p,5,JPEG,cloud,114.212.81.11,0.140742064,114.212.81.11,0.026691675,1,0.022208333,1,0.000424551,cloud,114.212.81.11,0.001368364,114.212.81.11,0.014479558,1,0.752,1,0.000245765
33,165,0.138492783,1,104778.7757,1080p,5,JPEG,cloud,114.212.81.11,0.137137969,114.212.81.11,0.024416844,1,0.022520833,1,0.000308909,cloud,114.212.81.11,0.001354814,114.212.81.11,0.011972308,1,0.807916667,1,0.000245765
34,170,0.14011395,1,104778.7757,1080p,5,JPEG,cloud,114.212.81.11,0.138706644,114.212.81.11,0.026862224,1,0.022520833,1,0.000424551,cloud,114.212.81.11,0.001407305,114.212.81.11,0.012557864,1,0.777854167,1,0.000245765
