n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.09335197852208064,1,114277.09997827026,900p,1,JPEG,host,192.168.1.9,0.08555254569420448,192.168.1.9,0.007709521513718828,576946,1.0,0.24725000000000003,1.0,0.008948672636756565,host,192.168.1.9,0.0077994328278761646,192.168.1.9,0.002945258067204402,53369,1.0,0.381,1.0,0.0071839916090659876
2,50.0,0.09058611209575945,1,110796.85843501941,900p,1,JPEG,host,192.168.1.9,0.08200443707979642,192.168.1.9,0.008644635860736563,579223,1.0,0.24975000000000003,1.0,0.00896507671391538,host,192.168.1.9,0.00858167501596304,192.168.1.9,0.0029476147431593686,49283,1.0,0.40299999999999997,1.0,0.00724215151899269
3,75.0,0.08795595169067383,1,109130.31763052355,900p,1,JPEG,host,192.168.1.9,0.08325416308182937,192.168.1.9,0.006431863858149603,581869,1.0,0.24600000000000002,1.0,0.00896507671391538,host,192.168.1.9,0.004701788608844464,192.168.1.9,0.002519671733562763,52121,1.0,0.6125,1.0,0.007242648612239927
4,100.0,0.08670867406404935,1,112176.99633467798,900p,1,JPEG,host,192.168.1.9,0.08271570389087383,192.168.1.9,0.006028661361107454,582568,1.0,0.25,1.0,0.00896507671391538,host,192.168.1.9,0.003992970173175518,192.168.1.9,0.002455491286057692,55455,1.0,0.6970000000000001,1.0,0.007242648612239927
5,125.0,0.09251057184659517,1,109996.69717768981,900p,1,JPEG,host,192.168.1.9,0.08633001951070932,192.168.1.9,0.006274874393756583,597895,1.0,0.24175000000000002,1.0,0.00896507671391538,host,192.168.1.9,0.0061805523358858545,192.168.1.9,0.0025772223105797413,63405,1.0,0.48174999999999996,1.0,0.007242648612239927
6,150.0,0.0900727418752817,1,109996.69717768981,900p,1,JPEG,host,192.168.1.9,0.08387373960935153,192.168.1.9,0.005961995858412519,575575,1.0,0.24875,1.0,0.00896507671391538,host,192.168.1.9,0.006199002265930176,192.168.1.9,0.0025593409171471224,53851,1.0,0.51125,1.0,0.007317709692572682
7,175.0,0.0843124848145705,1,110492.5386485896,900p,1,JPEG,host,192.168.1.9,0.08348298072814941,192.168.1.9,0.006550559630760774,578608,1.0,0.2475,1.0,0.00896507671391538,cloud,114.212.81.11,0.0008295040864210862,114.212.81.11,0.002847130482013409,49672,1.0,0.6731041666666666,1.0,0.00023942687130130104
8,200.0,0.08246722588172326,1,110355.69152935156,900p,1,JPEG,host,192.168.1.9,0.08212734185732327,192.168.1.9,0.006742284848139837,582933,1.0,0.24825,1.0,0.00896507671391538,cloud,114.212.81.11,0.00033988402439997747,114.212.81.11,0.0025624953783475435,52112,1.0,0.6735000000000001,1.0,0.0002432937312786164
9,225.0,0.08564149416410007,1,110513.1586542041,900p,1,JPEG,host,192.168.1.9,0.08536877081944393,192.168.1.9,0.006089687347412109,589240,1.0,0.24100000000000002,1.0,0.00896507671391538,cloud,114.212.81.11,0.00027272334465613734,114.212.81.11,0.002460433886601375,57243,1.0,0.7569374999999999,1.0,0.0002448556394263163
10,250.0,0.08342170715332031,1,112740.6880770282,900p,1,JPEG,host,192.168.1.9,0.08316425176767203,192.168.1.9,0.00819539106809175,577672,1.0,0.24850000000000003,1.0,0.00896507671391538,cloud,114.212.81.11,0.00025745538564828725,114.212.81.11,0.0023435721030602087,45008,1.0,0.7707708333333333,1.0,0.0002449921168372804
11,275.0,0.08790625975682184,1,112740.6880770282,900p,1,JPEG,host,192.168.1.9,0.08759213410891019,192.168.1.9,0.005904069313636198,575246,1.0,0.237,1.0,0.00896507671391538,cloud,114.212.81.11,0.00031412564791165863,114.212.81.11,0.0030122995376586914,54099,1.0,0.8338125000000001,1.0,0.00024500728099405414
12,300.0,0.03036800714639517,1,111644.89770145483,900p,1,JPEG,cloud,114.212.81.11,0.025619754424461953,114.212.81.11,0.0051650725878201985,578866,1.0,0.024708333333333332,1.0,0.00025803329166273597,host,192.168.1.9,0.004748252721933218,192.168.1.9,0.0025551319122314453,52670,1.0,0.546,1.0,0.007318206785819918
13,325.0,0.03117371522463285,1,111644.89770145483,900p,1,JPEG,cloud,114.212.81.11,0.0257645845413208,114.212.81.11,0.005192050567040078,583838,1.0,0.022708333333333334,1.0,0.0003114566159767827,host,192.168.1.9,0.005409130683312049,192.168.1.9,0.0024359868122981153,52120,1.0,0.55025,1.0,0.007318206785819918
14,350.0,0.029247458164508525,1,110540.39363864136,900p,1,JPEG,cloud,114.212.81.11,0.02509008004115178,114.212.81.11,0.004346783344562236,571144,1.0,0.022979166666666665,1.0,0.0002584123955820806,host,192.168.1.9,0.004157378123356746,192.168.1.9,0.002399343710679275,42079,1.0,0.73875,1.0,0.007318206785819918
15,375.0,0.03384552552149846,1,110540.39363864136,900p,1,JPEG,cloud,114.212.81.11,0.02625143527984619,114.212.81.11,0.005681615609389082,575898,1.0,0.022895833333333334,1.0,0.0003114566159767827,host,192.168.1.9,0.007594090241652269,192.168.1.9,0.0026862896405733545,45076,1.0,0.45549999999999996,1.0,0.0073450498211707045
16,400.0,0.0283732322546152,1,110383.46834782776,900p,1,JPEG,cloud,114.212.81.11,0.02454222165621244,114.212.81.11,0.004384976166945234,573974,1.0,0.022520833333333334,1.0,0.0002584123955820806,host,192.168.1.9,0.0038310105984027567,192.168.1.9,0.0024758485647348263,54650,1.0,0.7265,1.0,0.0073450498211707045
17,425.0,0.02918280087984525,1,110383.46834782776,900p,1,JPEG,cloud,114.212.81.11,0.024072839663578913,114.212.81.11,0.004502901664147012,578996,1.0,0.023291666666666665,1.0,0.0003114566159767827,host,192.168.1.9,0.005109961216266339,192.168.1.9,0.002583540402925932,53222,1.0,0.563,1.0,0.0073450498211707045
18,450.0,0.03148355850806603,1,102591.75001525781,900p,1,JPEG,cloud,114.212.81.11,0.025996180681081917,114.212.81.11,0.004479435773996208,581010,1.0,0.0228125,1.0,0.0002584123955820806,host,192.168.1.9,0.005487377826984112,192.168.1.9,0.002726325621971718,49051,1.0,0.54175,1.0,0.0073450498211707045
19,475.0,0.02517853333399846,1,102591.75001525781,900p,1,JPEG,cloud,114.212.81.11,0.024891018867492676,114.212.81.11,0.004197157346285306,580901,1.0,0.022854166666666665,1.0,0.0003114566159767827,cloud,114.212.81.11,0.00028751446650578425,114.212.81.11,0.002778291702270508,51913,1.0,0.7684166666666666,1.0,0.00024476465448567357
20,500.0,0.024552602034348708,1,101675.40434136889,900p,1,JPEG,cloud,114.212.81.11,0.024286371011000413,114.212.81.11,0.004760182820833646,573611,1.0,0.02341666666666667,1.0,0.0002584123955820806,cloud,114.212.81.11,0.0002662310233482948,114.212.81.11,0.002449879279503456,44136,1.0,0.7707708333333333,1.0,0.00024476465448567357
21,525.0,0.025202521911034215,1,101675.40434136889,900p,1,JPEG,cloud,114.212.81.11,0.02495268674997183,114.212.81.11,0.004433916165278509,571920,1.0,0.023125000000000003,1.0,0.0003114566159767827,cloud,114.212.81.11,0.00024983516106238734,114.212.81.11,0.002507448196411133,53199,1.0,0.8260000000000001,1.0,0.00024476465448567357
22,550.0,0.02528042059678298,1,101675.40434136889,900p,1,JPEG,cloud,114.212.81.11,0.024999150863060586,114.212.81.11,0.0045169683603140005,576948,1.0,0.02308333333333333,1.0,0.0002584123955820806,cloud,114.212.81.11,0.00028126973372239334,114.212.81.11,0.0028214179552518404,53392,1.0,0.7856666666666666,1.0,0.00024476465448567357
23,575.0,0.02488563610957219,1,108267.83626160852,900p,1,JPEG,cloud,114.212.81.11,0.024547622754023626,114.212.81.11,0.0044532922598031835,579228,1.0,0.023499999999999997,1.0,0.0003114566159767827,cloud,114.212.81.11,0.0003380133555485652,114.212.81.11,0.002568373313316932,49295,1.0,0.7501458333333333,1.0,0.00024476465448567357
24,600.0,0.02628591427436242,1,108267.83626160852,900p,1,JPEG,cloud,114.212.81.11,0.025991302270155687,114.212.81.11,0.00488885549398569,581862,1.0,0.0228125,1.0,0.0002584123955820806,cloud,114.212.81.11,0.00029461200420673075,114.212.81.11,0.0025504277302668644,52131,1.0,0.7807916666666667,1.0,0.00024476465448567357
25,625.0,0.027256516309884876,1,97633.88652067725,900p,1,JPEG,cloud,114.212.81.11,0.02697167029747596,114.212.81.11,0.004865609682523291,582586,1.0,0.022874999999999996,1.0,0.0003114566159767827,cloud,114.212.81.11,0.0002848460124089168,114.212.81.11,0.0024713644614586462,55480,1.0,0.8068333333333334,1.0,0.00024476465448567357
26,626.0,1.2511374950408936,1,97633.88652067725,900p,2,JPEG,host,192.168.1.9,1.1839957237243652,192.168.1.9,0.07635271549224854,573593,1.0,0.228,1.0,0.0089680592733988,host,192.168.1.9,0.06714177131652832,192.168.1.9,0.03266263008117676,44101,1.0,0.59475,1.0,0.0073450498211707045
27,638.0,0.1750311117905837,1,108925.7966058523,900p,2,JPEG,host,192.168.1.9,0.16493371816781852,192.168.1.9,0.012107023826012225,579213,1.0,0.24825,1.0,0.008968556366646037,host,192.168.1.9,0.010097393622765174,192.168.1.9,0.005267986884483924,49259,1.0,0.5325,1.0,0.0073450498211707045
28,650.0,0.17771231211148777,1,110470.88151438464,900p,2,JPEG,host,192.168.1.9,0.16960270588214582,192.168.1.9,0.012425367648784907,597883,1.0,0.2425,1.0,0.008968556366646037,host,192.168.1.9,0.008109606229341947,192.168.1.9,0.005089099590594953,63382,1.0,0.71025,1.0,0.0073450498211707045
29,663.0,0.16461876460484096,1,108237.40741792187,900p,2,JPEG,host,192.168.1.9,0.1545097827911377,192.168.1.9,0.015085254396711073,581870,1.0,0.24850000000000003,1.0,0.008968556366646037,host,192.168.1.9,0.010108981813703264,192.168.1.9,0.004727908543178014,52123,1.0,0.56375,1.0,0.0073450498211707045
30,675.0,0.18613435671879697,1,108237.40741792187,900p,2,JPEG,host,192.168.1.9,0.16671899648813102,192.168.1.9,0.015418401131263137,575573,1.0,0.249,1.0,0.008968556366646037,host,192.168.1.9,0.01941536023066594,192.168.1.9,0.0051737748659574055,53848,1.0,0.35625,1.0,0.0073450498211707045
