n_loop,frame_id,all_delay,proc_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,5,0.05619823932647705,0.03548550605773926,1,95523.43612720643,480p,5,JPEG,cloud,114.212.81.11,0.03019241491953532,114.212.81.11,0.010758082071940105,182870,1.0,0.03216666666666667,1.0,0.00010934873449576806,cloud,114.212.81.11,0.0052930911382039385,114.212.81.11,0.009954651196797688,16082,1.0,0.46393750000000006,1.0,0.0002424445384992844
2,10,0.046465396881103516,0.02913649876912435,1,95523.43612720643,480p,5,JPEG,cloud,114.212.81.11,0.02783207098642985,114.212.81.11,0.0073634783426920584,188829,1.0,0.031166666666666665,1.0,0.00012034274815676262,cloud,114.212.81.11,0.0013044277826944988,114.212.81.11,0.00996541976928711,19835,1.0,0.7081875000000001,1.0,0.00024515892256179203
3,15,0.04971778392791748,0.029425938924153645,1,95523.43612720643,480p,5,JPEG,cloud,114.212.81.11,0.028070767720540363,114.212.81.11,0.008570830027262371,184379,1.0,0.02966666666666667,1.0,0.00011979683851290634,cloud,114.212.81.11,0.0013551712036132812,114.212.81.11,0.011721014976501465,17232,1.0,0.7821666666666668,1.0,0.0002426265083805698
4,20,0.20843029022216797,0.023895064989725746,1,99788.88219070398,480p,5,JPEG,cloud,114.212.81.11,0.022717078526814777,114.212.81.11,0.17440847555796304,192735,1.0,0.03208333333333333,1.0,0.00031649111602567953,cloud,114.212.81.11,0.00117798646291097,114.212.81.11,0.010126749674479166,24593,1.0,0.7548750000000001,1.0,0.0002426416725373436
5,25,0.06754954655965169,0.0295714537302653,1,99788.88219070398,480p,5,JPEG,cloud,114.212.81.11,0.02866077423095703,114.212.81.11,0.028417388598124184,182288,1.0,0.026625,1.0,0.0003521117202873019,cloud,114.212.81.11,0.0009106794993082682,114.212.81.11,0.009560704231262207,16202,1.0,0.7527291666666667,1.0,0.0002426416725373436
6,30,0.04733093579610189,0.02860581874847412,1,99788.88219070398,480p,5,JPEG,cloud,114.212.81.11,0.027473608652750652,114.212.81.11,0.007268269856770832,188364,1.0,0.02904166666666667,1.0,0.0003521117202873019,cloud,114.212.81.11,0.00113221009572347,114.212.81.11,0.011456847190856934,19735,1.0,0.7505625,1.0,0.0002426416725373436
7,35,0.05057998498280843,0.028455098470052082,1,99788.88219070398,480p,5,JPEG,cloud,114.212.81.11,0.02721556027730306,114.212.81.11,0.010391871134440105,184041,1.0,0.02677083333333333,1.0,0.0003521117202873019,cloud,114.212.81.11,0.0012395381927490234,114.212.81.11,0.011733015378316244,17039,1.0,0.7443749999999999,1.0,0.0002426416725373436
8,40,0.04625531037648519,0.028687357902526855,1,83140.27469133375,480p,5,JPEG,cloud,114.212.81.11,0.027457475662231445,114.212.81.11,0.007575392723083496,192778,1.0,0.030312500000000003,1.0,0.0003521117202873019,cloud,114.212.81.11,0.0012298822402954102,114.212.81.11,0.009992559750874838,24631,1.0,0.7247916666666666,1.0,0.0002426416725373436
9,45,0.045918544133504234,0.028583049774169922,1,83140.27469133375,480p,5,JPEG,cloud,114.212.81.11,0.027260303497314453,114.212.81.11,0.0074470837910970075,183009,1.0,0.02672916666666667,1.0,0.0003521117202873019,cloud,114.212.81.11,0.0013227462768554688,114.212.81.11,0.009888410568237305,16312,1.0,0.7757708333333332,1.0,0.0002426416725373436
10,50,0.1818726460138957,0.02360490957895915,1,83140.27469133375,480p,5,JPEG,cloud,114.212.81.11,0.022425293922424316,114.212.81.11,0.14786465962727866,188602,1.0,0.0325,1.0,0.00036040651404256266,cloud,114.212.81.11,0.0011796156565348308,114.212.81.11,0.010403076807657879,20013,1.0,0.7547083333333333,1.0,0.0002426416725373436
11,55,0.05566863218943278,0.023566166559855144,1,89374.801265818,480p,5,JPEG,cloud,114.212.81.11,0.022513866424560547,114.212.81.11,0.021874229113260903,182259,1.0,0.032375,1.0,0.0003617864523089772,cloud,114.212.81.11,0.0010523001352945964,114.212.81.11,0.010228236516316732,15464,1.0,0.8135416666666666,1.0,0.0002426416725373436
12,60,0.04279593626658122,0.024494171142578125,1,89374.801265818,480p,5,JPEG,cloud,114.212.81.11,0.023279706637064617,114.212.81.11,0.007398247718811035,192609,1.0,0.03129166666666666,1.0,0.0003617864523089772,cloud,114.212.81.11,0.001214464505513509,114.212.81.11,0.010903517405192057,24501,1.0,0.7611249999999999,1.0,0.0002426416725373436
13,65,0.04899986584981282,0.029269814491271973,1,89374.801265818,480p,5,JPEG,cloud,114.212.81.11,0.02803679307301839,114.212.81.11,0.008767088254292805,183033,1.0,0.029708333333333333,1.0,0.0003617864523089772,cloud,114.212.81.11,0.0012330214182535808,114.212.81.11,0.010962963104248047,16960,1.0,0.8026041666666667,1.0,0.0002426416725373436
14,70,0.047772884368896484,0.029280463854471844,1,89374.801265818,480p,5,JPEG,cloud,114.212.81.11,0.02798759937286377,114.212.81.11,0.00846294562021891,187740,1.0,0.029750000000000002,1.0,0.0003617864523089772,cloud,114.212.81.11,0.001292864481608073,114.212.81.11,0.01002947489420573,20006,1.0,0.8256666666666667,1.0,0.0002426416725373436
15,75,0.1577244997024536,0.0266416867574056,1,109221.45731520849,480p,5,JPEG,cloud,114.212.81.11,0.025462667147318523,114.212.81.11,0.12089391549428304,182341,1.0,0.03,1.0,0.0003617864523089772,cloud,114.212.81.11,0.001179019610087077,114.212.81.11,0.010188897450764975,15654,1.0,0.7555000000000001,1.0,0.0002426416725373436
16,80,0.05461970965067546,0.023590604464213055,1,109221.45731520849,480p,5,JPEG,cloud,114.212.81.11,0.022548596064249676,114.212.81.11,0.020224491755167644,191700,1.0,0.0323125,1.0,0.0003618016164657509,cloud,114.212.81.11,0.001042008399963379,114.212.81.11,0.01080461343129476,24372,1.0,0.7895,1.0,0.0002426416725373436
17,85,0.04293378194173177,0.02507297197977702,1,109221.45731520849,480p,5,JPEG,cloud,114.212.81.11,0.023396968841552734,114.212.81.11,0.00748125712076823,182465,1.0,0.031125,1.0,0.0003618016164657509,cloud,114.212.81.11,0.001676003138224284,114.212.81.11,0.010379552841186523,16972,1.0,0.7162708333333333,1.0,0.0002426416725373436
18,90,0.049651145935058594,0.029047648111979164,1,109221.45731520849,480p,5,JPEG,cloud,114.212.81.11,0.027730782826741535,114.212.81.11,0.009698549906412762,186719,1.0,0.03002083333333333,1.0,0.0003618016164657509,cloud,114.212.81.11,0.0013168652852376301,114.212.81.11,0.010904947916666666,19644,1.0,0.7807291666666667,1.0,0.0002426416725373436
19,95,0.04581721623738607,0.028980493545532227,1,106179.2125151189,480p,5,JPEG,cloud,114.212.81.11,0.0274579922358195,114.212.81.11,0.006802399953206379,187928,1.0,0.030333333333333334,1.0,0.0003618016164657509,cloud,114.212.81.11,0.0015225013097127278,114.212.81.11,0.010034322738647461,19757,1.0,0.7196250000000001,1.0,0.0002426416725373436
20,100,0.14181681474049887,0.024869441986083984,1,106179.2125151189,480p,5,JPEG,cloud,114.212.81.11,0.023647864659627277,114.212.81.11,0.10660878817240398,189559,1.0,0.030833333333333334,1.0,0.0003618016164657509,cloud,114.212.81.11,0.0012215773264567058,114.212.81.11,0.010338584582010906,23855,1.0,0.7567916666666666,1.0,0.0002426416725373436
21,105,0.051946441332499184,0.023863593737284344,1,106179.2125151189,480p,5,JPEG,cloud,114.212.81.11,0.022856275240580242,114.212.81.11,0.01634236176808675,182318,1.0,0.030375000000000003,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0010073184967041016,114.212.81.11,0.011740485827128092,16530,1.0,0.7805,1.0,0.0002426416725373436
22,110,0.049436370531717934,0.031015078226725258,1,106179.2125151189,480p,5,JPEG,cloud,114.212.81.11,0.029926856358846027,114.212.81.11,0.007925669352213543,182869,1.0,0.02666666666666667,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0010882218678792317,114.212.81.11,0.010495622952779133,16081,1.0,0.7879791666666667,1.0,0.0002426416725373436
23,115,0.04677466551462809,0.029410719871520996,1,104023.4411042135,480p,5,JPEG,cloud,114.212.81.11,0.028211434682210285,114.212.81.11,0.00692458947499593,188829,1.0,0.028270833333333332,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0011992851893107097,114.212.81.11,0.010439356168111166,19833,1.0,0.7705833333333333,1.0,0.0002426416725373436
24,120,0.047630866368611656,0.028888583183288574,1,104023.4411042135,480p,5,JPEG,cloud,114.212.81.11,0.027677536010742188,114.212.81.11,0.008335908253987633,184380,1.0,0.028833333333333336,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0012110471725463867,114.212.81.11,0.01040637493133545,17232,1.0,0.7919791666666667,1.0,0.0002426416725373436
25,125,0.049086689949035645,0.02969813346862793,1,104023.4411042135,480p,5,JPEG,cloud,114.212.81.11,0.02836132049560547,114.212.81.11,0.009104490280151367,192734,1.0,0.029354166666666667,1.0,0.0003707484689622844,cloud,114.212.81.11,0.001336812973022461,114.212.81.11,0.010284066200256348,24596,1.0,0.7680833333333333,1.0,0.00024265683669411737
26,130,0.046703219413757324,0.02880911032358805,1,104023.4411042135,480p,5,JPEG,cloud,114.212.81.11,0.027596433957417805,114.212.81.11,0.0074610710144043,182300,1.0,0.02766666666666667,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0012126763661702473,114.212.81.11,0.010433038075764973,16216,1.0,0.7606041666666666,1.0,0.00024265683669411737
27,135,0.19278013706207275,0.023778915405273438,1,88362.51785095446,480p,5,JPEG,cloud,114.212.81.11,0.022682030995686848,114.212.81.11,0.15878148873647052,188365,1.0,0.032124999999999994,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0010968844095865886,114.212.81.11,0.010219732920328777,19747,1.0,0.8143333333333334,1.0,0.00024265683669411737
28,140,0.061320344607035324,0.024512211481730144,1,88362.51785095446,480p,5,JPEG,cloud,114.212.81.11,0.023411273956298828,114.212.81.11,0.026698311169942222,184042,1.0,0.029645833333333333,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0011009375254313152,114.212.81.11,0.010109821955362957,17040,1.0,0.7807708333333333,1.0,0.00024265683669411737
29,145,0.043612122535705566,0.024005969365437828,1,88362.51785095446,480p,5,JPEG,cloud,114.212.81.11,0.022799173990885418,114.212.81.11,0.008802612622578938,192776,1.0,0.03195833333333333,1.0,0.0003707484689622844,cloud,114.212.81.11,0.001206795374552409,114.212.81.11,0.010803540547688803,24630,1.0,0.8237708333333332,1.0,0.00024265683669411737
30,150,0.04714552561442057,0.028685927391052246,1,88362.51785095446,480p,5,JPEG,cloud,114.212.81.11,0.02722163995107015,114.212.81.11,0.007839639981587727,183009,1.0,0.029312499999999995,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0014642874399820964,114.212.81.11,0.0106199582417806,16313,1.0,0.7962916666666667,1.0,0.00024265683669411737
31,155,0.04514598846435547,0.02832190195719401,1,99909.4296193977,480p,5,JPEG,cloud,114.212.81.11,0.026779651641845703,114.212.81.11,0.00707284609476725,188616,1.0,0.027208333333333334,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0015422503153483074,114.212.81.11,0.009751240412394207,20028,1.0,0.7793749999999999,1.0,0.0002426720008508912
32,160,0.16907012462615967,0.023653586705525715,1,99909.4296193977,480p,5,JPEG,cloud,114.212.81.11,0.022324283917744953,114.212.81.11,0.13470462958017984,182270,1.0,0.03264583333333333,1.0,0.0003707484689622844,cloud,114.212.81.11,0.0013293027877807617,114.212.81.11,0.010711908340454102,15463,1.0,0.72125,1.0,0.0002426720008508912
33,165,0.05223870277404785,0.023537397384643555,1,99909.4296193977,480p,5,JPEG,cloud,114.212.81.11,0.022500793139139812,114.212.81.11,0.01687602202097575,192612,1.0,0.030854166666666665,1.0,0.00037076363311905824,cloud,114.212.81.11,0.0010366042455037434,114.212.81.11,0.011825283368428547,24505,1.0,0.7590208333333334,1.0,0.0002426720008508912
34,170,0.04171506563822428,0.02492388089497884,1,107287.92981640271,480p,5,JPEG,cloud,114.212.81.11,0.023708661397298176,114.212.81.11,0.007094899813334148,183033,1.0,0.03072916666666667,1.0,0.00037076363311905824,cloud,114.212.81.11,0.001215219497680664,114.212.81.11,0.009696284929911295,16961,1.0,0.8167708333333333,1.0,0.0002426720008508912
35,175,0.04393645127614339,0.02453164259592692,1,107287.92981640271,480p,5,JPEG,cloud,114.212.81.11,0.023299018541971844,114.212.81.11,0.007911841074625649,187741,1.0,0.029770833333333333,1.0,0.00037076363311905824,cloud,114.212.81.11,0.0012326240539550781,114.212.81.11,0.01149296760559082,20007,1.0,0.8328958333333333,1.0,0.0002426720008508912
