n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.0047422097279475,1,77688.15356067383,360p,1,JPEG,cloud,114.212.81.11,0.0040213511540339,114.212.81.11,0.0013888615828294,1.0,0.0437708333333333,1.0,9.23345505955806e-05,cloud,114.212.81.11,0.0007208585739135,114.212.81.11,0.0025112353838407,1.0,0.6079791666666667,1.0,0.0002410191077625
2,50.0,0.0041695099610548,1,77688.15356067383,360p,1,JPEG,cloud,114.212.81.11,0.0038887720841627,114.212.81.11,0.0015598168739905,1.0,0.0329166666666666,1.0,9.911292867346276e-05,cloud,114.212.81.11,0.000280737876892,114.212.81.11,0.0025415420532226,1.0,0.7351875,1.0,0.0002444158788798
3,75.0,0.0040124287972083,1,77688.15356067383,360p,1,JPEG,cloud,114.212.81.11,0.0036825858629666,114.212.81.11,0.0018430214661818,1.0,0.0347916666666666,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0003298429342416,114.212.81.11,0.0031545804097102,1.0,0.7691666666666667,1.0,0.0002419137930122
4,100.0,0.0046007358110868,1,77688.15356067383,360p,1,JPEG,cloud,114.212.81.11,0.0043248121555034,114.212.81.11,0.0018814527071439,1.0,0.029625,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0002759236555833,114.212.81.11,0.0024962700330294,1.0,0.7434583333333333,1.0,0.0002419137930122
5,125.0,0.0045570318515484,1,96570.56344667503,360p,1,JPEG,cloud,114.212.81.11,0.0042849228932307,114.212.81.11,0.0014016719964834,1.0,0.0317708333333333,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0002721089583176,114.212.81.11,0.0023070757205669,1.0,0.7883958333333334,1.0,0.0002419137930122
6,150.0,0.0040667423835167,1,96570.56344667503,360p,1,JPEG,cloud,114.212.81.11,0.003766472523029,114.212.81.11,0.0013597103265615,1.0,0.036125,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0003002698604877,114.212.81.11,0.0024436620565561,1.0,0.7370625,1.0,0.0002419137930122
7,175.0,0.0040516578234159,1,96570.56344667503,360p,1,JPEG,cloud,114.212.81.11,0.0037898467137263,114.212.81.11,0.0014148492079514,1.0,0.0337708333333333,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0002618111096895,114.212.81.11,0.0024243684915395,1.0,0.78825,1.0,0.0002419289571689
8,200.0,0.0036900043487548,1,96570.56344667503,360p,1,JPEG,cloud,114.212.81.11,0.0033453519527728,114.212.81.11,0.001612534889808,1.0,0.0358958333333333,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.000344652395982,114.212.81.11,0.0023415913948645,1.0,0.7352500000000001,1.0,0.0002419289571689
9,225.0,0.0040887227425208,1,105361.1025638031,360p,1,JPEG,cloud,114.212.81.11,0.0038152658022367,114.212.81.11,0.001277391727154,1.0,0.0356666666666666,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0002734569402841,114.212.81.11,0.0024891908352191,1.0,0.78275,1.0,0.0002419289571689
10,250.0,0.0039117611371553,1,105361.1025638031,360p,1,JPEG,cloud,114.212.81.11,0.0036326280006995,114.212.81.11,0.0014918584090012,1.0,0.03525,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0002791331364558,114.212.81.11,0.0026716177280132,1.0,0.7350625000000001,1.0,0.0002419289571689
11,275.0,0.0040510434370774,1,105361.1025638031,360p,1,JPEG,cloud,114.212.81.11,0.0037760367760291,114.212.81.11,0.0014581588598398,1.0,0.0339166666666666,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0002750066610483,114.212.81.11,0.0023217843129084,1.0,0.7462708333333333,1.0,0.0002419289571689
12,300.0,0.0040657978791456,1,105361.1025638031,360p,1,JPEG,cloud,114.212.81.11,0.003765372129587,114.212.81.11,0.0015640900685237,1.0,0.0340208333333333,1.0,9.809693016961914e-05,cloud,114.212.81.11,0.0003004257495586,114.212.81.11,0.00244180055765,1.0,0.7627083333333333,1.0,0.0002419289571689
