n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
876,6162.0,0.15583070119222003,74.8,360p,20,JPEG,host,172.27.143.164,0.0966509183247884,172.27.143.164,0.17685262362162274,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.05917978286743164,172.27.143.164,0.6764713128407797,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
877,6163.0,5.215632438659668,74.8,720p,5,JPEG,host,172.27.143.164,4.852625131607056,172.27.143.164,1.8224539756774902,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.3630073070526123,172.27.143.164,1.833479881286621,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
878,6165.0,3.666173537572225,74.8,720p,5,JPEG,host,172.27.143.164,3.4307008584340415,172.27.143.164,1.9344286123911538,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.2354726791381836,172.27.143.164,0.10642560323079425,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
879,6170.0,1.9145479996999104,74.8,720p,5,JPEG,host,172.27.143.164,1.7832812070846558,172.27.143.164,0.3962862888971963,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.13126679261525473,172.27.143.164,0.14584819475809732,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
880,6175.0,1.8627433776855469,74.8,720p,5,JPEG,host,172.27.143.164,1.7517613967259724,172.27.143.164,1.1139422655105593,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.11098198095957439,172.27.143.164,0.6023061275482178,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
881,6180.0,1.944373607635498,74.8,720p,5,JPEG,host,172.27.143.164,1.8171391884485881,172.27.143.164,0.40688387552897143,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.12723441918691,172.27.143.164,0.42533278465270996,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
882,6181.0,6.623703598976135,74.8,1080p,10,JPEG,host,172.27.143.164,6.530304193496704,172.27.143.164,1.2878735065460205,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.09339940547943115,172.27.143.164,0.8108104467391968,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
883,6183.0,4.431232055028279,74.8,1080p,10,JPEG,host,172.27.143.164,4.3712349732716875,172.27.143.164,2.2773863474527998,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.0599970817565918,172.27.143.164,0.12897729873657227,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
884,6185.0,4.506610155105591,74.8,1080p,10,JPEG,host,172.27.143.164,4.426660537719727,172.27.143.164,1.6011616388956709,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.07994961738586426,172.27.143.164,0.7903494040171305,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
885,6188.0,3.40154492855072,74.8,1080p,10,JPEG,host,172.27.143.164,3.331595778465271,172.27.143.164,1.361723244190216,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.06994915008544922,172.27.143.164,0.7526822686195374,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
886,6190.0,4.477702856063843,74.8,1080p,10,JPEG,host,172.27.143.164,4.40316915512085,172.27.143.164,0.880760908126831,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.07453370094299316,172.27.143.164,0.061023791631062835,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
887,6193.0,3.4133556485176086,74.8,1080p,10,JPEG,host,172.27.143.164,3.345266282558441,172.27.143.164,1.1531091332435608,0,0.15,0.15025,0,0.15,0.15025,0,0.004,0.00574639793805721,0,0.004,0.00574639793805721,host,172.27.143.164,0.06808936595916748,172.27.143.164,0.48561525344848633,0,0.35,0.31275,0,0.35,0.31275,0,0.004,0.0073425643549345195,0,0.004,0.0073425643549345195
888,6194.0,1.8319499492645264,74.6,480p,30,JPEG,host,172.27.143.164,1.653185486793518,172.27.143.164,0.8561320304870605,0,0.05,0.05075,0,0.05,0.05075,0,0.003,0.00474376085838062,0,0.003,0.00474376085838062,host,172.27.143.164,0.1787644624710083,172.27.143.164,0.0849142074584961,0,0.2,0.20975000000000002,0,0.2,0.20975000000000002,0,0.003,0.0073425643549345195,0,0.003,0.0073425643549345195
889,6195.0,1.5330413579940796,74.6,480p,30,JPEG,host,172.27.143.164,1.355971336364746,172.27.143.164,2.8817949295043945,0,0.05,0.05075,0,0.05,0.05075,0,0.003,0.004744755044875093,0,0.003,0.004744755044875093,host,172.27.143.164,0.1770700216293335,172.27.143.164,0.22178030014038086,0,0.2,0.1905,0,0.2,0.1905,0,0.003,0.0073425643549345195,0,0.003,0.0073425643549345195
890,6196.0,1.3738096952438354,74.6,480p,30,JPEG,host,172.27.143.164,1.1854791641235352,172.27.143.164,1.611685872077942,0,0.05,0.0495,0,0.05,0.0495,0,0.003,0.004741772485391672,0,0.003,0.004741772485391672,host,172.27.143.164,0.1883305311203003,172.27.143.164,0.048293471336364746,0,0.2,0.18575,0,0.2,0.18575,0,0.003,0.0073425643549345195,0,0.003,0.0073425643549345195
891,6197.0,1.3219053745269775,74.7,480p,30,JPEG,host,172.27.143.164,1.1562047004699707,172.27.143.164,0.7968833446502686,0,0.05,0.05075,0,0.05,0.05075,0,0.003,0.004743263765133382,0,0.003,0.004743263765133382,host,172.27.143.164,0.16570067405700684,172.27.143.164,1.085566759109497,0,0.2,0.22625,0,0.2,0.22625,0,0.003,0.0073425643549345195,0,0.003,0.0073425643549345195
