n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
831,6244.0,0.18835834662119547,1,91297.49719626368,630p,4,JPEG,host,192.168.1.7,0.18693880240122476,192.168.1.7,0.020505984624226897,0.15,0.1515,1.0,0.010154620854553001,cloud,114.212.81.11,0.0014195442199707031,114.212.81.11,0.010587970415751139,1.0,0.7498333333333332,1.0,0.00024949587139909467
832,6250.0,0.1727447850363595,1,91297.49719626368,630p,4,JPEG,host,192.168.1.7,0.17157643181937082,192.168.1.7,0.19138176100594656,0.15,0.14283333333333334,1.0,0.010154620854553001,cloud,114.212.81.11,0.0011683532169886998,114.212.81.11,0.006675890513828822,1.0,0.7048541666666667,1.0,0.00024949587139909467
833,6257.0,0.14179164171218872,1,70490.9282012262,630p,4,JPEG,host,192.168.1.7,0.14079415798187256,192.168.1.7,0.06721565127372742,0.15,0.15083333333333335,1.0,0.010154620854553001,cloud,114.212.81.11,0.0009974837303161621,114.212.81.11,0.01107555627822876,1.0,0.7473125,1.0,0.00024949587139909467
834,6263.0,0.17070395605904717,1,85218.98615565637,630p,4,JPEG,host,192.168.1.7,0.16963260514395578,192.168.1.7,0.10671816553388325,0.15,0.1445,1.0,0.010154620854553001,cloud,114.212.81.11,0.0010713509150913783,114.212.81.11,0.012924296515328544,1.0,0.7387291666666668,1.0,0.00024949587139909467
835,6269.0,0.16220160893031527,1,85218.98615565637,630p,4,JPEG,host,192.168.1.7,0.16098628725324357,192.168.1.7,0.12754338128226148,0.15,0.14933333333333332,1.0,0.010154620854553001,cloud,114.212.81.11,0.0012153216770717076,114.212.81.11,0.009572642190115792,1.0,0.8015833333333333,1.0,0.00024949587139909467
836,6275.0,0.1619089330945696,1,83351.99557018786,630p,4,JPEG,host,192.168.1.7,0.16077470779418945,192.168.1.7,0.09806844166346956,0.15,0.151,1.0,0.010154620854553001,cloud,114.212.81.11,0.001134225300380162,114.212.81.11,0.009831871305193219,1.0,0.7534791666666667,1.0,0.00024949587139909467
837,6276.0,2.202609658241272,1,85846.77955812268,720p,3,JPEG,host,192.168.1.7,2.1991889476776123,192.168.1.7,0.6753513813018799,0.05,0.050833333333333335,1.0,0.010154620854553001,cloud,114.212.81.11,0.003420710563659668,114.212.81.11,0.03670775890350342,1.0,0.7503333333333333,1.0,0.00024949587139909467
838,6284.0,0.49158822165595156,1,88363.29825942016,720p,3,JPEG,host,192.168.1.7,0.49082239468892414,192.168.1.7,0.13418200280931264,0.05,0.050499999999999996,1.0,0.010154620854553001,cloud,114.212.81.11,0.0007658269670274523,114.212.81.11,0.008400996526082357,1.0,0.7764375,1.0,0.00024949587139909467
839,6292.0,0.4921953943040636,1,62217.796276050656,720p,3,JPEG,host,192.168.1.7,0.49141322241889107,192.168.1.7,0.08136592970954049,0.05,0.050833333333333335,1.0,0.010154620854553001,cloud,114.212.81.11,0.000782171885172526,114.212.81.11,0.008475303649902344,1.0,0.7579375,1.0,0.00024949587139909467
840,6300.0,0.4919247627258301,1,80292.74672623962,720p,3,JPEG,host,192.168.1.7,0.49111493428548175,192.168.1.7,0.0964910719129774,0.05,0.050499999999999996,1.0,0.010154620854553001,cloud,114.212.81.11,0.0008098284403483073,114.212.81.11,0.009137021170722114,1.0,0.7328333333333333,1.0,0.00024949587139909467
