n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
673,4958.0,0.3353463411331177,1,99918.4336311493,360p,23,JPEG,host,192.168.1.7,0.23475170135498047,192.168.1.7,0.4289792776107788,0.1,0.08866666666666667,1.0,0.012595845791732842,host,192.168.1.7,0.10059463977813721,192.168.1.7,0.07835006713867188,0.7,0.2068333333333333,1.0,0.007251596290690189
674,4959.0,0.28730249404907227,1,84211.01060916895,360p,23,JPEG,host,192.168.1.7,0.2076319456100464,192.168.1.7,0.1941167116165161,0.1,0.09799999999999999,1.0,0.012595845791732842,host,192.168.1.7,0.07967054843902588,192.168.1.7,0.20192551612854004,0.7,0.2715,1.0,0.007251596290690189
675,4960.0,0.33701348304748535,1,62002.39365419617,360p,23,JPEG,host,192.168.1.7,0.21073174476623535,192.168.1.7,0.31438612937927246,0.1,0.10666666666666667,1.0,0.012595845791732842,host,192.168.1.7,0.12628173828125,192.168.1.7,0.15859735012054443,0.7,0.21766666666666667,1.0,0.007251596290690189
676,4961.0,0.2705942392349243,1,88928.92997899573,360p,23,JPEG,host,192.168.1.7,0.2111351490020752,192.168.1.7,0.27703559398651123,0.1,0.1025,1.0,0.012595845791732842,host,192.168.1.7,0.05945909023284912,192.168.1.7,0.04449343681335449,0.7,0.36366666666666664,1.0,0.007251596290690189
677,4962.0,0.05316495895385742,1,88928.92997899573,360p,24,JPEG,cloud,114.212.81.11,0.04940593242645264,114.212.81.11,0.02521812915802002,1.0,0.035812500000000004,1.0,0.0004511184998633482,cloud,114.212.81.11,0.003759026527404785,114.212.81.11,0.03405916690826416,1.0,0.7694166666666665,1.0,0.0002459929511843502
678,4963.0,0.05310535430908203,1,88928.92997899573,360p,24,JPEG,cloud,114.212.81.11,0.04951620101928711,114.212.81.11,0.01791226863861084,1.0,0.035708333333333335,1.0,0.0004511184998633482,cloud,114.212.81.11,0.003589153289794922,114.212.81.11,0.03337371349334717,1.0,0.8000208333333333,1.0,0.0002459929511843502
679,4964.0,0.06989455223083496,1,88928.92997899573,360p,24,JPEG,cloud,114.212.81.11,0.06603407859802246,114.212.81.11,0.024522066116333008,1.0,0.029958333333333337,1.0,0.0004511184998633482,cloud,114.212.81.11,0.0038604736328125,114.212.81.11,0.046883344650268555,1.0,0.7422083333333332,1.0,0.0002459929511843502
680,4965.0,0.05476093292236328,1,88928.92997899573,360p,24,JPEG,cloud,114.212.81.11,0.05076932907104492,114.212.81.11,0.03532743453979492,1.0,0.034854166666666665,1.0,0.0004511184998633482,cloud,114.212.81.11,0.003991603851318359,114.212.81.11,0.023616790771484375,1.0,0.7468750000000001,1.0,0.0002459929511843502
681,4966.0,0.05783712863922119,1,88928.92997899573,360p,24,JPEG,cloud,114.212.81.11,0.05370593070983887,114.212.81.11,0.0357743501663208,1.0,0.03291666666666667,1.0,0.0004511184998633482,cloud,114.212.81.11,0.004131197929382324,114.212.81.11,0.03362560272216797,1.0,0.7465208333333333,1.0,0.0002459929511843502
682,4967.0,0.05165362358093262,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.048322439193725586,114.212.81.11,0.023086071014404297,1.0,0.03229166666666667,1.0,0.0004511184998633482,cloud,114.212.81.11,0.0033311843872070312,114.212.81.11,0.03758049011230469,1.0,0.7747083333333333,1.0,0.0002459929511843502
683,4968.0,0.04941678047180176,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.04607546329498291,114.212.81.11,0.030969619750976562,1.0,0.033895833333333326,1.0,0.0004511184998633482,cloud,114.212.81.11,0.0033413171768188477,114.212.81.11,0.0331268310546875,1.0,0.8032083333333334,1.0,0.0002459929511843502
684,4969.0,0.052750229835510254,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.04920768737792969,114.212.81.11,0.01624298095703125,1.0,0.03383333333333333,1.0,0.0004511184998633482,cloud,114.212.81.11,0.0035425424575805664,114.212.81.11,0.030837416648864746,1.0,0.815875,1.0,0.0002459929511843502
685,4970.0,0.05102646350860596,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.04750525951385498,114.212.81.11,0.02025020122528076,1.0,0.03285416666666666,1.0,0.0004511184998633482,cloud,114.212.81.11,0.0035212039947509766,114.212.81.11,0.039168357849121094,1.0,0.7871041666666666,1.0,0.0002459929511843502
686,4971.0,0.05363333225250244,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.048607826232910156,114.212.81.11,0.0448836088180542,1.0,0.03639583333333333,1.0,0.0004511184998633482,cloud,114.212.81.11,0.005025506019592285,114.212.81.11,0.03114461898803711,1.0,0.7770625,1.0,0.0002459929511843502
687,4972.0,0.05080568790435791,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.04757571220397949,114.212.81.11,0.027046561241149902,1.0,0.03716666666666667,1.0,0.0004511184998633482,cloud,114.212.81.11,0.003229975700378418,114.212.81.11,0.029307842254638672,1.0,0.7981250000000001,1.0,0.0002459929511843502
688,4973.0,0.05110347270965576,1,88581.80381538928,360p,24,JPEG,cloud,114.212.81.11,0.047675251960754395,114.212.81.11,0.026059389114379883,1.0,0.03272916666666666,1.0,0.0004511184998633482,cloud,114.212.81.11,0.003428220748901367,114.212.81.11,0.038706302642822266,1.0,0.8085625,1.0,0.0002459929511843502
689,4974.0,0.23055970668792725,1,66769.59451090942,720p,4,JPEG,cloud,114.212.81.11,0.22710132598876953,114.212.81.11,0.05686366558074951,1.0,0.023854166666666666,1.0,0.0003437865982184936,cloud,114.212.81.11,0.003458380699157715,114.212.81.11,0.035570740699768066,1.0,0.7726666666666667,1.0,0.0002459929511843502
