n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
173,981.0,1.9370613098144531,1,78321.18717482251,900p,5,JPEG,host,192.168.1.7,1.8498891592025757,192.168.1.7,0.15065157413482666,0.1,0.09949999999999999,1.0,0.008356137486050321,host,192.168.1.7,0.08717215061187744,192.168.1.7,0.03643321990966797,0.45,0.3246666666666667,1.0,0.00725457885017361
174,985.0,0.7550560474395752,1,97051.86488874524,900p,5,JPEG,host,192.168.1.7,0.7260177135467529,192.168.1.7,0.035392045974731445,0.1,0.10049999999999999,1.0,0.008356137486050321,host,192.168.1.7,0.029038333892822267,192.168.1.7,0.013295459747314449,0.45,0.4013333333333333,1.0,0.00725457885017361
175,990.0,0.6430322329203287,1,104277.3389680791,900p,5,JPEG,host,192.168.1.7,0.6051099300384521,192.168.1.7,0.05833601951599121,0.1,0.10099999999999999,1.0,0.008356137486050321,host,192.168.1.7,0.037922302881876625,192.168.1.7,0.020050088564554855,0.45,0.24883333333333335,1.0,0.00725457885017361
176,995.0,0.6378939549128214,1,82940.45263206957,900p,5,JPEG,host,192.168.1.7,0.617383599281311,192.168.1.7,0.044001420338948605,0.1,0.09899999999999999,1.0,0.008356137486050321,host,192.168.1.7,0.020510355631510418,192.168.1.7,0.010801275571187336,0.45,0.43250000000000005,1.0,0.00725457885017361
177,1000.0,0.6244961023330688,1,102801.4319624906,900p,5,JPEG,host,192.168.1.7,0.6053504943847656,192.168.1.7,0.0363154411315918,0.1,0.10049999999999999,1.0,0.008356137486050321,host,192.168.1.7,0.019145607948303223,192.168.1.7,0.01083974043528239,0.45,0.4343333333333334,1.0,0.00725457885017361
178,1005.0,0.6600286165873209,1,75110.90918924414,900p,5,JPEG,host,192.168.1.7,0.6324999729792277,192.168.1.7,0.04170886675516772,0.1,0.09799999999999999,1.0,0.008356137486050321,host,192.168.1.7,0.02752864360809326,192.168.1.7,0.016989906628926597,0.45,0.2821666666666667,1.0,0.00725457885017361
179,1006.0,1.1661947965621948,1,111911.23815737842,900p,6,JPEG,host,192.168.1.7,1.1625195741653442,192.168.1.7,0.12797224521636963,0.25,0.15633333333333332,1.0,0.008356137486050321,cloud,114.212.81.11,0.003675222396850586,114.212.81.11,0.03306102752685547,1.0,0.8420416666666667,1.0,0.00024449169966374545
180,1009.0,0.5452582836151123,1,111911.23815737842,900p,6,JPEG,host,192.168.1.7,0.5434091091156006,192.168.1.7,0.04972696304321289,0.25,0.16716666666666666,1.0,0.008356137486050321,cloud,114.212.81.11,0.0018491744995117188,114.212.81.11,0.017594993114471436,1.0,0.7209791666666666,1.0,0.00024449169966374545
181,1013.0,0.43451409339904784,1,112457.43863651014,900p,6,JPEG,host,192.168.1.7,0.4330153465270996,192.168.1.7,0.042890405654907204,0.25,0.16633333333333333,1.0,0.008356137486050321,cloud,114.212.81.11,0.0014987468719482421,114.212.81.11,0.015534687042236327,1.0,0.7666875000000001,1.0,0.00024449169966374545
182,1017.0,0.4430802822113037,1,73145.65284084449,900p,6,JPEG,host,192.168.1.7,0.44158411026000977,192.168.1.7,0.03685784339904785,0.25,0.1645,1.0,0.008356137486050321,cloud,114.212.81.11,0.0014961719512939452,114.212.81.11,0.012541913986206054,1.0,0.7414791666666667,1.0,0.00024449169966374545
183,1021.0,0.43644051551818847,1,73145.65284084449,900p,6,JPEG,host,192.168.1.7,0.43489465713500974,192.168.1.7,0.03326754570007329,0.25,0.16633333333333333,1.0,0.008356137486050321,cloud,114.212.81.11,0.001545858383178711,114.212.81.11,0.01584172248840332,1.0,0.7703541666666666,1.0,0.00024449169966374545
184,1025.0,0.43439435958862305,1,111646.1479812052,900p,6,JPEG,host,192.168.1.7,0.4328306674957275,192.168.1.7,0.03361001014709475,0.25,0.16633333333333333,1.0,0.008356137486050321,cloud,114.212.81.11,0.001563692092895508,114.212.81.11,0.013954830169677735,1.0,0.7361041666666667,1.0,0.00024449169966374545
185,1030.0,0.3643636703491211,1,110577.02853638049,900p,6,JPEG,host,192.168.1.7,0.3631907304128011,192.168.1.7,0.044500112533569336,0.25,0.166,1.0,0.008356137486050321,cloud,114.212.81.11,0.001172939936319987,114.212.81.11,0.011902411778767904,1.0,0.8486666666666666,1.0,0.00024449169966374545
186,1031.0,0.18034136295318604,1,110577.02853638049,630p,25,JPEG,cloud,114.212.81.11,0.17646074295043945,114.212.81.11,0.0390467643737793,1.0,0.0241875,1.0,0.00027609380238031463,cloud,114.212.81.11,0.003880620002746582,114.212.81.11,0.033080339431762695,1.0,0.767,1.0,0.00024449169966374545
187,1032.0,0.17569398880004883,1,110577.02853638049,630p,25,JPEG,cloud,114.212.81.11,0.17194974422454834,114.212.81.11,0.062493085861206055,1.0,0.024229166666666666,1.0,0.00027609380238031463,cloud,114.212.81.11,0.0037442445755004883,114.212.81.11,0.039734482765197754,1.0,0.7674374999999999,1.0,0.00024449169966374545
188,1033.0,0.1813507080078125,1,110577.02853638049,630p,25,JPEG,cloud,114.212.81.11,0.17751646041870117,114.212.81.11,0.052754759788513184,1.0,0.0240625,1.0,0.00027609380238031463,cloud,114.212.81.11,0.003834247589111328,114.212.81.11,0.03527247905731201,1.0,0.7515625,1.0,0.00024449169966374545
189,1034.0,0.18165051937103271,1,75657.03791168494,630p,25,JPEG,cloud,114.212.81.11,0.17788732051849365,114.212.81.11,0.032703518867492676,1.0,0.024000000000000004,1.0,0.00027609380238031463,cloud,114.212.81.11,0.0037631988525390625,114.212.81.11,0.03295254707336426,1.0,0.7630624999999999,1.0,0.00024449169966374545
190,1035.0,0.14921832084655762,1,75657.03791168494,630p,25,JPEG,cloud,114.212.81.11,0.14576375484466553,114.212.81.11,0.03714323043823242,1.0,0.026437500000000003,1.0,0.00027609380238031463,cloud,114.212.81.11,0.00345456600189209,114.212.81.11,0.038928985595703125,1.0,0.80475,1.0,0.00024449169966374545
191,1036.0,0.18308687210083008,1,75657.03791168494,630p,25,JPEG,cloud,114.212.81.11,0.17912137508392334,114.212.81.11,0.032212138175964355,1.0,0.024416666666666666,1.0,0.00027609380238031463,cloud,114.212.81.11,0.003965497016906738,114.212.81.11,0.03186523914337158,1.0,0.7508125,1.0,0.00024449169966374545
192,1037.0,0.1494525671005249,1,75657.03791168494,630p,25,JPEG,cloud,114.212.81.11,0.14569354057312012,114.212.81.11,0.03647434711456299,1.0,0.026437500000000003,1.0,0.00027609380238031463,cloud,114.212.81.11,0.003759026527404785,114.212.81.11,0.03343641757965088,1.0,0.7638125000000001,1.0,0.00024449169966374545
193,1038.0,0.15428447723388672,1,91643.43217131494,630p,25,JPEG,cloud,114.212.81.11,0.1504077911376953,114.212.81.11,0.036252737045288086,1.0,0.024916666666666667,1.0,0.00027609380238031463,cloud,114.212.81.11,0.0038766860961914062,114.212.81.11,0.032747745513916016,1.0,0.7628958333333333,1.0,0.00024449169966374545
194,1039.0,0.519452691078186,1,91643.43217131494,630p,25,JPEG,host,192.168.1.7,0.5157070159912109,192.168.1.7,0.06942880153656006,0.3,0.16633333333333333,1.0,0.008734425447197512,cloud,114.212.81.11,0.0037456750869750977,114.212.81.11,0.03181624412536621,1.0,0.7670416666666667,1.0,0.00024449169966374545
195,1040.0,0.5264993906021118,1,91643.43217131494,630p,25,JPEG,host,192.168.1.7,0.5229785442352295,192.168.1.7,0.061196088790893555,0.3,0.164,1.0,0.008734425447197512,cloud,114.212.81.11,0.0035208463668823242,114.212.81.11,0.03262472152709961,1.0,0.8178333333333333,1.0,0.00024449169966374545
196,1041.0,0.518783688545227,1,112269.39166324634,630p,25,JPEG,host,192.168.1.7,0.5151482820510864,192.168.1.7,0.13401532173156738,0.3,0.1665,1.0,0.008734425447197512,cloud,114.212.81.11,0.003635406494140625,114.212.81.11,0.03544151782989502,1.0,0.762625,1.0,0.00024449169966374545
197,1042.0,0.5196646451950073,1,112269.39166324634,630p,25,JPEG,host,192.168.1.7,0.5155433416366577,192.168.1.7,0.2266463041305542,0.3,0.1665,1.0,0.008734425447197512,cloud,114.212.81.11,0.004121303558349609,114.212.81.11,0.03680717945098877,1.0,0.7481249999999999,1.0,0.00024449169966374545
198,1043.0,0.5242108106613159,1,92369.39127847827,630p,25,JPEG,host,192.168.1.7,0.5204430818557739,192.168.1.7,0.11883413791656494,0.3,0.16483333333333336,1.0,0.008734425447197512,cloud,114.212.81.11,0.003767728805541992,114.212.81.11,0.03199291229248047,1.0,0.7633541666666667,1.0,0.00024449169966374545
199,1044.0,0.5178226232528687,1,92369.39127847827,630p,25,JPEG,host,192.168.1.7,0.5138016939163208,192.168.1.7,0.057343244552612305,0.3,0.16533333333333333,1.0,0.008734425447197512,cloud,114.212.81.11,0.0040209293365478516,114.212.81.11,0.030483245849609375,1.0,0.7911041666666666,1.0,0.00024449169966374545
200,1045.0,0.521892786026001,1,92369.39127847827,630p,25,JPEG,host,192.168.1.7,0.5181288719177246,192.168.1.7,0.05580878257751465,0.3,0.16566666666666668,1.0,0.008734425447197512,cloud,114.212.81.11,0.003763914108276367,114.212.81.11,0.034540414810180664,1.0,0.79075,1.0,0.00024449169966374545
201,1046.0,0.5205559730529785,1,99393.75515692322,630p,25,JPEG,host,192.168.1.7,0.5168044567108154,192.168.1.7,0.06613624095916748,0.3,0.1645,1.0,0.008734425447197512,cloud,114.212.81.11,0.003751516342163086,114.212.81.11,0.03351724147796631,1.0,0.8191666666666667,1.0,0.00024449169966374545
202,1047.0,0.6115831136703491,1,99393.75515692322,630p,25,JPEG,host,192.168.1.7,0.550174355506897,192.168.1.7,0.05853986740112305,0.3,0.1545,1.0,0.008734425447197512,host,192.168.1.7,0.06140875816345215,192.168.1.7,0.031110286712646484,0.7,0.42016666666666663,1.0,0.00725457885017361
203,1048.0,0.5581363439559937,1,96812.89777168763,630p,25,JPEG,host,192.168.1.7,0.5181596279144287,192.168.1.7,0.12054443359375,0.3,0.16566666666666668,1.0,0.008734425447197512,host,192.168.1.7,0.03997671604156494,192.168.1.7,0.03186964988708496,0.7,0.624,1.0,0.00725457885017361
204,1049.0,0.5734387636184692,1,96812.89777168763,630p,25,JPEG,host,192.168.1.7,0.5149599313735962,192.168.1.7,0.06329035758972168,0.3,0.16666666666666666,1.0,0.008734425447197512,host,192.168.1.7,0.05847883224487305,192.168.1.7,0.0319666862487793,0.7,0.3985,1.0,0.007255075943420846
205,1050.0,0.5732595920562744,1,96812.89777168763,630p,25,JPEG,host,192.168.1.7,0.5167301893234253,192.168.1.7,0.08546864986419678,0.3,0.1645,1.0,0.008734425447197512,host,192.168.1.7,0.05652940273284912,192.168.1.7,0.03252434730529785,0.7,0.45616666666666666,1.0,0.007255075943420846
206,1051.0,0.5556557178497314,1,105062.04665801868,630p,25,JPEG,host,192.168.1.7,0.514067530632019,192.168.1.7,0.07496869564056396,0.3,0.16533333333333333,1.0,0.008734425447197512,host,192.168.1.7,0.0415881872177124,192.168.1.7,0.033101677894592285,0.7,0.6188333333333333,1.0,0.007255075943420846
207,1052.0,0.6145780086517334,1,105062.04665801868,630p,25,JPEG,host,192.168.1.7,0.5227233171463013,192.168.1.7,0.13518333435058594,0.3,0.16416666666666666,1.0,0.008734425447197512,host,192.168.1.7,0.09185469150543213,192.168.1.7,0.0394442081451416,0.7,0.299,1.0,0.007255075943420846
