n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.0048410892486572266,1,83952.94136106348,360p,1,JPEG,cloud,114.212.81.11,0.0038990332530095028,114.212.81.11,0.0016043644685011646,1.0,0.043104166666666666,1.0,9.133371624851075e-05,cloud,114.212.81.11,0.0009420559956477239,114.212.81.11,0.0024631390204796423,1.0,0.6257291666666667,1.0,0.00024107976438964368
2,50.0,0.0040548856441791235,1,83952.94136106348,360p,1,JPEG,cloud,114.212.81.11,0.0037383574705857495,114.212.81.11,0.0015064661319439234,1.0,0.03854166666666667,1.0,9.81272584831667e-05,cloud,114.212.81.11,0.0003165281735933744,114.212.81.11,0.002305966157179612,1.0,0.7000000000000001,1.0,0.0002438093126089251
3,75.0,0.004109923656170185,1,83952.94136106348,360p,1,JPEG,cloud,114.212.81.11,0.0038140095197237455,114.212.81.11,0.0014808636445265548,1.0,0.03358333333333333,1.0,9.736905064447742e-05,cloud,114.212.81.11,0.0002959141364464393,114.212.81.11,0.0022873786779550407,1.0,0.7738333333333333,1.0,0.00024135271921157182
4,76.0,6.004082679748535,1,98672.3643955514,1080p,30,JPEG,host,192.168.1.7,5.999639630317688,192.168.1.7,0.12974119186401367,0.05,0.049833333333333334,1.0,0.0098086439544762,cloud,114.212.81.11,0.004443049430847168,114.212.81.11,0.04005312919616699,1.0,0.6942499999999999,1.0,0.00024364250688441345
5,77.0,5.793986916542053,1,87212.56611880579,1080p,30,JPEG,host,192.168.1.7,5.789456605911255,192.168.1.7,0.14569306373596191,0.05,0.049999999999999996,1.0,0.010586097793154529,cloud,114.212.81.11,0.00453031063079834,114.212.81.11,0.03399300575256348,1.0,0.7271041666666666,1.0,0.00024364250688441345
6,78.0,5.992843389511108,1,95302.31041594873,1080p,30,JPEG,host,192.168.1.7,5.988500118255615,192.168.1.7,0.17014753818511963,0.05,0.050166666666666665,1.0,0.010586097793154529,cloud,114.212.81.11,0.004343271255493164,114.212.81.11,0.039601802825927734,1.0,0.6862083333333334,1.0,0.00024365767104118723
7,79.0,6.099657297134399,1,93961.5552286012,1080p,30,JPEG,host,192.168.1.7,6.095626711845398,192.168.1.7,0.15701520442962646,0.05,0.049999999999999996,1.0,0.010593057098615844,cloud,114.212.81.11,0.004030585289001465,114.212.81.11,0.03467988967895508,1.0,0.7908749999999999,1.0,0.00024365767104118723
8,80.0,5.951761722564697,1,94576.18388987427,1080p,30,JPEG,host,192.168.1.7,5.94776713848114,192.168.1.7,0.16938328742980957,0.05,0.050166666666666665,1.0,0.010593057098615844,cloud,114.212.81.11,0.003994584083557129,114.212.81.11,0.03400707244873047,1.0,0.7712708333333333,1.0,0.00024365767104118723
9,81.0,6.102030396461487,1,92045.53423139734,1080p,30,JPEG,host,192.168.1.7,6.098065495491028,192.168.1.7,0.11330139636993408,0.05,0.049999999999999996,1.0,0.010593057098615844,cloud,114.212.81.11,0.003964900970458984,114.212.81.11,0.03574228286743164,1.0,0.8027291666666666,1.0,0.00024365767104118723
10,82.0,2.7643544673919678,1,100325.1335289884,1080p,30,JPEG,host,192.168.1.7,2.760122299194336,192.168.1.7,0.1268686056137085,0.1,0.10083333333333333,1.0,0.010593057098615844,cloud,114.212.81.11,0.004232168197631836,114.212.81.11,0.03641211986541748,1.0,0.7775208333333333,1.0,0.00024365767104118723
