n_loop,frame_id,all_delay,edge_mem_ratio,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_portrait,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_trans_cpu_portrait,face_detection_trans_cpu_util_limit,face_detection_trans_cpu_util_use,face_detection_mem_portrait,face_detection_mem_util_limit,face_detection_mem_util_use,face_detection_trans_mem_portrait,face_detection_trans_mem_util_limit,face_detection_trans_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_portrait,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_trans_cpu_portrait,gender_classification_trans_cpu_util_limit,gender_classification_trans_cpu_util_use,gender_classification_mem_portrait,gender_classification_mem_util_limit,gender_classification_mem_util_use,gender_classification_trans_mem_portrait,gender_classification_trans_mem_util_limit,gender_classification_trans_mem_util_use
101,764.0,1.1927988529205322,70.9,720p,1,JPEG,host,172.27.143.164,1.1494394540786743,172.27.143.164,0.17315757274627686,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.04335939884185791,172.27.143.164,0.03514981269836426,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
102,775.0,0.2008865674336751,70.9,720p,1,JPEG,host,172.27.143.164,0.1910045544306437,172.27.143.164,0.015725413958231627,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.009882013003031412,172.27.143.164,0.005667289098103842,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
103,800.0,0.09742468137007494,70.9,720p,1,JPEG,host,172.27.143.164,0.08919221621293288,172.27.143.164,0.004926635668827936,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.008232465157142052,172.27.143.164,0.005277853745680589,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
104,825.0,0.09199487245999849,70.9,720p,1,JPEG,host,172.27.143.164,0.08826127419104943,172.27.143.164,0.007899229343120873,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.0037335982689490686,172.27.143.164,0.0025887305919940653,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
105,850.0,0.09463096581972562,70.9,720p,1,JPEG,host,172.27.143.164,0.08695697784423828,172.27.143.164,0.005386526768024147,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.007673987975487342,172.27.143.164,0.0024902270390437208,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
106,875.0,0.0978623078419612,70.9,720p,1,JPEG,host,172.27.143.164,0.08940365681281456,172.27.143.164,0.013950861417330235,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.008458651029146634,172.27.143.164,0.0032156430757962744,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
107,876.0,0.20525908470153809,70.9,360p,5,JPEG,host,172.27.143.164,0.13745856285095215,172.27.143.164,0.09032893180847168,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.06780052185058594,172.27.143.164,0.11594688892364502,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
108,880.0,0.08122291564941406,70.9,360p,5,JPEG,host,172.27.143.164,0.05395793914794922,172.27.143.164,0.016244602203369138,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.027264976501464845,172.27.143.164,0.015052175521850585,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
109,885.0,0.07263473669687906,70.9,360p,5,JPEG,host,172.27.143.164,0.04435960451761881,172.27.143.164,0.06308615207672119,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.028275132179260254,172.27.143.164,0.010647734006245933,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
110,890.0,0.0701604684193929,70.9,360p,5,JPEG,host,172.27.143.164,0.04894077777862549,172.27.143.164,0.014511585235595703,0,0.25,0.21225000000000002,0,0.25,0.21225000000000002,2,0.014,0.010926109574264488,2,0.014,0.010926109574264488,host,172.27.143.164,0.021219690640767414,172.27.143.164,0.011316458384195965,0,0.5,0.3945,0,0.5,0.3945,2,0.008,0.00734107307519281,2,0.008,0.00734107307519281
