n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,5.0,0.157662034034729,1,108293.9768648938,1080p,5,JPEG,cloud,114.212.81.11,0.15345378716786703,114.212.81.11,0.030320207277933747,1.0,0.023749999999999997,1.0,0.00033987424577085695,cloud,114.212.81.11,0.0042082468668619795,114.212.81.11,0.012418031692504883,1.0,0.6313541666666667,1.0,0.00024317241802442608
2,10.0,0.14684534072875977,1,108293.9768648938,1080p,5,JPEG,cloud,114.212.81.11,0.14514164129892984,114.212.81.11,0.02614772319793701,1.0,0.022479166666666665,1.0,0.0003396316192624764,cloud,114.212.81.11,0.0017036994298299153,114.212.81.11,0.013461033503214518,1.0,0.7255833333333334,1.0,0.00024697862137464626
3,15.0,0.15769489606221518,1,98424.10133367724,1080p,5,JPEG,cloud,114.212.81.11,0.15633666515350342,114.212.81.11,0.0279374917348226,1.0,0.02220833333333333,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0013582309087117512,114.212.81.11,0.011920849482218424,1.0,0.7314583333333333,1.0,0.00024535605659985123
4,20.0,0.15176649888356528,1,98424.10133367724,1080p,5,JPEG,cloud,114.212.81.11,0.15040489037831625,114.212.81.11,0.02696057160695392,1.0,0.022624999999999996,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0013616085052490234,114.212.81.11,0.011947194735209147,1.0,0.7545833333333333,1.0,0.00024535605659985123
5,25.0,0.14351165294647217,1,98424.10133367724,1080p,5,JPEG,cloud,114.212.81.11,0.14213947455088297,114.212.81.11,0.028574744860331236,1.0,0.022479166666666665,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0013721783955891926,114.212.81.11,0.011887033780415852,1.0,0.7737916666666665,1.0,0.000245371220756625
6,30.0,0.14229484399159747,1,104353.31149110523,1080p,5,JPEG,cloud,114.212.81.11,0.14071730772654215,114.212.81.11,0.023672938346862793,1.0,0.02220833333333333,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0015775362650553386,114.212.81.11,0.011710484822591146,1.0,0.7391666666666666,1.0,0.000245371220756625
7,35.0,0.15212472279866537,1,104353.31149110523,1080p,5,JPEG,cloud,114.212.81.11,0.15073227882385254,114.212.81.11,0.025407950083414704,1.0,0.022333333333333334,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0013924439748128254,114.212.81.11,0.012495279312133789,1.0,0.7627291666666666,1.0,0.000245371220756625
8,40.0,0.15391937891642252,1,101229.51049101086,1080p,5,JPEG,cloud,114.212.81.11,0.15265393257141113,114.212.81.11,0.02840093771616617,1.0,0.022520833333333334,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0012654463450113933,114.212.81.11,0.01134924093882243,1.0,0.8167708333333333,1.0,0.000245371220756625
9,45.0,0.14581187566121417,1,101229.51049101086,1080p,5,JPEG,cloud,114.212.81.11,0.14444939295450845,114.212.81.11,0.025111118952433287,1.0,0.02283333333333333,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0013624827067057292,114.212.81.11,0.012642661730448406,1.0,0.7797291666666667,1.0,0.000245371220756625
10,50.0,0.144532044728597,1,101229.51049101086,1080p,5,JPEG,cloud,114.212.81.11,0.14313224951426187,114.212.81.11,0.028675198554992676,1.0,0.0225625,1.0,0.00033891890389410844,cloud,114.212.81.11,0.0013997952143351238,114.212.81.11,0.012645522753397625,1.0,0.7345833333333333,1.0,0.000245371220756625
