n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_trans_data_size,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_trans_data_size,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.12261619934668908,1,100972.35838168884,1080p,1,JPEG,host,192.168.1.9,0.11802365229679988,192.168.1.9,0.006865602273207441,734199,1.0,0.25,1.0,0.01067557457765715,host,192.168.1.9,0.004592547049889198,192.168.1.9,0.0027793920957125155,75491,1.0,0.6890000000000001,1.0,0.00721431429714743
2,50.0,0.12072337590731108,1,69723.96835066639,1080p,1,JPEG,host,192.168.1.9,0.116224637398353,192.168.1.9,0.007007498007554264,745672,1.0,0.249,1.0,0.01141077549032035,host,192.168.1.9,0.004498738508958083,192.168.1.9,0.0027170639771681568,70312,1.0,0.6827500000000001,1.0,0.007323674811539522
3,75.0,0.11970750185159536,1,108681.88488225378,1080p,1,JPEG,host,192.168.1.9,0.11635485062232384,192.168.1.9,0.008157289945162266,751639,1.0,0.2495,1.0,0.01141077549032035,host,192.168.1.9,0.003352651229271522,192.168.1.9,0.002628803253173828,73644,1.0,0.85675,1.0,0.007324171904786759
4,100.0,0.1250829054759099,1,82674.82234436207,1080p,1,JPEG,host,192.168.1.9,0.12192335495581993,192.168.1.9,0.007025168492243855,725679,1.0,0.23825,1.0,0.01141077549032035,host,192.168.1.9,0.0031595505200899565,192.168.1.9,0.002674359541672927,76102,1.0,0.9107500000000001,1.0,0.007324171904786759
5,125.0,0.11966884136199951,1,110552.27687945911,1080p,1,JPEG,host,192.168.1.9,0.11652773160200852,192.168.1.9,0.009298581343430756,740855,1.0,0.24825,1.0,0.01141077549032035,host,192.168.1.9,0.0031411097599909855,192.168.1.9,0.0025390753379234904,61931,1.0,0.91625,1.0,0.007324171904786759
6,150.0,0.1198800068635207,1,100246.00535913427,1080p,1,JPEG,host,192.168.1.9,0.11584437810457669,192.168.1.9,0.006166815757751465,729610,1.0,0.249,1.0,0.01141077549032035,host,192.168.1.9,0.004035628758943998,192.168.1.9,0.0025699780537531925,75487,1.0,0.71325,1.0,0.007324171904786759
7,175.0,0.11680805683135986,1,79348.1987554336,1080p,1,JPEG,host,192.168.1.9,0.11592657749469464,192.168.1.9,0.005247317827664896,744817,1.0,0.24875,1.0,0.01141077549032035,cloud,114.212.81.11,0.0008814793366652268,114.212.81.11,0.002697174365703876,70764,1.0,0.5151249999999999,1.0,0.00023882030503034963
8,200.0,0.11672993806692271,1,110607.34081300061,1080p,1,JPEG,host,192.168.1.9,0.11636869723980243,192.168.1.9,0.005893789804898769,753973,1.0,0.24875,1.0,0.011413758049803773,cloud,114.212.81.11,0.00036124082712026744,114.212.81.11,0.002613351895258977,73803,1.0,0.5910208333333333,1.0,0.0002430207764566882
9,225.0,0.1161561837563148,1,109220.42034234131,1080p,1,JPEG,host,192.168.1.9,0.11586979719308707,192.168.1.9,0.008593054918142454,761947,1.0,0.249,1.0,0.011413758049803773,cloud,114.212.81.11,0.00028638656322772685,114.212.81.11,0.0027546607531034033,82270,1.0,0.690125,1.0,0.0002448404752695425
10,250.0,0.11698421148153451,1,74675.26015802857,1080p,1,JPEG,host,192.168.1.9,0.11666763745821439,192.168.1.9,0.007865557303795456,736627,1.0,0.248,1.0,0.011413758049803773,cloud,114.212.81.11,0.0003165740233201247,114.212.81.11,0.0025173792472252482,62402,1.0,0.6481458333333333,1.0,0.0002451740867185658
11,275.0,0.11638391934908353,1,108979.000453078,1080p,1,JPEG,host,192.168.1.9,0.11609096710498516,192.168.1.9,0.00724300971397987,721263,1.0,0.24925,1.0,0.011413758049803773,cloud,114.212.81.11,0.0002929522440983699,114.212.81.11,0.002575388321509728,75870,1.0,0.673375,1.0,0.0002451740867185658
12,300.0,0.11649038241459772,1,105612.08918252845,1080p,1,JPEG,host,192.168.1.9,0.11613043454977182,192.168.1.9,0.007166101382328927,742713,1.0,0.24925,1.0,0.011413758049803773,cloud,114.212.81.11,0.00035994786482590897,114.212.81.11,0.002755871185889611,75499,1.0,0.7038125000000001,1.0,0.00024531056412952987
13,325.0,0.042920662806584284,1,105612.08918252845,1080p,1,JPEG,cloud,114.212.81.11,0.03745448589324951,114.212.81.11,0.006588257276094876,754736,1.0,0.023104166666666665,1.0,0.00034019269306310643,host,192.168.1.9,0.005466176913334773,192.168.1.9,0.0031368273955125073,74679,1.0,0.56125,1.0,0.007353997499620967
14,350.0,0.041001163996182956,1,69628.74436528698,1080p,1,JPEG,cloud,114.212.81.11,0.03765214406527006,114.212.81.11,0.006059802495516263,737490,1.0,0.022333333333333334,1.0,0.0003404201554147132,host,192.168.1.9,0.003349019930912898,192.168.1.9,0.002542945054861216,61005,1.0,0.8590000000000001,1.0,0.007353997499620967
15,375.0,0.041023043485788196,1,69628.74436528698,1080p,1,JPEG,cloud,114.212.81.11,0.035056691903334394,114.212.81.11,0.005186511920048646,732875,1.0,0.0219375,1.0,0.00034043531957148705,host,192.168.1.9,0.005966351582453801,192.168.1.9,0.002640375724205603,62108,1.0,0.5635,1.0,0.007354494592868203
16,400.0,0.04170824931218074,1,106867.87341247388,1080p,1,JPEG,cloud,114.212.81.11,0.03743247802440937,114.212.81.11,0.0060565379949716405,720998,1.0,0.022250000000000002,1.0,0.00034043531957148705,host,192.168.1.9,0.004275771287771372,192.168.1.9,0.002635763241694523,75502,1.0,0.6509999999999999,1.0,0.007354494592868203
17,425.0,0.04134430335118221,1,106867.87341247388,1080p,1,JPEG,cloud,114.212.81.11,0.037374019622802734,114.212.81.11,0.00640729757455679,739336,1.0,0.022291666666666668,1.0,0.00034043531957148705,host,192.168.1.9,0.003970283728379469,192.168.1.9,0.002620898760282077,76326,1.0,0.69975,1.0,0.007354494592868203
18,450.0,0.03947963164402888,1,109676.12394161535,1080p,1,JPEG,cloud,114.212.81.11,0.035953796826876126,114.212.81.11,0.0066273854329035806,747137,1.0,0.022062500000000002,1.0,0.00034043531957148705,host,192.168.1.9,0.0035258348171527567,192.168.1.9,0.002560496330261231,70135,1.0,0.8165,1.0,0.007354494592868203
19,475.0,0.03630654628460223,1,109676.12394161535,1080p,1,JPEG,cloud,114.212.81.11,0.035952393825237565,114.212.81.11,0.005832103582528926,749436,1.0,0.022291666666666668,1.0,0.00034043531957148705,cloud,114.212.81.11,0.00035415245936467097,114.212.81.11,0.003188004860511193,72896,1.0,0.672125,1.0,0.0002453257282863037
20,500.0,0.03534746170043945,1,74678.90668755176,1080p,1,JPEG,cloud,114.212.81.11,0.035020764057452865,114.212.81.11,0.005539453946627103,723639,1.0,0.022416666666666665,1.0,0.00034043531957148705,cloud,114.212.81.11,0.00032669764298659103,114.212.81.11,0.002571408565227802,61823,1.0,0.7244999999999999,1.0,0.0002453257282863037
21,525.0,0.039589184981126055,1,74678.90668755176,1080p,1,JPEG,cloud,114.212.81.11,0.03928488034468431,114.212.81.11,0.0055620120121882485,693140,1.0,0.022020833333333333,1.0,0.00034043531957148705,cloud,114.212.81.11,0.0003043046364417443,114.212.81.11,0.002901352368868314,74831,1.0,0.7566875,1.0,0.0002453408924430774
22,550.0,0.036441500370319076,1,102950.85811165882,1080p,1,JPEG,cloud,114.212.81.11,0.03609221715193529,114.212.81.11,0.005247033559359036,734219,1.0,0.02220833333333333,1.0,0.00034043531957148705,cloud,114.212.81.11,0.00034928321838378906,114.212.81.11,0.0025586898510272685,75518,1.0,0.7495416666666667,1.0,0.0002453408924430774
23,575.0,0.03736544572390043,1,102950.85811165882,1080p,1,JPEG,cloud,114.212.81.11,0.03706917395958534,114.212.81.11,0.006515704668485202,745691,1.0,0.022270833333333333,1.0,0.00034043531957148705,cloud,114.212.81.11,0.00029627176431509165,114.212.81.11,0.0027846097946166992,70337,1.0,0.7219583333333334,1.0,0.0002453408924430774
24,600.0,0.036101084489088796,1,99929.10821383093,1080p,1,JPEG,cloud,114.212.81.11,0.0357586695597722,114.212.81.11,0.006772637367248535,751659,1.0,0.022395833333333334,1.0,0.00034043531957148705,cloud,114.212.81.11,0.00034241492931659403,114.212.81.11,0.002727600244375376,73680,1.0,0.6926666666666668,1.0,0.0002453408924430774
25,601.0,1.5790907144546509,1,73179.66250276697,1080p,2,JPEG,host,192.168.1.9,1.5118837356567383,192.168.1.9,0.09365332126617432,749420,1.0,0.24875,1.0,0.011414255143051008,host,192.168.1.9,0.0672069787979126,192.168.1.9,0.04670226573944092,72871,1.0,0.57575,1.0,0.007354494592868203
26,613.0,0.24161307628338155,1,112805.59190012488,1080p,2,JPEG,host,192.168.1.9,0.23174098821786734,192.168.1.9,0.014148125281700702,734216,1.0,0.24975000000000003,1.0,0.011414255143051008,host,192.168.1.9,0.009872088065514198,192.168.1.9,0.005493292441734901,75497,1.0,0.5835,1.0,0.007354494592868203
27,625.0,0.2392875047830435,1,111127.24947447522,1080p,2,JPEG,host,192.168.1.9,0.23299521666306716,192.168.1.9,0.015931422893817604,725691,1.0,0.24850000000000003,1.0,0.011414255143051008,host,192.168.1.9,0.006292288119976337,192.168.1.9,0.005364619768582857,76114,1.0,0.9127500000000001,1.0,0.007354494592868203
28,638.0,0.22265020438602992,1,83239.2364028263,1080p,2,JPEG,host,192.168.1.9,0.21533960955483572,192.168.1.9,0.014227850096566352,745671,1.0,0.2495,1.0,0.011414255143051008,host,192.168.1.9,0.007310594831194196,192.168.1.9,0.004950966153826032,70299,1.0,0.7555,1.0,0.007354494592868203
