n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
978,2314.0,0.4305412769317627,1,72284.26420115845,540p,30,JPEG,host,192.168.1.7,0.4265899658203125,192.168.1.7,0.19798040390014648,0.15,0.15033333333333335,1.0,0.011988894936856731,cloud,114.212.81.11,0.003951311111450195,114.212.81.11,0.031075596809387207,1.0,0.7543333333333333,1.0,0.0002504815415893908
979,2315.0,0.4340318441390991,1,90802.98801063208,540p,30,JPEG,host,192.168.1.7,0.4306023120880127,192.168.1.7,0.644682765007019,0.15,0.15083333333333335,1.0,0.011988894936856731,cloud,114.212.81.11,0.0034295320510864258,114.212.81.11,0.025370240211486816,1.0,0.7772916666666667,1.0,0.0002504815415893908
980,2316.0,0.13801980018615723,1,90802.98801063208,540p,28,JPEG,cloud,114.212.81.11,0.13397371768951416,114.212.81.11,0.029917597770690918,1.0,0.02564583333333333,1.0,0.0003254834609925344,cloud,114.212.81.11,0.004046082496643066,114.212.81.11,0.032326459884643555,1.0,0.7878958333333334,1.0,0.0002504815415893908
981,2317.0,0.13803565502166748,1,90802.98801063208,540p,28,JPEG,cloud,114.212.81.11,0.1344822645187378,114.212.81.11,0.0827186107635498,1.0,0.025541666666666667,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0035533905029296875,114.212.81.11,0.03508400917053223,1.0,0.8106666666666666,1.0,0.0002504815415893908
982,2318.0,0.13792097568511963,1,90802.98801063208,540p,28,JPEG,cloud,114.212.81.11,0.13412714004516602,114.212.81.11,0.059258103370666504,1.0,0.025625,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0037938356399536133,114.212.81.11,0.03926587104797363,1.0,0.7003750000000001,1.0,0.0002504815415893908
983,2319.0,0.13535284996032715,1,93370.25738123499,540p,28,JPEG,cloud,114.212.81.11,0.1309952735900879,114.212.81.11,0.030942916870117188,1.0,0.0254375,1.0,0.0003254834609925344,cloud,114.212.81.11,0.004357576370239258,114.212.81.11,0.03994643688201904,1.0,0.8039999999999999,1.0,0.0002504815415893908
984,2320.0,0.13949501514434814,1,93370.25738123499,540p,28,JPEG,cloud,114.212.81.11,0.13595914840698242,114.212.81.11,0.029568791389465332,1.0,0.026041666666666668,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0035358667373657227,114.212.81.11,0.032741665840148926,1.0,0.7548958333333333,1.0,0.0002504815415893908
985,2321.0,0.13287782669067383,1,93370.25738123499,540p,28,JPEG,cloud,114.212.81.11,0.12936949729919434,114.212.81.11,0.039872169494628906,1.0,0.0265625,1.0,0.0003254834609925344,cloud,114.212.81.11,0.003508329391479492,114.212.81.11,0.05685997009277344,1.0,0.731375,1.0,0.0002504815415893908
986,2322.0,0.13682246208190918,1,93370.25738123499,540p,28,JPEG,cloud,114.212.81.11,0.1334158182144165,114.212.81.11,0.04349088668823242,1.0,0.02654166666666667,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0034066438674926758,114.212.81.11,0.03911423683166504,1.0,0.7527916666666666,1.0,0.0002504815415893908
987,2323.0,0.1436079740524292,1,93370.25738123499,540p,28,JPEG,cloud,114.212.81.11,0.1399543285369873,114.212.81.11,0.06208217144012451,1.0,0.026041666666666668,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0036536455154418945,114.212.81.11,0.06720352172851562,1.0,0.7023958333333334,1.0,0.0002504815415893908
988,2324.0,0.11377918720245361,1,55784.36937722717,540p,28,JPEG,cloud,114.212.81.11,0.11046504974365234,114.212.81.11,0.03566312789916992,1.0,0.026395833333333337,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0033141374588012695,114.212.81.11,0.03483164310455322,1.0,0.7411041666666667,1.0,0.0002504815415893908
989,2325.0,0.11677837371826172,1,55784.36937722717,540p,28,JPEG,cloud,114.212.81.11,0.1134880781173706,114.212.81.11,0.026416301727294922,1.0,0.02752083333333333,1.0,0.0003254834609925344,cloud,114.212.81.11,0.0032902956008911133,114.212.81.11,0.03442275524139404,1.0,0.7765624999999999,1.0,0.0002504815415893908
