n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
1,25.0,0.005081864503713755,1,80473.70320400379,360p,1,JPEG,cloud,114.212.81.11,0.004127658330477201,114.212.81.11,0.0017543205848106966,1.0,0.042666666666666665,1.0,9.11517463672253e-05,cloud,114.212.81.11,0.0009542061732365534,114.212.81.11,0.0024504569860605094,1.0,0.6176041666666666,1.0,0.00024079164541094178
2,50.0,0.00411388507256141,1,80473.70320400379,360p,1,JPEG,cloud,114.212.81.11,0.003801299975468562,114.212.81.11,0.0018524023202749398,1.0,0.0336875,1.0,9.793012444510749e-05,cloud,114.212.81.11,0.00031258509709284856,114.212.81.11,0.002604548747722919,1.0,0.7301666666666667,1.0,0.0002434757011599018
3,75.0,0.0041597256293663615,1,80473.70320400379,360p,1,JPEG,cloud,114.212.81.11,0.003828727282010592,114.212.81.11,0.0018748595164372367,1.0,0.03345833333333333,1.0,9.732355817415607e-05,cloud,114.212.81.11,0.00033099834735576925,114.212.81.11,0.002546457143930288,1.0,0.7655416666666667,1.0,0.00024095845113545342
4,100.0,0.004062845156742976,1,107204.97667849011,360p,1,JPEG,cloud,114.212.81.11,0.0037422638673048755,114.212.81.11,0.001415261855492225,1.0,0.03208333333333333,1.0,9.732355817415607e-05,cloud,114.212.81.11,0.00032058128943810094,114.212.81.11,0.002408000139089731,1.0,0.7878750000000001,1.0,0.00024095845113545342
5,101.0,1.2266894578933716,1,107204.97667849011,1080p,30,JPEG,cloud,114.212.81.11,0.4786578416824341,114.212.81.11,0.08657968044281006,1.0,0.0221875,1.0,0.0003414816463888782,host,192.168.1.7,0.7480316162109375,192.168.1.7,0.03507423400878906,0.05,0.050166666666666665,1.0,0.007162119506187569
6,102.0,1.0317260026931763,1,82504.29342437963,1080p,30,JPEG,cloud,114.212.81.11,0.4724705219268799,114.212.81.11,0.08588719367980957,1.0,0.022270833333333333,1.0,0.00041575568626688015,host,192.168.1.7,0.5592554807662964,192.168.1.7,0.0417095422744751,0.05,0.05516666666666667,1.0,0.007211331737664009
7,103.0,1.2409600019454956,1,87537.90473145239,1080p,30,JPEG,cloud,114.212.81.11,0.4537065029144287,114.212.81.11,0.08318305015563965,1.0,0.022729166666666665,1.0,0.00034010170812246376,host,192.168.1.7,0.7872534990310669,192.168.1.7,0.07822871208190918,0.05,0.054,1.0,0.007211828830911247
8,104.0,1.176633358001709,1,89144.91161198291,1080p,30,JPEG,cloud,114.212.81.11,0.4478656053543091,114.212.81.11,0.0890117883682251,1.0,0.022333333333333334,1.0,0.00034010170812246376,host,192.168.1.7,0.7287677526473999,192.168.1.7,0.04286837577819824,0.05,0.0525,1.0,0.007211828830911247
9,105.0,0.9558446407318115,1,89144.91161198291,1080p,30,JPEG,cloud,114.212.81.11,0.48625338077545166,114.212.81.11,0.08236932754516602,1.0,0.022500000000000003,1.0,0.00034010170812246376,host,192.168.1.7,0.46959125995635986,192.168.1.7,0.036566853523254395,0.05,0.05683333333333334,1.0,0.007286889911244001
10,106.0,0.7557483911514282,1,97270.4563667716,1080p,30,JPEG,cloud,114.212.81.11,0.4435269832611084,114.212.81.11,0.08489954471588135,1.0,0.022770833333333334,1.0,0.0003416029596430685,host,192.168.1.7,0.3122214078903198,192.168.1.7,0.03504133224487305,0.1,0.10933333333333332,1.0,0.007286889911244001
