n_loop,frame_id,all_delay,obj_n,bandwidth,reso,fps,encoder,face_detection_role,face_detection_ip,face_detection_proc_delay,face_detection_trans_ip,face_detection_trans_delay,face_detection_cpu_util_limit,face_detection_cpu_util_use,face_detection_mem_util_limit,face_detection_mem_util_use,gender_classification_role,gender_classification_ip,gender_classification_proc_delay,gender_classification_trans_ip,gender_classification_trans_delay,gender_classification_cpu_util_limit,gender_classification_cpu_util_use,gender_classification_mem_util_limit,gender_classification_mem_util_use
354,3669.0,0.039978197642735074,1,62394.81360903418,540p,4,JPEG,cloud,114.212.81.11,0.03870776721409389,114.212.81.11,0.017126798629760742,1.0,0.026125,1.0,0.00016754876819355724,cloud,114.212.81.11,0.001270430428641183,114.212.81.11,0.01284231458391462,1.0,0.7627291666666666,1.0,0.00024249003096960578
355,3675.0,0.03876560074942453,1,40362.55912239233,540p,4,JPEG,cloud,114.212.81.11,0.03766039439610073,114.212.81.11,0.009986536843436103,1.0,0.0260625,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0011052063533238002,114.212.81.11,0.009572029113769531,1.0,0.7996666666666666,1.0,0.00024249003096960578
356,3682.0,0.030079156160354614,1,40362.55912239233,540p,4,JPEG,cloud,114.212.81.11,0.02913135290145874,114.212.81.11,0.007207334041595459,1.0,0.0268125,1.0,0.00016754876819355724,cloud,114.212.81.11,0.000947803258895874,114.212.81.11,0.007980108261108398,1.0,0.7311875,1.0,0.00024249003096960578
357,3688.0,0.03922506741115025,1,40362.55912239233,540p,4,JPEG,cloud,114.212.81.11,0.03798743656703404,114.212.81.11,0.030405793871198385,1.0,0.0250625,1.0,0.00016754876819355724,cloud,114.212.81.11,0.001237630844116211,114.212.81.11,0.037679127284458706,1.0,0.7594166666666666,1.0,0.00024249003096960578
358,3694.0,0.03514048031398228,1,1255.396271569214,540p,4,JPEG,cloud,114.212.81.11,0.034144537789481025,114.212.81.11,0.11934409822736468,1.0,0.026125,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0009959425245012557,114.212.81.11,0.012098176138741628,1.0,0.7354791666666668,1.0,0.00024249003096960578
359,3695.0,0.11616349220275879,1,1255.396271569214,540p,3,JPEG,cloud,114.212.81.11,0.11261892318725586,114.212.81.11,0.043616652488708496,1.0,0.025875,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0035445690155029297,114.212.81.11,0.03241086006164551,1.0,0.7541666666666668,1.0,0.00024249003096960578
360,3700.0,0.04612406094868978,1,1255.396271569214,540p,3,JPEG,cloud,114.212.81.11,0.044891794522603355,114.212.81.11,0.012420852979024247,1.0,0.026291666666666668,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0012322664260864258,114.212.81.11,0.011471231778462728,1.0,0.6650833333333334,1.0,0.00024249003096960578
361,3709.0,0.027016520500183105,1,1255.396271569214,540p,3,JPEG,cloud,114.212.81.11,0.026194667816162108,114.212.81.11,0.007947278022766117,1.0,0.026229166666666668,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0008218526840209961,114.212.81.11,0.006814074516296387,1.0,0.7525208333333334,1.0,0.00024249003096960578
362,3717.0,0.030725744035508897,1,87255.01435974512,540p,3,JPEG,cloud,114.212.81.11,0.02993578381008572,114.212.81.11,0.008941094080607094,1.0,0.02627083333333333,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0007899602254231771,114.212.81.11,0.007182677586873372,1.0,0.7511666666666666,1.0,0.00024249003096960578
363,3725.0,0.025958776473999023,1,87255.01435974512,540p,3,JPEG,cloud,114.212.81.11,0.02514036496480306,114.212.81.11,0.007297674814860027,1.0,0.0266875,1.0,0.00016754876819355724,cloud,114.212.81.11,0.0008184115091959635,114.212.81.11,0.006739430957370334,1.0,0.7516666666666666,1.0,0.00024249003096960578
